"","MSFT","XOM","INTC","C","GE","WMT","PFE","HPQ","JNJ","IBM"
"T+1",0.00321794664121076,5.03778469913605e-05,2.63814571797374e-05,0.000497772480587024,0.000932422161632208,0.00026440852915234,0.000592639807963379,0.00284294756282664,0.000355678347819872,0.000740522278926097
"T+2",0.00085475985518898,0.00225245365163067,0.00120001903981302,0.00128931665706739,0.00108081528843459,0.000185928789642836,0.000333957739859648,0.000736020821341905,0.000325723554717837,0.00143043737201562
"T+3",0.00124380748305292,0.000485047374779291,0.00102768740558469,0.000700237263778489,0.000611222884687567,9.51434495262489e-05,0.000279209560245349,0.00119416304611737,0.000245581873062927,0.0011859694826835
"T+4",0.00116194500552023,0.00190440509154668,0.000941824893704929,0.000744137289128711,0.000750597182705782,0.000102086204503213,0.000232043644432691,0.00126686841036617,0.00022848896601663,0.00129415598079317
"T+5",0.00119082164227458,0.000764554158222156,0.000935850806844175,0.000764989020197364,0.000652803371637036,0.000105444663705755,0.000198205712420746,0.00118958027134272,0.000221406627894217,0.00124667668559223
"T+6",0.00117467332195693,0.00167994013958392,0.000939026475650575,0.000760162232216538,0.000696211650284558,0.000105025498702578,0.000173610701797143,0.00120900431791701,0.000219222945932211,0.00126751956413128
"T+7",0.00118552369573201,0.000944816387532095,0.000939847727596999,0.00075986817428594,0.000672179607795613,0.000104908032835067,0.000155751852474959,0.00121073734486309,0.000218465215675777,0.00125836986131239
"T+8",0.00117788269315419,0.00153517601924378,0.000939830614643458,0.000760127726344304,0.000684061213015983,0.000104929779625126,0.000142783243382101,0.00120794196845977,0.000218215047299313,0.00126238644129619
"T+9",0.00118331976157798,0.00106107285799782,0.00093978782861534,0.000760105894377842,0.000677845993348923,0.000104933592381555,0.000133365848949529,0.00120874499566883,0.000218130739263754,0.00126062322396457
"T+10",0.00117944234896833,0.00144181333453024,0.0009397815088081,0.00076009704470847,0.000681005727582378,0.000104932559353411,0.000126527231374497,0.00120877182444315,0.000218102568891069,0.0012613972494719
"T+11",0.00118220880168883,0.00113605011184013,0.00093978253250469,0.000760099238884991,0.000679376186529003,0.000104932449251845,0.000121561241147729,0.00120867224733111,0.000218093122704373,0.00126105746408343
"T+12",0.00118023479941976,0.00138160096369941,0.00093978301085796,0.000760099343926318,0.000680210530442517,0.000104932495359465,0.000117955094331152,0.00120870476511483,0.000218089959840321,0.00126120662468489
"T+13",0.00118164337829429,0.0011844051717453,0.00093978304104806,0.000760099229822942,0.000679781782551594,0.000104932497859558,0.000115336423277399,0.00120870432507555,0.000218088900171324,0.00126114114545658
"T+14",0.00118063826128123,0.00134276821577454,0.00093978302283901,0.000760099240523354,0.000680001702585947,0.000104932495902372,0.000113434826244148,0.0012087008373695,0.000218088545235706,0.00126116988983879
"T+15",0.00118135548143678,0.00121559078736348,0.000939783018327628,0.000760099244264207,0.000679888793925452,0.00010493249588359,0.000112053945941644,0.00120870213095412,0.000218088426337648,0.00126115727149355
"T+16",0.00118084369539885,0.00131772382222901,0.000939783018458784,0.000760099243269726,0.00067994673526391,0.000104932495963024,0.000111051193846168,0.00120870206037152,0.000218088386510344,0.00126116281075459
"T+17",0.0011812088900432,0.00123570331795266,0.00093978301870003,0.000760099243234411,0.000679916994572465,0.000104932495960464,0.000110323026630546,0.00120870194056342,0.000218088373169142,0.00126116037910351
"T+18",0.00118094829846867,0.00130157194831897,0.000939783018733979,0.000760099243284459,0.000679932258370899,0.000104932495957378,0.000109794254368389,0.00120870199121692,0.00021808836870019,0.00126116144656124
"T+19",0.00118113424853638,0.00124867448682916,0.000939783018727925,0.000760099243279276,0.000679924424077299,0.00010493249595761,0.000109410276486349,0.00120870198657439,0.000218088367203203,0.00126116097796358
"T+20",0.00118100156033356,0.00129115512467611,0.000939783018725263,0.000760099243277702,0.000679928444985404,0.000104932495957724,0.000109131443755421,0.00120870198255324,0.000218088366701751,0.0012611611836708
"T+21",0.00118109624252102,0.00125703997924079,0.000939783018725112,0.000760099243278151,0.000679926381245537,0.00010493249595771,0.000108928964145335,0.00120870198450816,0.000218088366533778,0.00126116109336847
