"","MSFT","XOM","C","INTC","GE","WMT","PFE","JPM","IBM","JNJ"
"T+1",0.000818855019805209,0.00133218408917671,0.00181256621945932,0.00147963840564078,6.02351574568263e-05,0.00240622679485884,-0.000711003118731868,0.000226990187520454,0.00160657846855494,-0.000283557710230022
"T+2",9.25901438815563e-05,0.00144531634427019,0.000993178543782935,0.00167914258840069,0.00195421170183089,-0.00112079320292948,0.000505340788918974,8.94237223208133e-05,0.0016453023399665,9.90795207294394e-05
"T+3",0.00140426286214154,0.00141243727648898,0.000850554618030953,0.000857005829810581,0.000520417858551769,0.000179861947506504,0.000350259602070422,0.000691293055551497,0.0015367160081433,-9.82095914551906e-05
"T+4",0.000526794748543857,0.00138920372562957,0.000774250160687915,0.00121778497474242,0.000739404509619351,-0.000180546844751598,0.000334553089594682,0.000104184578234789,0.001508920808491,-7.66015957087567e-05
"T+5",0.00104106407904273,0.0013668256072374,0.000721673981805143,0.00102752053447763,0.000569548761267174,-8.7994573137132e-05,0.000306391473004276,0.000659018441155384,0.00150036667472087,-8.817981990701e-05
"T+6",0.000749234202435916,0.00134571704596123,0.000684574348781145,0.00112469513901678,0.000594849404551953,-0.000111164362851259,0.000280948806886379,0.000135385422344293,0.00149780238690584,-8.6961974167772e-05
"T+7",0.000913398693377207,0.00132578157498929,0.000658345171710277,0.00107480372106939,0.000574724262315496,-0.000105416619426309,0.000256628504162234,0.000629543833419731,0.00149703099035973,-8.76417347610584e-05
"T+8",0.000821273730161105,0.0013069553697795,0.000639798494327675,0.00110039676765065,0.000577645018004919,-0.000106837707000157,0.000233522051517568,0.000163202090877801,0.00149679904581342,-8.7573244296582e-05
"T+9",0.00087293697307409,0.00128917663108226,0.000626683960792736,0.00108726629428839,0.000575260154034154,-0.000106486787535183,0.000211554779943583,0.000603292946358729,0.00149672930000697,-8.76131696387956e-05
"T+10",0.000843969957418505,0.00127238708345484,0.000617410539337519,0.0010940027039968,0.000575597042046127,-0.000106573402899027,0.000190671941708742,0.000187975288658832,0.00149670832759664,-8.76093270553572e-05
"T+11",0.00086021058493602,0.00125653168906524,0.000610853207209877,0.00109054666764023,0.000575314388151793,-0.000106552027784326,0.00017081986065372,0.00057991425902277,0.00149670202123187,-8.76116730299397e-05
"T+12",0.000851105260962748,0.00124155847259728,0.000606216449881182,0.00109231974559923,0.000575353210092725,-0.000106557302444643,0.000151947673857431,0.000210037963997378,0.00149670012492,-8.76114580242668e-05
"T+13",0.000856210148648374,0.00122741835057324,0.000602937750843657,0.00109141008914308,0.000575319704771087,-0.000106556000866253,0.000134007012525168,0.0005590935159233,0.00149669955470262,-8.7611595930284e-05
"T+14",0.000853348103546555,0.0012140649704707,0.000600619348862049,0.00109187677750803,0.000575324174101884,-0.000106556322041723,0.000116951896984276,0.000229686684588127,0.00149669938323934,-8.76115839362103e-05
"T+15",0.000854952702901445,0.00120145455877413,0.000598979982855343,0.00109163734862349,0.000575320201813194,-0.000106556242789218,0.000100738616939257,0.00054055084340634,0.00149669933168066,-8.761159204641e-05
"T+16",0.000854053087849168,0.00118954577748162,0.00059782077020574,0.00109176018474933,0.00057532071579849,-0.000106556262345356,8.53256196386442e-05,0.000247185569692793,0.00149669931617706,-8.76115913795972e-05
"T+17",0.000854557455010383,0.00117829958859537,0.000597001078958329,0.00109169716514398,0.000575320244781324,-0.000106556257519738,7.06734033609115e-05,0.000524036989773525,0.00149669931151516,-8.76115918567653e-05
"T+18",0.000854274682694781,0.00116767912615186,0.000596421466804069,0.00109172949659885,0.000575320303824263,-0.000106556258710494,5.67444161780815e-05,0.000262769840357747,0.00149669931011334,-8.76115918198371e-05
"T+19",0.000854433218357804,0.00115764957537204,0.000596011617058293,0.00109171290933258,0.000575320247964088,-0.000106556258416666,4.35029597143031e-05,0.000509329974829664,0.00149669930969181,-8.76115918479241e-05
"T+20",0.000854344335694795,0.00114817805853556,0.000595721808066405,0.00109172141923117,0.000575320254738268,-0.00010655625848917,3.09150976550809e-05,0.00027664898126906,0.00149669930956506,-8.76115918458881e-05
"T+21",0.000854394167559952,0.00113923352720478,0.000595516881132461,0.00109171705332947,0.00057532024811247,-0.000106556258471279,1.89485687724423e-05,0.000496232106011865,0.00149669930952694,-8.76115918475421e-05
