"","C","MSFT","BAC","XOM","GE","JPM","INTC","WMT","AIG","CVX"
"T+1",0.000709666903747602,0.00413711483227051,-0.00918457358584458,0.00614781278387984,0.00018481919721311,0.000554881885396447,-0.000812541190920991,0.000820788370157378,-0.000632389548832577,0.00726112601334925
"T+2",-0.00723414596238482,-0.00427946804629181,0.00555112262868879,0.000389043205464006,-0.00084706780737751,0.00103810924128325,0.000148933673223014,0.00119739718756667,-0.00381135356675736,-0.00366272073635745
"T+3",0.000219908251695895,0.00251796833252665,-0.00939021590634013,0.000336339517399286,-0.00144527430293938,0.000954479031806357,0.000544080499253114,0.000867847349771555,-0.000627617804464246,0.00425533495707332
"T+4",-0.00692967836591628,-0.00359357555951043,0.00496895670123326,7.56966953296026e-05,-0.00152230831560314,0.000864409892902687,0.000624587425860159,0.00114290425573473,-0.00356779193211167,-0.00304089557095099
"T+5",-7.35986844333054e-05,0.00194568223786563,-0.00880795788686298,-3.07254209569021e-05,-0.00152380872936183,0.000781323250212995,0.000611593978434225,0.000914349480500652,-0.000849882791961677,0.0038776580692731
"T+6",-0.00664823429735865,-0.00307772601704059,0.00440961682350391,-8.41258731300165e-05,-0.00152265491525822,0.000704975514207527,0.000592405500550487,0.00110418203515835,-0.00336229827230307,-0.00270204254714872
"T+7",-0.000343489519835794,0.0014780529356914,-0.00827130602215902,-0.000109907617489946,-0.00152244317175514,0.000634827548209428,0.000583524941739824,0.000946517910488289,-0.00103983927938091,0.00355724950825472
"T+8",-0.00638942256582577,-0.00265363986877711,0.00389475312735871,-0.000122439072765362,-0.00152243017283161,0.000570376090218805,0.000581358638782638,0.00107746423325993,-0.00318670384278483,-0.00239741349666297
"T+9",-0.000591676949406764,0.00109344464631692,-0.00777734651265821,-0.000128522862395996,-0.00152243192448293,0.000511158548411649,0.000581449777592551,0.000968708150051549,-0.00120215752021951,0.00326746312600032
"T+10",-0.00615142330733263,-0.0023048337882598,0.00342084908420041,-0.000131477049334121,-0.00152243243992748,0.000456749891734912,0.000581820651510494,0.00105903436104864,-0.00303665801621811,-0.00212173131512931
"T+11",-0.000819906264409648,0.00077710799434189,-0.00732268365564783,-0.000132911500220694,-0.00152243249069721,0.000406759604552219,0.000582015898612455,0.000984014885154425,-0.00134085881437894,0.00300519721892122
"T+12",-0.00593256287660491,-0.00201794406947442,0.00298464619350787,-0.000133608024451389,-0.00152243248949319,0.000360828883868342,0.00058207105095864,0.00104632151463964,-0.0029084435270737,-0.00187222863013657
"T+13",-0.00102978240647193,0.0005169240722871,-0.0069041912300747,-0.000133946234319321,-0.00152243248838193,0.000318628064040473,0.000582073281105755,0.000994573404813533,-0.00145937937560504,0.00276783661795296
"T+14",-0.00573130221536759,-0.00178197997293713,0.00258314516268248,-0.000134110458237143,-0.00152243248822593,0.000279854250618265,0.000582066399522789,0.00103755224819971,-0.00279888396382086,-0.00164641921565334
"T+15",-0.00122278125504837,0.000302925242478073,-0.00651899171891727,-0.000134190200127532,-0.00152243248822108,0.000244229146332793,0.000582062198213368,0.00100185662598239,-0.00156065545610939,0.00255301624974446
"T+16",-0.00554622602947596,-0.0015879017219164,0.00221358530603432,-0.000134228920243381,-0.00152243248822312,0.000211497053630665,0.000582060849339639,0.00103150324615857,-0.00270526507581331,-0.00144205311025656
"T+17",-0.0014002600060194,0.000126913216838135,-0.00616443652429764,-0.000134247721495299,-0.00152243248822354,0.000181423039416547,0.000582060710131122,0.00100688056042642,-0.00164719608987131,0.00235859564901841
"T+18",-0.00537603283636207,-0.0014282741850495,0.00187342556257104,-0.000134256850782906,-0.00152243248822357,0.00015379124883164,0.000582060830794013,0.00102733067072774,-0.00262526752989811,-0.00125709401484633
"T+19",-0.00156346671568928,-1.78550194999888e-05,-0.00583808775595668,-0.00013426128367347,-0.00152243248822356,0.000128403355965322,0.000582060919228732,0.00101034604866476,-0.00172114525195003,0.00218263761346447
"T+20",-0.00521952581282062,-0.00129698203669088,0.0015603270238865,-0.000134263436143585,-0.00152243248822356,0.000105077140380013,0.000582060951190272,0.00102445244625244,-0.00255690945078976,-0.00108969900133088
"T+21",-0.00171354907729896,-0.00013692553287118,-0.00553770146853558,-0.000134264481314345,-0.00152243248822356,8.36451792323367e-05,0.000582060956128621,0.00101273652745461,-0.00178433497375389,0.00202338890134045
