"","C","BAC","MSFT","XOM","GE","JPM","WMT","INTC","CVX","PG"
"T+1",-0.00303014014946444,0.00736310666412116,-0.00539528150902367,-0.00504973653636353,-0.00884201703399437,0.00774657532332465,0.000389796844944036,-0.00687805069157707,-0.00136524028029601,-0.00454612469867649
"T+2",-0.00237887438909354,0.00667010288865993,-0.0044307696697429,-0.0020511100301308,-0.00561510357486859,0.00756599865356287,-0.000259388953856482,0.00328369245421847,0.000915221225115432,-0.000563535184902068
"T+3",-0.00283660855052162,0.00630463957368918,-0.00296155374243196,-2.5319424880264e-05,-0.00182167983727281,0.00703003009988075,0.000608060754560959,-0.00138294067876981,0.000689072563203988,0.00126754853442826
"T+4",-0.00327624975657325,0.00595490617304525,-0.00218443126639673,-0.000692996790162028,-0.00226149833225641,0.00654528405230809,0.00111486851515067,-0.00100567988010311,0.00056052738103723,-0.000603925758787756
"T+5",-0.0035939267938871,0.00561854813763817,-0.00185560748034265,-0.000834260267897181,-0.00270220570020532,0.00609112476776814,0.00132592353469713,-0.000181237891512546,0.000657599818440879,-0.000107183709498119
"T+6",-0.00381296149079795,0.00529504405642752,-0.00172980020227791,-0.000732728687892829,-0.00264344883965512,0.00566635738337417,0.00140388526501295,-0.00073093078142079,0.000617746260594174,9.33931315875312e-05
"T+7",-0.00396257869838378,0.00498390265646636,-0.00168436714656939,-0.000731241765452999,-0.00259236826008033,0.00526904659681906,0.001431056976286,-0.000603662398989739,0.000629157720815886,-0.000126121930468969
"T+8",-0.0040645818276583,0.0046846514985917,-0.00166856496870828,-0.000743639311985875,-0.00260009635177025,0.00489741913402255,0.00144022664099216,-0.00055334870803062,0.000627237838876122,-6.44491455901939e-05
"T+9",-0.00413409574817633,0.00439683619821341,-0.00166321244624666,-0.000741931356713322,-0.00260600259298909,0.00454981468271504,0.00144326234229159,-0.000610073334156177,0.000627034861026056,-4.26267297882096e-05
"T+10",-0.00418146472174281,0.0041200197350118,-0.00166143485159026,-0.000740705027491548,-0.00260499879665363,0.00422468033304872,0.00144425545423849,-0.00058921072009058,0.000627362795846219,-6.83398817880622e-05
"T+11",-0.00421374287358941,0.00385378178936148,-0.00166085346917375,-0.00074109635013086,-0.0026043175990697,0.00392056355611098,0.00144457789611542,-0.000588385793603353,0.000627202313262818,-6.07144955075565e-05
"T+12",-0.00423573776316702,0.0035977181041157,-0.00166066563564213,-0.000741183821932232,-0.00260444664229304,0.00363610571858045,0.00144468207534488,-0.000593490543536893,0.000627255300974705,-5.83590142351914e-05
"T+13",-0.00425072544921516,0.00335143987078015,-0.00166060555685582,-0.000741123603024287,-0.00260452500162508,0.00337003601289896,0.00144471562780317,-0.000590789766180499,0.000627243640064432,-6.13668412266576e-05
"T+14",-0.00426093830786074,0.00311457313914398,-0.00166058650156393,-0.000741122279051917,-0.00260450855596573,0.00312116577998145,0.00144472641121536,-0.0005911807034939,0.000627244231429125,-6.04275308950198e-05
"T+15",-0.00426789751944352,0.00288675824947179,-0.0016605805009153,-0.00074112969935934,-0.00260449956710797,0.00288838319891391,0.0014447298720943,-0.000591560323146252,0.000627245204324225,-6.01756654131017e-05
"T+16",-0.00427263964182173,0.00266764928639431,-0.00166057862293215,-0.000741128729123543,-0.00260450164745268,0.0026706483199241,0.00144473098182666,-0.000591258914918125,0.000627244594826932,-6.05270245699626e-05
"T+17",-0.00427587100278137,0.00245691355366864,-0.00166057803836793,-0.000741127987212739,-0.00260450267557489,0.00246698841843449,0.00144473133744638,-0.000591344805265591,0.000627244826530953,-6.04117108826386e-05
"T+18",-0.00427807290581459,0.00225423106901042,-0.00166057785727923,-0.000741128216398629,-0.00260450241411259,0.00227649364944208,0.00144473145136058,-0.000591363293173968,0.000627244765229586,-6.03850843912972e-05
"T+19",-0.00427957331911659,0.00205929407823107,-0.00166057780142046,-0.000741128270467724,-0.00260450229688502,0.00209831298281083,0.00144473148784045,-0.000591333750314557,0.000627244773574497,-6.04260711154708e-05
"T+20",-0.00428059572566348,0.00187180658794205,-0.00166057778425653,-0.000741128234767313,-0.0026045023295594,0.00193165040131799,0.00144473149952067,-0.000591346331426948,0.000627244775764391,-6.04119587303962e-05
"T+21",-0.00428129241046742,0.00169148391611697,-0.00166057777900094,-0.000741128233717239,-0.00260450234288122,0.00177576134446908,0.00144473150326003,-0.000591345791732396,0.000627244773608622,-6.04091832348122e-05
