"","BAC","MSFT","JPM","XOM","INTC","GE","CSCO","PFE","HPQ","WMT"
"T+1",-0.00124382567730811,-8.84344788358801e-05,-0.000422295994672726,0.0001614134945511,0.000831277473522865,0.000184765078091317,0.00276610368696101,0.00450957896130705,0.00312583366134475,0.00221529301766551
"T+2",-0.0008846386494656,0.000712097774339354,-0.00193533601638803,0.000262856115535592,0.000752263207007964,0.000849889938677847,0.00258052644426679,-0.00146873680662405,0.00150697144408874,-0.0010435675641227
"T+3",-0.000878661990622706,0.000568938117654302,-0.000934308755070385,0.000250949271821884,0.000738424939964888,0.000898862115757625,0.00255738317364048,0.00159911068051132,0.00147875486071797,0.00116162469410119
"T+4",-0.000862778663431562,0.000677827720136603,-0.00084468050452509,0.000245278751811139,0.000723999946492732,0.000891506513450301,0.00251895441092651,-0.000330390723290189,0.00133452309452298,0.000155085394430479
"T+5",-0.000861343937640162,0.000640232580645229,-0.000636244275001158,0.000240942280139466,0.000710359255755365,0.000882070934565047,0.00248331701492657,0.000960858121714761,0.00123358766855778,0.000525425937392402
"T+6",-0.000860554781037392,0.000658987074056919,-0.000546220587132945,0.000237719330007772,0.000697432945748131,0.000874935727619925,0.00244859108374996,8.28677541353669e-05,0.00115334634468134,0.000413390275061001
"T+7",-0.000860434588368701,0.000651255479325314,-0.000477409736444084,0.000235320655539301,0.000685184191048785,0.000869814297222062,0.00241493207685413,0.000682187656821477,0.00109061541003329,0.000439110934621472
"T+8",-0.000860391752658738,0.000654759023001725,-0.000437033178908112,0.000233535567837461,0.000673577463770657,0.000866163968508065,0.00238228907855397,0.00027270528779901,0.00104147092815905,0.000436559210439598
"T+9",-0.000860383409580022,0.000653245882523081,-0.000410522002411198,0.000232207105490632,0.000662579111849221,0.000863564708522309,0.00235063326978786,0.000552545264305223,0.00100298044993984,0.000434999465365923
"T+10",-0.000860380949557708,0.00065391535132472,-0.000393962044853498,0.00023121846391472,0.00065215724682587,0.000861714126103109,0.00231993460745673,0.00036129243355626,0.000972833300889538,0.000436314227594229
"T+11",-0.000860380408498998,0.000653622742573168,-0.000383390483345705,0.000230482716924384,0.000642281651705852,0.000860396601003518,0.00229016417045431,0.000492003287662288,0.00094922105056548,0.000435666549545576
"T+12",-0.000860380262630021,0.000653751422540578,-0.000376706035964483,0.000229935174066827,0.000632923693340816,0.000859458589398811,0.00226129389037878,0.00040266928476305,0.000930727140683685,0.00043591778788865
"T+13",-0.000860380228555132,0.000653695008221226,-0.000372461684838373,0.000229527692711407,0.000624056239410446,0.000858790772561838,0.00223329654974087,0.000463724429269942,0.000916242088413647,0.000435837419397649
"T+14",-0.000860380219757972,0.000653719779353559,-0.000369771643754907,0.000229224445115858,0.000615653579755427,0.000858315320763127,0.00220614575378973,0.000421996406068435,0.000904896908170668,0.00043585766045214
"T+15",-0.000860380217640873,0.000653708911083474,-0.000368065339566098,0.000228998768276946,0.000607691351833805,0.000857976823141103,0.00217981590588541,0.000450515345956832,0.000896010981339902,0.000435854684350865
"T+16",-0.000860380217105724,0.00065371368140206,-0.000366983406136433,0.000228830819589574,0.00060014647008461,0.000857735829963012,0.00215428218334119,0.00043102412930045,0.000889051224512685,0.000435854076295865
"T+17",-0.000860380216975035,0.000653711588025201,-0.000366297267439847,0.000228705832188449,0.000592997058993933,0.000857564255015067,0.00212952051402456,0.000444345365264602,0.000883600108831033,0.000435854834774309
"T+18",-0.000860380216942339,0.00065371250676236,-0.000365862162735337,0.000228612816573473,0.000586222389669401,0.000857442102334253,0.00210550755366263,0.000435240991184306,0.000879330611647079,0.000435854424919599
"T+19",-0.000860380216934297,0.000653712103569302,-0.000365586239302916,0.000228543594359464,0.000579802819739144,0.000857355135806746,0.00208222066383425,0.000441463358810633,0.000875986597821589,0.000435854593029214
"T+20",-0.000860380216932295,0.000653712280517422,-0.000365411263612838,0.00022849207919275,0.000573719736401005,0.000857293220039886,0.00205963789062737,0.000437210693164753,0.00087336745369682,0.000435854536333079
"T+21",-0.000860380216931801,0.000653712202861739,-0.000365300302875493,0.000228453741609368,0.00056795550245687,0.000857249139146974,0.00203773794394184,0.000440117169635105,0.000871316051907145,0.000435854551745051
