"","BAC","MSFT","JPM","XOM","INTC","GE","CSCO","IBM","JNJ","PFE"
"T+1",0.000634517269208879,0.000831245764909743,0.00124086993583409,0.000253961044328715,0.00165048616345026,0.00129671431879065,-3.49695176399146e-05,0.00128059752512166,0.000247969407229078,0.00176729713872607
"T+2",0.00156593263385956,-2.12785120345972e-05,0.00147462910722475,0.000595910042511067,0.00119714111278879,0.000839703365656059,0.00122414433758459,0.000148138554179356,8.81646184598087e-05,-1.20686155235092e-05
"T+3",0.000765824995677368,0.00140587301867816,0.00181351955573064,0.000373157456285732,0.000897701228411943,0.00130083146830127,0.000667108502128459,0.000901751323520735,8.00774481617007e-05,0.00170899335818289
"T+4",0.00139320407582684,0.000202363419956543,0.0015440272199561,0.000504475280188409,0.000832415535201054,0.00093969601193531,0.000834992291796755,0.000564313239112999,7.99488212961632e-05,4.47132255921677e-05
"T+5",0.0009006813020022,0.00118599480727302,0.00170736375115612,0.000425840547018397,0.00081621620394756,0.00121833059010362,0.000779665905147365,0.000707850489884106,8.01695333340046e-05,0.00165408470509793
"T+6",0.00128732916476688,0.000383708916396683,0.00161459229405772,0.000472808744523938,0.000812284982538311,0.00100356696944931,0.000797481030195134,0.000647310475652835,8.03534025764799e-05,9.78103086234047e-05
"T+7",0.000983796799661872,0.00103799420941896,0.00166628682014726,0.000444743359235747,0.000811327474377711,0.00116908923480993,0.00079171079140479,0.000672807330799372,8.04934088482382e-05,0.00160273942409765
"T+8",0.00122208053343107,0.000504412100691771,0.00163765194944704,0.000461512447252743,0.000811094399634431,0.00104151878839815,0.000793576953816857,0.000662071855074286,8.05993808445123e-05,0.000147461583806347
"T+9",0.00103501930270653,0.00093955820570005,0.00165348377636824,0.000451492798219628,0.000811037659378174,0.0011398391775575,0.000792973185615616,0.0006665918407896,8.06795584926975e-05,0.00155472626535617
"T+10",0.00118186904140524,0.000584688501298368,0.00164473578993973,0.00045747959928384,0.000811023846626484,0.00106406223248077,0.000793168506647608,0.000664688793580971,8.07402185452058e-05,0.000193890671555671
"T+11",0.00106658675831348,0.000874091314103526,0.00164956863505917,0.000453902448345661,0.00081102048406448,0.00112246461926542,0.000793105318084896,0.000665490031504103,8.07861120639767e-05,0.00150982898624064
"T+12",0.00115708746272478,0.000638077963270705,0.00164689887969067,0.00045603981822374,0.000811019665486229,0.00107745305567786,0.000793125760171461,0.000665152687237392,8.08208336752195e-05,0.000237306680133331
"T+13",0.00108604118155058,0.000830551219597317,0.00164837367492598,0.000454762726452177,0.00081101946621246,0.00111214411828893,0.000793119146956168,0.000665294718894375,8.08471029678641e-05,0.00146784537747974
"T+14",0.00114181504653338,0.000673585716289064,0.00164755899065649,0.00045552579671335,0.000811019417701478,0.00108540721494311,0.000793121286395243,0.000665234919474493,8.08669774987646e-05,0.000277905147434531
"T+15",0.00109803057303656,0.000801593989745002,0.0016480090254497,0.000455069857495384,0.000811019405892019,0.00110601373278139,0.00079312059426595,0.000665260096753207,8.08820139515475e-05,0.00142858635244944
"T+16",0.00113240294654851,0.000697200873246081,0.00164776042461453,0.000455342284008446,0.000811019403017138,0.00109013199165651,0.000793120818176484,0.000665249496393461,8.08933900646959e-05,0.00031586892165524
"T+17",0.00110541940725961,0.000782335392118477,0.00164789775258119,0.000455179507475753,0.00081101940231728,0.00110237227908096,0.000793120745739256,0.000665253959450331,8.09019968785656e-05,0.0013918750955609
"T+18",0.00112660244811951,0.000712906616096552,0.00164782189213916,0.000455276767464503,0.000811019402146908,0.00109293851265352,0.000793120769173401,0.0006652520803748,8.09085085266147e-05,0.000351368984807582
"T+19",0.00110997300543344,0.000769527068102954,0.00164786379770792,0.000455218654017465,0.000811019402105432,0.00110020925278579,0.000793120761592228,0.000665252871519738,8.09134350372789e-05,0.00135754626591482
"T+20",0.00112302771112364,0.000723352041419539,0.00164784064892794,0.00045525337716282,0.000811019402095336,0.00109460558828152,0.000793120764044811,0.000665252538424925,8.09171622822317e-05,0.000384565222792078
"T+21",0.00111277930148809,0.000761008630402139,0.00164785343639341,0.00045523262986792,0.000811019402092878,0.00109892441350498,0.000793120763251377,0.000665252678667438,8.0919982199996e-05,0.00132544525263576
