"","BAC","MSFT","JPM","XOM","INTC","GE","JNJ","CSCO","PFE","IBM"
"T+1",-0.000826897110372976,-0.000429357163797739,-0.00023393744605639,0.000855827235963911,-0.000631891366779531,0.00127325823126283,0.000204287760254832,0.000601578855366867,0.00179715829068767,0.000810227463892327
"T+2",0.00347981860985587,0.000264846921027093,0.00243690293342039,0.00114945133222737,0.000953934708730211,0.00149813966075301,0.000203292066061489,-0.000542489544655766,0.000408086093008859,0.000612940212562301
"T+3",0.00199341137195013,0.000630309124249084,0.00189542727090902,0.000548418104957677,-0.000606624507744757,0.0012702092764959,0.00024892027320123,-2.24981790109468e-06,0.00163448441019605,0.000437759698636567
"T+4",0.00210563393992102,0.000253281879179417,0.00201397146761634,0.000753386678815839,0.000482511527261277,0.00143614275830872,0.000257721789627663,-6.41817605597637e-05,0.00048385319703464,0.000388413258490448
"T+5",0.00196286905579592,0.000554788855308495,0.00199287002787393,0.000633819849254287,-0.000264466549104639,0.00131640960054865,0.000260994520881867,-3.05555552033359e-05,0.00156366084676909,0.000371895531167435
"T+6",0.00193878973346717,0.00032052874127428,0.00199911189841798,0.000689127255284752,0.000247298735627013,0.00140278150979759,0.000261930802516133,-3.38087484707471e-05,0.000550316477385914,0.000366569886290849
"T+7",0.00191602958902434,0.000501847534218127,0.00199883200185865,0.000661089340725401,-0.000103295882163652,0.00134047596477166,0.000262224601607797,-3.17021027566076e-05,0.00150128845371367,0.000364839499195454
"T+8",0.00190733715008893,0.000361577760159012,0.00199943860051286,0.000674776891541878,0.000136884706592849,0.00138542089954329,0.000262313676962876,-3.18652696245591e-05,0.000608849785184777,0.000364278170997029
"T+9",0.001902448793371,0.000470084129007496,0.00199961004054906,0.000667991984384956,-2.76549008170207e-05,0.0013529992725069,0.000262341024655581,-3.17323687273651e-05,0.00144635793149336,0.00036409601840671
"T+10",0.00190017470252254,0.00038614928458139,0.00199973541383603,0.000671334353100516,8.50656238862916e-05,0.00137638704478248,0.000262349382168839,-3.17399346785757e-05,0.000660399277001767,0.000364036913474261
"T+11",0.00189901911139046,0.00045107680225837,0.0019997965684321,0.00066968366000653,7.84460168208037e-06,0.00135951596390195,0.00026235194057619,-3.1731488560484e-05,0.00139798136416469,0.000364017734809907
"T+12",0.00189845617157393,0.000400852347102332,0.00199983108160581,0.00067049804489394,6.07461143889048e-05,0.00137168614269125,0.000262352723270096,-3.17317875954696e-05,0.000705798216623011,0.000364011511639533
"T+13",0.00189817641304143,0.000439703298557358,0.00199984948243313,0.000670096091505992,2.450507578598e-05,0.00136290702220618,0.000262352962774476,-3.17312467044499e-05,0.00135537677618865,0.00036400949231885
"T+14",0.00189803869597395,0.000409650281166663,0.00199985950697769,0.000670294448413677,4.93325866040016e-05,0.00136923995764006,0.000262353036056681,-3.17312538269421e-05,0.00074578044818507,0.000364008837081206
"T+15",0.00189797059658853,0.000432897687474059,0.00199986492318457,0.000670196555955328,3.23240979629165e-05,0.00136467161035768,0.00026235305847985,-3.17312189153771e-05,0.00131785549229357,0.000364008624466941
"T+16",0.00189793699399208,0.000414914737776714,0.00199986785880618,0.000670244866153258,4.39760387464417e-05,0.00136796704848591,0.000262353065340898,-3.17312185853966e-05,0.000780992258285015,0.000364008555476971
"T+17",0.00189792039653681,0.00042882538550828,0.00199986944800783,0.000670221024662025,3.59936878810731e-05,0.00136558984032162,0.000262353067440253,-3.17312163141344e-05,0.00128481100549025,0.000364008533090816
"T+18",0.00189791220242436,0.00041806485269424,0.00199987030872223,0.000670232790584232,4.14621267035517e-05,0.00136730467107749,0.000262353068082616,-3.17312162412232e-05,0.000812002822780149,0.000364008525826862
"T+19",0.00189790815609613,0.000426388625150879,0.00199987077480408,0.000670226984018312,3.77158840665701e-05,0.00136606765508307,0.000262353068279167,-3.17312160922935e-05,0.00125570917328354,0.000364008523469824
"T+20",0.00189790615819752,0.000419949800131034,0.00199987102720722,0.000670229849597474,4.02823082967269e-05,0.00136695999303841,0.000262353068339308,-3.17312160841879e-05,0.000839313407143102,0.000364008522705003
"T+21",0.00189790517167273,0.000424930530665434,0.0019998711638907,0.000670228435414521,3.85241377863291e-05,0.00136631629317508,0.00026235306835771,-3.1731216074347e-05,0.00123007958360863,0.00036400852245683
