"","MSFT","JPM","XOM","GE","PFE","INTC","CSCO","JNJ","IBM","V"
"T+1",0.00161927784185403,0.000503623533425355,-0.00100933534743341,0.00116800401792487,0.00126777881492968,-0.000560411273635391,-0.000626764493040004,0.00249927897729995,0.000463644745310787,-2.78184132631184e-05
"T+2",0.00142617103918886,0.00134748888681364,0.00188813521446626,0.000742058617775435,0.000736946557980792,-0.000431270210582579,-0.000626410147532542,0.00221548913371129,1.99090230223041e-05,0.0014878518032213
"T+3",0.00139907828330786,0.00112568887877014,-0.000507278862321375,0.00108651609406017,0.000876190412952767,-8.27988082236059e-05,-0.000452528718573994,0.00138130572717971,-8.20904733019036e-05,0.00162253147202034
"T+4",0.00139265785866472,0.00115665821623786,0.00159338482113391,0.00124460320484814,0.000869610783146653,0.000188512943184849,-0.000302815696675064,0.00187128679557398,-6.49306737825963e-05,0.00131336747410948
"T+5",0.00138953053906346,0.00115032848050045,-0.000252138405976482,0.00125037853603735,0.000880771484131365,0.000387088312546113,-0.000177381366854306,0.00168057541763334,-7.60090668586398e-05,0.00150200090967579
"T+6",0.00138742442257496,0.00115134513123187,0.00136932046964994,0.00123259427381041,0.000883662476083137,0.000531596769247856,-7.23690436907132e-05,0.00173876920628367,-7.11147127362244e-05,0.00141963583406802
"T+7",0.00138590312386458,0.00115115569340582,-5.52799183915114e-05,0.00122643781811524,0.000885634028927887,0.00063670137591647,1.55442651526846e-05,0.00172500847130472,-7.34391780702736e-05,0.00144786593875853
"T+8",0.00138479110858944,0.00115118785201237,0.0011963622866715,0.00122675335899487,0.000886529950275848,0.000713142512146043,8.91427231330136e-05,0.00172699183713759,-7.23522467653583e-05,0.00144074401475535
"T+9",0.00138397669974235,0.00115118206774373,9.66797196368583e-05,0.00122761132380167,0.000886999597279482,0.00076873681460542,0.000150757204399166,0.00172722720623062,-7.28621631507128e-05,0.00144146645450779
"T+10",0.0013833800653313,0.00115118307120346,0.00106285179612905,0.00122783484593338,0.000887232713529846,0.00080916955913943,0.00020233905005124,0.00172690432119381,-7.26231088766875e-05,0.00144200713778179
"T+11",0.00138294295043779,0.00115118289316105,0.000213980940686095,0.00122779713659839,0.000887350794826617,0.000838575571625367,0.000245521865943867,0.00172706048824329,-7.27351963773014e-05,0.00144153912293982
"T+12",0.00138262270249065,0.00115118292431039,0.000959791906199238,0.00122775795279453,0.00088741015311253,0.000859962038863515,0.000281673259226568,0.00172700523537168,-7.26826425268063e-05,0.00144177611680703
"T+13",0.00138238807566944,0.00115118291881279,0.000304528513996432,0.00122775062584532,0.000887440077092936,0.000875516034188209,0.000311938150694742,0.00172702071680427,-7.27072833212723e-05,0.00144168411093765
"T+14",0.00138221617837256,0.00115118291977779,0.00088023755156161,0.00122775322981129,0.000887455146410408,0.000886828176949154,0.000337275034626645,0.00172701749423299,-7.26957300684113e-05,0.00144171185613613
"T+15",0.00138209023931119,0.00115118291960782,0.00037442431694764,0.00122775493282206,0.00088746273815322,0.000895055296166574,0.000358486334460771,0.00172701777892841,-7.27011470077988e-05,0.00144170645055224
"T+16",0.00138199797115136,0.0011511829196377,0.000818827672838474,0.00122775513191461,0.000887466562210028,0.000901038732907781,0.000376243815683104,0.00172701793371485,-7.26986071836558e-05,0.00144170608789634
"T+17",0.00138193037168514,0.00115118291963244,0.000428378532301927,0.00122775498221766,0.000887468488543848,0.000905390379491463,0.000391109860754711,0.00172701782028728,-7.26997980234084e-05,0.00144170711132985
"T+18",0.0013818808455231,0.00115118291963336,0.000771423942119168,0.00122775491178573,0.000887469458896591,0.000908555254262989,0.000403555279860273,0.0017270178681533,-7.26992396779354e-05,0.00144170647489909
"T+19",0.00138184456061047,0.0011511829196332,0.000470027060991539,0.00122775490874667,0.000887469947696531,0.000910857011109926,0.000413974221546982,0.00172701785262089,-7.26995014677074e-05,0.00144170675562477
"T+20",0.00138181797678425,0.00115118291963323,0.000734831886690439,0.00122775491652743,0.000887470193921091,0.000912531037719159,0.00042269665547631,0.0017270178565883,-7.269937872312e-05,0.00144170665847204
"T+21",0.00138179850037477,0.00115118291963322,0.000502176540520047,0.00122775491928429,0.000887470317952613,0.000913748527347634,0.000429998822619498,0.00172701785589563,-7.26994362740076e-05,0.0014417066833755
