"","MSFT","JPM","XOM","GE","CSCO","VZ","V","INTC","PFE","IBM"
"T+1",0.000425706270010316,0.000514528713788678,-0.00072009348487812,-0.000285989334674659,-0.000135721475742278,0.00039677998870772,0.000328754564564607,0.000746504523836502,-0.000377666283481033,-0.000116904063800972
"T+2",0.00165592443313999,0.000521697318311944,-0.000972543214084724,0.00109566757291842,-0.000123765552907094,0.000831290674437616,0.00083482488474159,0.0010328399508166,0.00120000894480225,-5.18687753348964e-05
"T+3",0.00158266856434284,0.000453353096489642,-0.000569602359532044,0.000980860584841892,-9.71934214041907e-05,0.000352786125309702,0.000704955839795196,0.00111780716620988,0.000183423521525282,-5.37208878240804e-05
"T+4",0.00142563922155637,0.000498047761450173,-0.000345275245630006,0.000701726217362179,-7.28669714060657e-05,8.61532556149797e-05,0.000721705414669543,0.00115658808696195,0.000743838373773632,-5.73754815972223e-05
"T+5",0.00130389570123441,0.000464951720931659,-0.000152834825051824,0.000570827988176966,-5.06358281673329e-05,-2.93795124877404e-06,0.000718619642741207,0.0011770681668023,0.000447340252389135,-6.08953690973474e-05
"T+6",0.00121745508113193,0.000489099796444402,-2.83020673787346e-06,0.00054496745640715,-3.03196255072259e-05,-2.38950987950627e-05,0.000719085319614058,0.00118825385922648,0.000602295844670377,-6.423246876992e-05
"T+7",0.00115689281225999,0.00047145100504571,0.000116281454678791,0.00055180247601492,-1.17534150594931e-05,-2.66482060320317e-05,0.000719007048186201,0.00119440581596908,0.000521619339737416,-6.73947110373454e-05
"T+8",0.00111455222323967,0.000484347294389961,0.000210514024816373,0.000559528497139366,5.21354358625631e-06,-2.62460773759149e-05,0.000719019445031871,0.00119779404026213,0.000563573327144363,-7.03912113703222e-05
"T+9",0.00108496112854918,0.000474923539760774,0.00028511859048197,0.000562574898307161,2.0719006399842e-05,-2.58248945694763e-05,0.00071901741688018,0.00119966064794379,0.000541764186837473,-7.32306553680098e-05
"T+10",0.00106428159563994,0.000481809778909098,0.000344174962771795,0.000562982858320454,3.48888633602536e-05,-2.56549646899519e-05,0.000719017742837178,0.00120068903923215,0.000553100019298261,-7.59212748222917e-05
"T+11",0.00104982997838573,0.000476777782134531,0.000390924855905754,0.000562720287372031,4.78381605655329e-05,-2.56077786794798e-05,0.000719017689938002,0.00120125562886659,0.000547208158526654,-7.84708701128141e-05
"T+12",0.00103973067234861,0.000480454824157966,0.000427932547855735,0.000562515803946924,5.96720343004009e-05,-2.55990489011693e-05,0.000719017698477252,0.00120156779072779,0.000550270450335087,-8.08868327771025e-05
"T+13",0.00103267291845953,0.000477767891177504,0.000457228247207677,0.000562448052453967,7.0486564645392e-05,-2.55987336812071e-05,0.000719017697094769,0.00120173977599849,0.0005486788313386,-8.31761669380691e-05
"T+14",0.00102774070947117,0.000479731319605164,0.000480419042487717,0.000562444128781516,8.03695555580069e-05,-2.55993022415757e-05,0.000719017697318232,0.00120183453112296,0.000549506070655547,-8.53455096096425e-05
"T+15",0.00102429390674429,0.000478296579245521,0.000498777129905728,0.000562452716982563,8.94012477594224e-05,-2.55996024588328e-05,0.00071901769728208,0.00120188673637136,0.000549076115592259,-8.74011499381483e-05
"T+16",0.00102188515864504,0.0004793449902141,0.000513309592747141,0.000562457919973988,9.76549702147361e-05,-2.55997003132307e-05,0.000719017697287926,0.0012019154988049,0.000549299583375075,-8.93490474351881e-05
"T+17",0.00102020183996845,0.000478578882568456,0.000524813649340745,0.000562459343166008,0.000105197735496161,-2.55997227244286e-05,0.00071901769728698,0.00120193134544118,0.000549183436706529,-9.11948492548731e-05
"T+18",0.00101902547712347,0.000479138702087999,0.000533920386409819,0.000562459282482179,0.000112090783862966,-2.55997254554382e-05,0.000719017697287133,0.00120194007613086,0.000549243803567012,-9.29439065655017e-05
"T+19",0.00101820339300934,0.000478729623943115,0.000541129379113929,0.000562459025689437,0.000118390080475592,-2.55997249226312e-05,0.000719017697287108,0.00120194488629631,0.000549212428083946,-9.46012900631435e-05
"T+20",0.00101762889144838,0.000479028550512804,0.000546836096614722,0.000562458898183232,0.000124146769780855,-2.55997244402504e-05,0.000719017697287112,0.00120194753645253,0.000549228735391112,-9.61718046721064e-05
"T+21",0.00101722740936415,0.000478810115245157,0.00055135359662764,0.000562458870610655,0.000129407590757424,-2.55997242515933e-05,0.000719017697287112,0.00120194899655366,0.000549220259720271,-9.76600034749033e-05
