"","MSFT","XOM","INTC","JPM","VZ","GE","V","CSCO","JNJ","PFE"
"T+1",0.0014203893856685,0.000132456984335268,0.00297153576115551,-0.00080986751298899,-7.74791916954834e-05,-0.000516633443613029,0.000725344034694342,0.000621046970695777,0.00178437335048553,0.000163286398579261
"T+2",0.0015335284094171,-0.000944970079381145,0.00167779661760789,0.000850540653191402,0.00144528242505871,0.000596998402941923,-0.000106749316887684,-5.08867033590418e-05,-0.000749027309917271,0.000556722471049557
"T+3",0.000669395703334136,-0.000149316727521806,0.00133140980556381,7.3168086659326e-05,0.000901352051667725,-0.000199609761010426,0.00046151898704898,0.000449879746079462,0.000739321844911431,0.000596976212490538
"T+4",0.00115597134557707,-0.000244745134179482,0.00152828372724036,0.000567941788053715,0.000402392160754729,0.000368809219827336,-4.24486780653657e-05,0.000680704719168271,0.000526198857598589,0.000580869481852907
"T+5",0.00092898950577658,-0.000141150696475373,0.00147299022265991,0.000259648270023675,0.000181972260415101,-3.6785286843431e-05,0.000407909236407995,0.000821777995538042,0.000810183433331129,0.000597948973436196
"T+6",0.00102997285043291,-0.000147373561906873,0.00148330860495222,0.00045199200018595,0.000116226103380629,0.0002526260617391,5.38080478891859e-06,0.000904779160200318,0.000830378238775686,0.000581267814791517
"T+7",0.000985662648976638,-0.000133468103933433,0.00148235399577248,0.000331998465413965,0.00010536856780635,4.61170304016928e-05,0.000365161146836446,0.000953838620424167,0.000899176946487785,0.000597632471804816
"T+8",0.00100502398075776,-0.000133392669265792,0.00148217005870657,0.000406856723536111,0.000107163364516631,0.000193471238288786,4.35890535838038e-05,0.00098281978878198,0.000920243789319301,0.000581582306995335
"T+9",0.000996574946773527,-0.00013146484751148,0.00148228860543898,0.000360156230839185,0.000109522922230075,8.83268654668721e-05,0.000331010569970495,0.000999941181843137,0.000940794740275982,0.000597324242559401
"T+10",0.0010002605314735,-0.000131324667687687,0.00148225402145731,0.000389290438755203,0.000110660327789514,0.000163352474132113,7.41128794624652e-05,0.0010100560125309,0.000950473207190457,0.000581884628989343
"T+11",0.000998653025794694,-0.00013104866803453,0.00148226071541655,0.000371114997320412,0.000111025896083401,0.000109818064210589,0.000303728338382034,0.00101603157222853,0.000957424914388287,0.000597027727282475
"T+12",0.000999354129414377,-0.0001310107092369,0.00148226002876701,0.00038245378752618,0.000111097050219725,0.000148017461678104,9.84977702497025e-05,0.00101956176568858,0.000961273554338457,0.000582175449774582
"T+13",0.000999048350994221,-0.000130969991267014,0.00148225993455787,0.000375380057636803,0.000111093271277862,0.000120760339221347,0.000281933094221829,0.00102164730523481,0.000963763086302405,0.000596742491665973
"T+14",0.000999181712315782,-0.000130962002138488,0.00148226000562128,0.00037979302001108,0.00011108239870733,0.000140209617845557,0.000117978385198841,0.00102287938365765,0.000965227511868076,0.000582455207486752
"T+15",0.000999123548556894,-0.000130955834259469,0.00148225998404974,0.000377039983462988,0.000111076608556278,0.000126331614413527,0.000264521297592843,0.00102360726112376,0.000966139745622723,0.000596468106655975
"T+16",0.00099914891589464,-0.000130954314461147,0.00148225998837573,0.000378757471533883,0.000111074608294689,0.000136234242833879,0.000133541069572035,0.00102403727076911,0.000966688551822262,0.000582724322976472
"T+17",0.000999137852274125,-0.000130953359324237,0.00148225998789124,0.000377686012720265,0.000111074165983499,0.000129168237258089,0.000250611351935858,0.00102429130843851,0.000967025748965082,0.000596204159486239
"T+18",0.000999142677522092,-0.000130953084893556,0.00148225998784555,0.000378354444722056,0.000111074156194463,0.00013421017488088,0.000145973795414213,0.00102444138678715,0.000967230297452031,0.000582983201082983
"T+19",0.000999140573055685,-0.000130952934354067,0.00148225998788794,0.000377937441907445,0.000111074204643689,0.000130612507893577,0.000239498966907299,0.00102453004887724,0.00096735534403984,0.000595950253092402
"T+20",0.000999141490890141,-0.000130952886275962,0.00148225998787452,0.00037819759005554,0.000111074233700828,0.000133179617746944,0.000155906058265537,0.00102458242795983,0.000967431430658559,0.000583232231245093
"T+21",0.000999141090589103,-0.000130952862224638,0.00148225998787731,0.000378035296045557,0.000111074244486329,0.000131347860382376,0.000230621498650552,0.00102461337205658,0.000967477858696394,0.000595706005514769
