"","AAPL","MSFT","INTC","XOM","JPM","GE","JNJ","V","PFE","CSCO"
"T+1",0.0038273093245337,0.00103266471944104,0.00391394505921544,0.00271778174062245,-0.00146617913698883,0.000910462421878224,0.0034878587510913,0.0019290093926873,0.00170507569007892,0.00329864390391358
"T+2",0.00420514395566926,0.00172579534610911,-0.000607300059892706,-0.00138860533661488,0.00199995300145224,-0.000857670764551702,-0.000468652437731821,-0.00161235024238892,0.000928397217030871,0.00263736475461656
"T+3",0.00412383227183317,0.00162493761685865,0.00177846890170957,5.91275944283166e-05,-0.000710531742087751,8.40515149841344e-05,0.000890156426226759,0.00147610502407851,0.000974843267972474,0.00245865036746995
"T+4",0.00403536046646213,0.00146303814413226,0.000429755019100714,-0.000505499084246403,0.00139023583453621,5.97941470122896e-05,0.000508124756453507,-0.00124022222184264,0.000955104565353653,0.00229041862881297
"T+5",0.00395061508850374,0.00131516056455727,0.001212840803138,-0.000300596107998235,-0.00023790627448147,0.000140666082708806,0.00065997700677823,0.00114922270602687,0.000948213149885829,0.00221175045891208
"T+6",0.00386968675060943,0.00118653102066604,0.000753741335525191,-0.000378861147930005,0.00102394025866002,0.000150007284523245,0.000628126831456296,-0.000952684083542071,0.000943870143145109,0.00215975982181459
"T+7",0.00379240957338648,0.00107529499705056,0.00102382204765046,-0.000350038060125783,4.59809864165995e-05,0.000158578715281527,0.000647742506383328,0.000896286112810352,0.000941432047915374,0.00213123895816413
"T+8",0.00371861897922321,0.000979169574428171,0.000864746723563068,-0.000360931990447827,0.000803921285054029,0.000160635429242069,0.000646784200394111,-0.000730185055521338,0.000940037789029483,0.00211400641767469
"T+9",0.00364815766448055,0.000896109459630467,0.000958480210800227,-0.000356889961062327,0.00021650060956848,0.000161695750283768,0.00065008807671566,0.000700561890377002,0.000939242914561237,0.00210411379068319
"T+10",0.00358087541902628,0.000824339611490809,0.00090324060653097,-0.000358409556011056,0.000671764765080765,0.000162030868253885,0.000650721332556673,-0.000558013646069963,0.000938789521369894,0.00209828038042292
"T+11",0.00351662880980888,0.000762325441048959,0.000935796425901862,-0.000357843593814896,0.00031892486695666,0.000162173522274578,0.000651471689447821,0.000549109025401623,0.000938530929550182,0.00209488887431624
"T+12",0.00345528087517827,0.000708740867715545,0.000916609098622784,-0.000358055792633724,0.000592383675871981,0.000162223838863393,0.000651768970652854,-0.000424786123670372,0.000938383440207061,0.0020929023666499
"T+13",0.00339670083291166,0.000662440055830983,0.000927917547873311,-0.000357976608803443,0.000380446985687688,0.00016224377593513,0.00065197682872479,0.000431913667442438,0.00093829931900013,0.00209174335231448
"T+14",0.00334076380141059,0.000622432922390971,0.000921252664229823,-0.00035800625696966,0.000544702658505242,0.000162251119802462,0.000652081156993491,-0.000321693671902134,0.000938251340074883,0.00209106574034527
"T+15",0.00328735053347693,0.000587863966460558,0.000925180763199648,-0.000357995182724122,0.000417400840074056,0.000162253950548614,0.000652144098400222,0.000341227024245463,0.000938223975071387,0.0020906700066353
"T+16",0.00323634716210035,0.000557993975503472,0.000922865649170723,-0.000357999326291234,0.00051606259523844,0.000162255011143795,0.000652178270565367,-0.000241919962835402,0.000938208367314015,0.0020904387615879
"T+17",0.0031876449577153,0.000532184218287545,0.000924230114146329,-0.000357997777813441,0.000439597529365256,0.000162255415610522,0.000652197959436294,0.000271053022497036,0.000938199465356821,0.00209030367518024
"T+18",0.00314114009641017,0.000509882786442394,0.000923425935731443,-0.000357998356992192,0.000498859664822391,0.000162255568161895,0.000652208926113654,-0.000180190471014119,0.000938194388084025,0.00209022474931395
"T+19",0.00309673343859421,0.000490612792610878,0.000923899896545283,-0.000357998140495214,0.000452930185015698,0.000162255626097263,0.000652215152671838,0.000216751855888715,0.00093819149223781,0.00209017863974896
"T+20",0.00305433031765067,0.00047396217282803,0.000923620556973633,-0.000357998221457385,0.000488526558636747,0.000162255648005224,0.000652218649679344,-0.000132423729250534,0.000938189840578418,0.00209015170073761
"T+21",0.00301384033812544,0.000459574875064628,0.000923785192095606,-0.000357998191189895,0.000460938573310062,0.00016225565631189,0.000652220625845503,0.000174733207649225,0.000938188898546782,0.00209013596227505
