"","AAPL","MSFT","GE","DIS","PFE","JPM","XOM","INTC","JNJ","CVX"
"T+1",-0.00131258484941773,-0.000211774263070884,0.000257683667501189,-0.000640459249523731,-0.000260066896520612,8.62473973925208e-05,0.00210464306558668,0.00016421756090998,0.000526181722781355,5.23382154737333e-05
"T+2",-0.00083077321862358,-0.000808782280965461,0.000329634573335508,-0.000445600740884374,-0.000134534304203466,0.00146909876545483,0.00139146425500837,0.000101369326784802,0.00194225895069973,6.82307192945385e-05
"T+3",-0.000749021508583139,-0.000500353447611458,0.000459005614623893,-0.000395902065865242,7.8531576134943e-05,0.000378926459561575,0.00123034704687563,8.49520279564996e-05,0.000270003459080251,5.84614447515501e-05
"T+4",-0.000728867950166828,-0.000215206078905074,0.00042667226699098,-0.000400985962057773,0.000202508894202203,0.000794502840937659,0.00111771344365224,8.16317119303406e-05,0.00102860678957511,5.18691330066327e-05
"T+5",-0.000722053762341621,-3.41790479062656e-06,0.000428418194905973,-0.000399945782591815,0.000267958674217918,0.000709997277791773,0.00104595076797004,8.09000884365128e-05,0.000896455525275213,4.74621118712967e-05
"T+6",-0.000719376488918521,0.000150506119029716,0.000429413668626848,-0.000400120625993856,0.000301961542531835,0.000701726885458619,0.00100002198906011,8.07436963739398e-05,0.000823291978490135,4.45161020260688e-05
"T+7",-0.000718269552123693,0.000262101466523466,0.000429113613596095,-0.00040008985003872,0.000319577219906109,0.000717350549561498,0.000970633840419281,8.07099112825714e-05,0.000896435869305618,4.25467508289246e-05
"T+8",-0.00071780489697751,0.000342985691796772,0.000429138633416921,-0.000400095205607671,0.000328698706000109,0.000709878797376919,0.000951829220813718,8.07026396573345e-05,0.000865565272504214,4.12302772466596e-05
"T+9",-0.000717609008026368,0.000401608630929018,0.000429145878553113,-0.000400094271027629,0.000333421435810056,0.000711920214661257,0.000939796699901953,8.07010725527908e-05,0.000869894688588872,4.03502398539853e-05
"T+10",-0.000717526325287015,0.000444096968929784,0.000429143165373407,-0.000400094434005408,0.000335866631906836,0.000711782958868634,0.000932097444783989,8.07007349789977e-05,0.000873530307133193,3.97619517007414e-05
"T+11",-0.000717491413912098,0.000474891366621905,0.000429143467112837,-0.000400094405579542,0.000337132630015743,0.000711590143213169,0.000927170918603949,8.07006622499574e-05,0.000870356200393646,3.93686923300284e-05
"T+12",-0.000717476671782917,0.000497210311720238,0.000429143515560319,-0.000400094410537251,0.000337788099081977,0.000711713771961978,0.000924018579860451,8.07006465816134e-05,0.000871601021931441,3.9105805967621e-05
"T+13",-0.000717470446415601,0.000513386478323905,0.000429143491637929,-0.000400094409672576,0.000338127467407329,0.000711671369908027,0.0009220014913095,8.07006432060467e-05,0.00087147268664438,3.89300714659499e-05
"T+14",-0.000717467817522252,0.000525110525525487,0.000429143494961924,-0.000400094409823384,0.000338303174949207,0.000711678364794572,0.00092071081586075,8.07006424788241e-05,0.000871297046210387,3.88125963151097e-05
"T+15",-0.000717466707371765,0.000533607797230373,0.000429143495239122,-0.000400094409797082,0.000338394147317216,0.000711680099994626,0.000919884950722988,8.0700642322153e-05,0.000871433754302211,3.87340664252266e-05
"T+16",-0.000717466238568107,0.000539766389496728,0.000429143495033565,-0.000400094409801669,0.000338441248151071,0.000711678231303623,0.000919356503988815,8.07006422884001e-05,0.000871384062317621,3.86815706968878e-05
"T+17",-0.000717466040597735,0.000544229970281295,0.000429143495068107,-0.000400094409800869,0.000338465634551009,0.000711679027038621,0.00091901836651565,8.07006422811285e-05,0.000871387126765567,3.86464783072522e-05
"T+18",-0.000717465956997129,0.000547465052676537,0.000429143495069137,-0.000400094409801008,0.000338478260580174,0.000711678836513294,0.000918802002323452,8.07006422795619e-05,0.000871395430810476,3.86230197164429e-05
"T+19",-0.000717465921693556,0.000549809752729952,0.000429143495067419,-0.000400094409800984,0.00033848479769155,0.000711678836405972,0.000918663557260777,8.07006422792244e-05,0.000871389585571823,3.86073380974801e-05
"T+20",-0.000717465906785264,0.000551509127790252,0.000429143495067763,-0.000400094409800988,0.000338488182273084,0.000711678861476628,0.000918574970350048,8.07006422791517e-05,0.000871391546787405,3.85968552353469e-05
"T+21",-0.000717465900489664,0.000552740788783035,0.000429143495067759,-0.000400094409800988,0.000338489934636092,0.000711678847758884,0.000918518286199664,8.0700642279136e-05,0.000871391518409503,3.8589847642651e-05
