"","AAPL","MSFT","GE","PFE","JPM","DIS","XOM","JNJ","V","INTC"
"T+1",0.00211274215981901,0.00241126644004747,0.000343812984167964,0.00133079306090657,0.000755043067394517,-0.00042839945941728,0.00184025281825385,0.00267336433786575,0.00154815014480981,0.00144097904657769
"T+2",-0.00190501311049302,0.000110347322359311,0.000533139235616054,0.000407475015379542,0.000781340422103012,-0.000468361766575859,0.00123639299479692,0.000567112948498016,0.00133345032095645,0.00114624888031853
"T+3",0.0019134974153046,0.0024453591050882,0.000371688357506792,0.000425124548865907,0.000665209831343194,-0.000418559740849164,0.00102959429262789,0.00155831834554678,0.000950955582931984,0.000924512914814655
"T+4",-0.00168954097215823,0.000187820556467565,0.000397684817504445,0.000503040106468605,0.00074986797884685,-0.000406749043490292,0.0010731902379019,0.00114991370051759,0.00138633272134612,0.0010708924170166
"T+5",0.00170993721105245,0.00237206117491816,0.00039713379740349,0.000471887433813512,0.000700506803816012,-0.000403014810182123,0.00107803150770779,0.00129686478878654,0.000969346554930674,0.000924391312142443
"T+6",-0.00149747892188667,0.000258762765381574,0.000396518941015363,0.000476556859333477,0.000727128378275645,-0.000401896102283226,0.00107577364395931,0.00125293393848652,0.00136006389597726,0.00106196520645772
"T+7",0.00152872616587696,0.00230342346867501,0.000396653248278447,0.000477641420895243,0.000713242600008126,-0.000401557872620405,0.00107576940233748,0.00126177041115886,0.000995093322187722,0.000931691475575356
"T+8",-0.00132650585047236,0.000325171196668802,0.000396644316145075,0.000476802425618289,0.00072037393752563,-0.000401455774551179,0.00107586460433009,0.00126247710126413,0.00133586218815081,0.00105491425911392
"T+9",0.00136741264835769,0.00223917191354139,0.000396642317478051,0.00047702108192699,0.000716738715097137,-0.000401424946765616,0.00107585638805231,0.00126039909217415,0.00101771051980363,0.000938343319800451
"T+10",-0.00117430614604617,0.000387335928805645,0.000396642952253361,0.000477015075265105,0.000718585026532193,-0.000401415638975483,0.00107585311413422,0.00126189634168987,0.00131474338763883,0.00104861928312603
"T+11",0.00122381184922039,0.00217902622658442,0.000396642884855342,0.000476997316179043,0.000717648982509395,-0.000401412828664478,0.0010758537478868,0.00126108869537614,0.00103742782811152,0.000944298078978185
"T+12",-0.00103881843540563,0.000445528147048674,0.000396642880283417,0.000477004598510186,0.000718123115086641,-0.000401411980145475,0.001075853829507,0.00126145931153551,0.00129633488271814,0.00104298603774194
"T+13",0.00109597885772663,0.00212272403044412,0.000396642883038963,0.000477003465311222,0.000717883060070366,-0.000401411723951526,0.00107585379569319,0.00126131008289178,0.00105461436329916,0.000949627129998191
"T+14",-0.000918207690438525,0.000500001707018193,0.000396642882632479,0.00047700322757392,0.000718004574006756,-0.000401411646598707,0.00107585379524675,0.00126136231995806,0.00128028920776083,0.0010379447495754
"T+15",0.000982182320294974,0.002070019714464,0.000396642882634681,0.000477003421530721,0.000717943071358432,-0.000401411623243516,0.00107585379670626,0.00126134740409923,0.00106959490875632,0.000954396193545575
"T+16",-0.000810840374740692,0.000550994242194634,0.000396642882645537,0.000477003369792105,0.000717974198402586,-0.000401411616191867,0.00107585379659632,0.00126134999943983,0.00126630308744272,0.00103343321070341
"T+17",0.000880880991270955,0.0020206833632494,0.000396642882643375,0.00047700337163188,0.000717958445152178,-0.000401411614062758,0.00107585379654471,0.00126135055492939,0.00108265261495964,0.000958664113807534
"T+18",-0.000715262319209219,0.000598728200562245,0.000396642882643492,0.000477003375675418,0.000717966417690515,-0.000401411613419914,0.00107585379655388,0.00126134967346069,0.00125411216620163,0.00102939575388765
"T+19",0.000790702858494324,0.00197449975369283,0.000396642882643529,0.000477003373974053,0.000717962382907875,-0.00040141161322582,0.00107585379655524,0.00126135026437932,0.00109403428938154,0.000962483551973656
"T+20",-0.000630179026963313,0.0006434118150081,0.000396642882643519,0.000477003374248469,0.000717964424844327,-0.000401411613167217,0.00107585379655474,0.00126134995622828,0.00124348601990113,0.00102578256158106
"T+21",0.00071042656094297,0.00193126741609262,0.00039664288264352,0.000477003374300347,0.000717963391455933,-0.000401411613149523,0.00107585379655472,0.00126135009423679,0.00110395506035197,0.000965901635491845
