"","AAPL","MSFT","JPM","GE","PG","XOM","DIS","V","JNJ","INTC"
"T+1",0.00162906723258921,0.00155084039625557,-0.000784364095436153,0.000229483155867465,0.00259764499369264,-0.000571355878614475,0.000924427556853733,0.0027008271058502,0.000593016282741886,0.00137832277319772
"T+2",0.00184748661059142,0.00111413313111962,0.000257620759503721,0.00026015688337487,0.00150965065719805,-0.000349520137372177,0.000180458701743978,0.00142313472831739,0.000443125148185608,0.00165768720539832
"T+3",0.00179221435257605,0.00148574391073208,0.000798967128178892,2.32329360401129e-05,0.00108149518610083,-9.52608470355718e-05,0.000381697386432068,0.00150296775606141,0.00045597698161515,0.00139193545299776
"T+4",0.00184239681621868,0.00119449097634528,0.000759717337816192,-9.49430825408987e-05,0.000821450621680924,-0.000313511964114311,0.000335425697375118,0.00141240718032879,0.00045900748048487,0.00119935147174992
"T+5",0.00180273787459601,0.00142226845499607,0.000853227724810394,-0.000134804067979895,0.000669221587467809,-0.000161778443009839,0.000349736883900385,0.00137712792099888,0.000461979418490924,0.00106580151356905
"T+6",0.00183434840460934,0.00124414326485231,0.000814226444198105,-0.000145354239859488,0.000579876451883618,-0.000263945367932885,0.00034725373843269,0.00135112464066317,0.000464445566338201,0.000973295989458016
"T+7",0.00180916694441751,0.00138343943843663,0.000841830320259923,-0.00014749718029108,0.000527448350204588,-0.000195535811614758,0.000348449068205992,0.00133512964606023,0.000466513417017285,0.000909222523644967
"T+8",0.00182922762870041,0.00127450805663327,0.000826288152189741,-0.000147746798120915,0.000496682914409108,-0.000241296396718096,0.000348409789430625,0.0013248573322367,0.000468246089227072,0.000864842410347091
"T+9",0.00181324642249547,0.00135969378443502,0.000835868626368233,-0.000147706715942772,0.000478629406443598,-0.000210691624968651,0.000348546602144426,0.00131833126848152,0.000469697979644514,0.000834102783764738
"T+10",0.00182597774248446,0.00129307746046363,0.000830179587483513,-0.000147668228664079,0.000468035401735251,-0.000231159506648023,0.000348571910455295,0.00131417407557837,0.000470914585551898,0.000812811160746046
"T+11",0.00181583542250107,0.00134517227416041,0.000833609458122101,-0.000147652441297923,0.000461818718781477,-0.000217471059743019,0.000348594123994471,0.00131152765391001,0.000471934035933503,0.000798063642276735
"T+12",0.00182391523314136,0.00130443346642812,0.000831554397806237,-0.000147647633444204,0.000458170698224111,-0.000226625567788152,0.00034860208877928,0.00130984269237022,0.000472788280565972,0.000787848859645479
"T+13",0.00181747850662443,0.00133629173287876,0.000832788834093654,-0.000147646476961481,0.000456029998097435,-0.000220503251442004,0.000348606543397504,0.00130876993126076,0.000473504091659812,0.000780773650048629
"T+14",0.00182260628128381,0.00131137816280303,0.000832048095375192,-0.000147646275228802,0.000454773810814416,-0.000224597710262909,0.000348608492233476,0.00130808693157471,0.000474103902887836,0.000775873047397898
"T+15",0.0018185212742716,0.00133086089187368,0.00083249277172377,-0.000147646264086829,0.000454036665769972,-0.000221859434095839,0.000348609462871333,0.00130765208417255,0.00047460651246229,0.000772478673561817
"T+16",0.00182177556748811,0.00131562514963014,0.000832225871758022,-0.000147646273902444,0.000453604100639045,-0.000223690727726392,0.000348609913473583,0.00130737522843322,0.000475027672274795,0.000770127580326914
"T+17",0.00181918305680028,0.00132753969409,0.000832386079461035,-0.000147646279545302,0.000453350266479941,-0.000222466002331268,0.000348610130679839,0.00130719896179823,0.000475380581564003,0.000768499109313956
"T+18",0.00182124836291112,0.00131822236859205,0.000832289916932732,-0.000147646281561949,0.000453201313696368,-0.000223285069393145,0.000348610233278325,0.00130708673754777,0.000475676300582558,0.000767371158367274
"T+19",0.00181960305076198,0.0013255086357865,0.000832347637874638,-0.00014764628212112,0.000453113906501796,-0.000222737296925521,0.000348610282272022,0.00130701528737078,0.000475924097227785,0.000766589889724481
"T+20",0.00182091377756122,0.00131981068205067,0.000832312991413389,-0.000147646282241964,0.000453062614961753,-0.000223103634054985,0.000348610305531174,0.00130696979695509,0.000476131737499574,0.000766048748556945
"T+21",0.00181986959591876,0.00132426655443487,0.000832333787671439,-0.000147646282258747,0.000453032516500262,-0.000222858636541682,0.000348610316608011,0.00130694083442475,0.000476305728888477,0.00076567393028425
