"","AAPL","MSFT","BA","JPM","INTC","V","DIS","WMT","CSCO","HD"
"T+1",0.00231737953946184,0.000281615329220455,0.0039348780287172,-0.00107798773634286,-6.586640107636e-05,-0.000387589023970969,-0.00173056967662184,0.00161798718502042,5.31648673364107e-05,0.00124190314712024
"T+2",0.00276363516080775,0.00306194953290172,0.00127061426423367,0.00261611133881738,0.0038724382958593,0.00342708465669492,0.000824640225751515,0.00109302522499762,0.00213729994557396,0.00184277945174038
"T+3",0.00272155047289644,0.00184331441121201,0.00335868986754621,-0.000410836896281179,0.000575632684891543,0.000586532993570895,-0.000223048604146088,0.000684494809410202,0.00171024749866981,0.00152857742656693
"T+4",0.00262528968650014,0.00186731386566625,0.00176750781563754,0.00130742781241103,0.00360446462492392,0.00185448431435865,-6.80236503173727e-05,0.000615155519948602,0.00160026771635152,0.00158914741005832
"T+5",0.00252850809236723,0.00206525259227491,0.0029783948458274,0.000415111694305046,0.000799650907471065,0.00147551023628164,1.78719101810092e-05,0.00062490675070278,0.00168618929873364,0.00159078915162489
"T+6",0.00243746651234788,0.00198027704050535,0.00205697320688716,0.000865431749381582,0.00339868045594517,0.0015199213979674,-5.40851642096456e-05,0.000632077404603868,0.00167164820517318,0.00158619533485528
"T+7",0.00235254783407163,0.00198125742200539,0.00275812453718572,0.000640419482840196,0.000990212990425979,0.00155258368135564,-2.88743763906559e-05,0.000633258296084241,0.00166613043534501,0.00158756049765282
"T+8",0.00227342954407263,0.00199534293429534,0.00222458691669012,0.000752453874168642,0.00322209971350875,0.00152349504989804,-3.09029461449138e-05,0.000633077868180688,0.00166962511854599,0.00158743047062876
"T+9",0.00219972655824752,0.00198942000156292,0.00263057971443116,0.000696742691266549,0.00115384673831359,0.00153753170909171,-3.38963151490352e-05,0.000632952067420446,0.00166915751049013,0.00158738057693722
"T+10",0.00213106960730266,0.00198943909183239,0.0023216415150962,0.000724433351605071,0.00307046304301056,0.00153294889065314,-3.19370681593502e-05,0.0006329319802349,0.0016688933443357,0.00158740533092604
"T+11",0.00206711338979804,0.0019904409973857,0.00255672650068596,0.000710672290838504,0.00129436596428192,0.00153369900289309,-3.25171099958836e-05,0.000632935307146524,0.00166903356178966,0.00158740073050091
"T+12",0.0020075360822675,0.00199002833146273,0.00237783975062186,0.000717510531060936,0.00294024616778527,0.00153395184398294,-3.2519796710356e-05,0.000632937513114877,0.00166901987051633,0.00158740054607806
"T+13",0.00195203787521905,0.00199002616139709,0.00251396273299019,0.000714112500101126,0.00141503581933919,0.00153365988268089,-3.24240559576415e-05,0.000632937854368331,0.00166900764386849,0.00158740091417168
"T+14",0.00190033948377856,0.00199009739699772,0.00241038062686881,0.000715801022736448,0.00282842338063194,0.00153381309334672,-3.2475738601937e-05,0.000632937793214454,0.00166901319113385,0.00158740080833363
"T+15",0.00185218074465228,0.00199006865773076,0.00248920091512483,0.000714961977832148,0.00151866017291931,0.0015337588735305,-3.24631650111559e-05,0.00063293775455035,0.00166901285997373,0.00158740081761237
"T+16",0.00180731930720052,0.00199006825771652,0.00242922300896523,0.000715378907762877,0.00273239638176823,0.00153376986165195,-3.24616094873147e-05,0.000632937748760716,0.00166901230870386,0.00158740082173808
"T+17",0.00176552941388687,0.00199007332047537,0.00247486289822325,0.000715171731125019,0.00160764682704247,0.00153377144314453,-3.24644999546611e-05,0.000632937749881652,0.00166901252489744,0.00158740081979008
"T+18",0.00172660076419658,0.00199007131985782,0.00244013345158432,0.000715274679247276,0.00264993390032304,0.00153376858209187,-3.24631792724582e-05,0.000632937750558998,0.00166901252085311,0.00158740082013872
"T+19",0.00169033745633562,0.00199007127430676,0.00246656065119972,0.000715223523308709,0.00168406346404388,0.00153377023077054,-3.24634284178159e-05,0.000632937750657083,0.00166901249652408,0.00158740082015753
"T+20",0.00165655700138842,0.00199007163397384,0.00244645100514711,0.000715248943199301,0.00257911984878998,0.00153376960118172,-3.24635074476039e-05,0.000632937750636589,0.00166901250481226,0.00158740082012809
"T+21",0.00162508940497347,0.00199007149476733,0.00246175334025058,0.000715236311804947,0.00174968569097379,0.00153376975020144,-3.24634239300857e-05,0.000632937750624729,0.00166901250503595,0.00158740082013628
