"","AAPL","MSFT","BA","DIS","V","JPM","UNH","INTC","CSCO","JNJ"
"T+1",0.0141690318136166,0.0054718526469701,-0.00825020209338256,-0.00126646272757175,0.0138141453259875,-0.00668086439195833,-0.000818359701612308,-0.00985506130563216,0.00104207972688728,-0.00223423509337882
"T+2",0.00693583945938916,-0.00344711984500604,-0.00253279860966171,0.00177989742738245,0.0104822512707246,-0.00642549845095533,-0.000244304824884178,-0.00478639446654637,-0.00151238297787922,0.00427284134121792
"T+3",0.00284562850844144,0.00640805398653908,-0.002046412244175,-0.00103501092625041,0.00742113394548965,-0.00468169432002557,-9.48710403211365e-06,-0.00305973393716581,-0.000623313943838378,-0.00299243761475814
"T+4",0.00274385531215582,-0.00181805818849236,-0.00177970055492358,0.00145052629553722,0.00531567661214389,-0.00341890889318858,8.85233020585433e-05,-0.00176439042212846,-0.00090805299213672,0.00303808150180389
"T+5",0.0032964019241059,0.00482921048976274,-0.00186346871707752,-0.00074125315749328,0.00394375968041318,-0.0024398038129188,0.0001294281661433,-0.00101745427718045,-0.000818280531900679,-0.00187490344479481
"T+6",0.00346330692682523,-0.000518392005297944,-0.0018007316557464,0.00119140924886729,0.00306079879866342,-0.00168435398790609,0.00014649991004776,-0.000554287669293585,-0.0008464952555244,0.00212209613673587
"T+7",0.0034309220795223,0.00378097108608141,-0.00183764582274298,-0.000512767445527686,0.00249419793553235,-0.00110127218400103,0.000153624843621546,-0.000273180164779413,-0.000837633237609105,-0.00112935777165547
"T+8",0.00339829343280255,0.000324674072504068,-0.00181475785902602,0.00098993581526665,0.00213086406555978,-0.00065124051235397,0.000156598451866569,-0.000101504017176146,-0.000840416367717742,0.0015155937079346
"T+9",0.00339388779609168,0.003103188360704,-0.00182877676597084,-0.000335112869506054,0.00189791522108558,-0.000303898445294626,0.000157839494453605,3.15088668770522e-06,-0.000839542344343088,-0.000635986607846946
"T+10",0.00339730401409186,0.000869546912677533,-0.00182016602688845,0.000833284153890214,0.00174856791017755,-3.58139852072823e-05,0.000158357446576389,6.69829038984782e-05,-0.000839816824076202,0.00111425255046434
"T+11",0.00339887201539624,0.00266516586027205,-0.0018254515206684,-0.000196981088412244,0.00165281985607609,0.000171098119976221,0.000158573615146508,0.000105909887826002,-0.00083973062610366,-0.000309508895338089
"T+12",0.0033988197049764,0.00122167218886229,-0.0018222066643309,0.000711482771253475,0.00159143496778319,0.000330796370422094,0.000158663833621637,0.000129649979653491,-0.000839757695821211,0.000848673770398837
"T+13",0.00339858268525405,0.0023820932081136,-0.00182419866947632,-8.95794702274876e-05,0.0015520806187098,0.000454054171959811,0.000158701486520252,0.00014412797285976,-0.00083974919481412,-9.34693752406213e-05
"T+14",0.0033985247129146,0.00144923359973567,-0.00182297577529875,0.000616778529487136,0.00152685023026388,0.000549186620796622,0.000158717201048481,0.000152957470445173,-0.000839751864480723,0.000672932793548004
"T+15",0.0033985423635224,0.00219915714853653,-0.00182372651002662,-6.07147881986762e-06,0.00151067482665911,0.000622611448343307,0.000158723759544813,0.00015834219056947,-0.000839751026095378,4.94900746337984e-05
"T+16",0.00339855546313787,0.00159629544888976,-0.00182326563378816,0.000543143130492645,0.00150030464626212,0.000679281967878741,0.000158726496749106,0.000161626094311028,-0.000839751289382931,0.000556640027486205
"T+17",0.00339855657196218,0.0020809344890712,-0.00182354856579958,5.88584984635186e-05,0.00149365624082601,0.000723021230083669,0.000158727639127932,0.000163628802441313,-0.000839751206699788,0.000144090378777271
"T+18",0.00339855501834545,0.00169133435457013,-0.00182337487377948,0.000485889391019645,0.00148939389502968,0.000756779929914102,0.000158728115902496,0.000164850165879563,-0.000839751232665703,0.000479685820899686
"T+19",0.00339855443227045,0.0020045329461372,-0.00182348150334586,0.000109343510484013,0.00148666127111557,0.000782835463473443,0.000158728314885512,0.00016559502161459,-0.000839751224511335,0.000206690070871066
"T+20",0.00339855449110596,0.00175275336735134,-0.00182341604343335,0.000441372884985809,0.00148490936411117,0.000802945563461652,0.000158728397931555,0.000166049276302353,-0.000839751227072143,0.000428763049760045
"T+21",0.00339855459053629,0.00195515835256026,-0.00182345622928695,0.000148597127154562,0.00148378620254612,0.000818466877604565,0.000158728432591022,0.000166326306217694,-0.000839751226267944,0.000248114054501127
