"","AAPL","MSFT","BA","DIS","V","JPM","INTC","UNH","JNJ","HD"
"T+1",0.00260089980748662,-0.00263550576038206,0.0161821002867701,-0.000682506563001698,0.000660319018883423,0.00111824246271803,0.0012717932451987,0.00191288358144229,-0.000386620155705139,0.00254862920509284
"T+2",0.00287331479946571,0.002091078366048,-0.0145594968570204,-0.000754890602134996,0.0013581853282324,0.00163695415132551,0.00305605427981373,0.00295458613669904,-0.000355901706414843,0.00118843133120639
"T+3",0.00340761373019681,0.00305877498434935,0.00737898471128191,-0.000796409225644317,0.00121633823900863,0.001081270237542,0.000519180817468435,0.00118875858962093,0.0011416445701023,0.000736092875878354
"T+4",0.00359698462931432,0.00110509254857445,-0.00491434332784768,-0.000810190732526681,0.0011729025325919,0.00121499637736836,0.00150617044484673,0.00164584249226492,-0.000364989763232027,0.000764719056333102
"T+5",0.00363135206569511,0.00288129525362314,0.00266045155721943,-0.000815420916926975,0.0011353662348567,0.00116373802973548,0.000980062758099332,0.00138049722306165,0.00095210096784736,0.000736650675182333
"T+6",0.00363067563776609,0.00148797680876092,-0.00182861054638964,-0.000817331781055845,0.00110832305723109,0.00117987585316097,0.00123233016026604,0.00147871673258455,-0.000173619925773219,0.000743938997386997
"T+7",0.00362783881141579,0.0025306830887509,0.000873886915331455,-0.000818037232579972,0.00108841414609535,0.00117438969126392,0.00110729275863903,0.00143291121418142,0.000784719259335257,0.000741040181960377
"T+8",0.00362677575363715,0.00176357945864886,-0.000742712426156833,-0.000818296920630067,0.001073797671443,0.00117619772923755,0.0011686125309755,0.00145176453125959,-3.05453541616826e-05,0.000742004148813215
"T+9",0.00362657066765215,0.00232428280160895,0.000226820846539284,-0.000818392592128094,0.00106306300347145,0.00117559443973959,0.00113843861308646,0.00144347602318933,0.000662916250484848,0.00074166042064501
"T+10",0.00362656969116538,0.00191546639631199,-0.000354033829816715,-0.000818427830646063,0.00105517956782509,0.00117579474209369,0.00115327039879388,0.0014469937107535,7.30734621479491e-05,0.000741779587906618
"T+11",0.00362658465179541,0.00221325165567257,-5.8914156805028e-06,-0.000818440810777483,0.0010493900173134,0.00117572810591508,0.00114597742063317,0.00144547257605073,0.000574778353887307,0.000741737809009619
"T+12",0.00362659059801842,0.00199642397685736,-0.000214518891798407,-0.000818445591937212,0.00104513820717328,0.00117575025664694,0.00114956307655307,0.00144612382042516,0.000148041574619179,0.000741752390916477
"T+13",0.00362659181304164,0.00215428055828269,-8.94882587135285e-05,-0.000818447353059163,0.00104201570378834,0.00117574289110587,0.00114780009587862,0.001445843518405,0.000511012431628152,0.000741747292363625
"T+14",0.00362659184514884,0.0020393631208329,-0.000164417105332409,-0.000818448001760886,0.00103972255640912,0.00117574533997583,0.00114866690132008,0.00144596382246177,0.000202279164928755,0.000741749073798297
"T+15",0.00362659176684859,0.00212301959290912,-0.000119512937199237,-0.00081844824070747,0.00103803848300327,0.00117574452574222,0.00114824071720601,0.00144591211084606,0.00046487939223731,0.000741748451187712
"T+16",0.00362659173370772,0.00206212069810966,-0.000146423466489128,-0.000818448328722443,0.00103680170979738,0.00117574479646414,0.00114845025983627,0.00144593432080784,0.000241518689756362,0.000741748668765088
"T+17",0.00362659172655566,0.00210645274844609,-0.000130296278642618,-0.00081844836114239,0.00103589343112168,0.00117574470645194,0.00114834723363607,0.0014459247776335,0.000431503305981521,0.000741748592727089
"T+18",0.00362659172622746,0.00207418076512233,-0.000139961119710898,-0.000818448373084142,0.00103522639681919,0.00117574473637996,0.00114839788870651,0.00144592887721213,0.000269907492571151,0.000741748619300038
"T+19",0.00362659172663371,0.00209767348358835,-0.000134169088095196,-0.000818448377482836,0.00103473653090843,0.00117574472642923,0.0011483729830393,0.00144592711589271,0.000407356552555536,0.00074174861001354
"T+20",0.00362659172681775,0.00208057172364874,-0.000137640187700133,-0.000818448379103077,0.00103437677638062,0.00117574472973773,0.00114838522845218,0.00144592787256713,0.000290446072686858,0.0007417486132589
"T+21",0.0036265917268596,0.00209302112029472,-0.00013555999651994,-0.000818448379699886,0.00103411257485641,0.00117574472863769,0.00114837920772863,0.00144592754748367,0.000389886987776967,0.00074174861212474
