"","AAPL","MSFT","BA","JPM","V","DIS","INTC","CRM","UNH","WMT"
"T+1",0.00537516923752162,0.00194403500565736,-0.000116760184114759,0.000570454697207405,0.00290273409107489,0.00336258964965841,-0.00262428249169761,-6.24729524223437e-05,-0.000522009158002804,0.00251553628402938
"T+2",0.00417358101063245,0.00213637419128317,-0.0014571710735588,0.00189501120927625,0.000771674953565729,0.000704241138131405,0.00348106188124965,-0.000476308253123278,0.00349781310284429,0.00201297632785039
"T+3",0.00411752430483503,0.00206363161618449,0.000497450805776387,0.00108018996027912,0.00123605054528852,0.00179317039686453,0.00025048959835068,-0.000421400948483889,0.00021902475175247,0.00198339896602015
"T+4",0.00401579420513764,0.0020425838412915,-0.000593819877294122,0.00134495615368908,0.000923602376421314,0.00127464196461415,0.000848979950853181,-0.000501759457534495,0.00147796185536722,0.00189408961848055
"T+5",0.00394731798468247,0.0020177586849692,0.00014672714647596,0.00124527163291256,0.00102415615568008,0.00151171895619029,0.000393663506758174,-0.000464698037300868,0.000742635091544372,0.00182098308788603
"T+6",0.0038977270230827,0.0019979263283127,-0.000330221560020833,0.00128131082696662,0.000973355921305804,0.00140217617211739,0.000435032067252659,-0.0004898395025939,0.00107686574227887,0.00175253985003772
"T+7",0.0038620970218963,0.00198091375958363,-1.89383069147099e-05,0.00126814075146896,0.000992538748902161,0.00145265137897975,0.000365496055042569,-0.000475336449595796,0.000901267610481017,0.00168985036648021
"T+8",0.00383647621306652,0.00196653355382731,-0.000221405395499995,0.00127293976755394,0.000983843685835775,0.00142937656943578,0.0003636055487713,-0.000484252872184955,0.000985959978213753,0.00163223509376351
"T+9",0.00381805444257608,0.0019543420880477,-8.95996194368274e-05,0.00127118972075059,0.000987350121271222,0.00144010687527978,0.000351961684852307,-0.00047891058261252,0.000943022110076781,0.00157931156292186
"T+10",0.00380480877150563,0.00194401249415671,-0.000175385628416684,0.00127182777559854,0.000985827574202884,0.00143515967457881,0.000350198501432648,-0.000482144606827096,0.000964161870526703,0.00153069365441398
"T+11",0.00379528484282289,0.00193525934940282,-0.000119548425328395,0.00127159513250451,0.000986458245947681,0.00143744054883773,0.000348068204222249,-0.000480194947839627,0.000953573886641408,0.00148603166598101
"T+12",0.00378843692801589,0.00192784225010714,-0.000155891727237478,0.00127167995595963,0.000986189077368056,0.00143638896324622,0.000347513101176851,-0.000481372273042071,0.000958823816753002,0.00144500363012244
"T+13",0.00378351312626907,0.00192155723556684,-0.000132236519358477,0.00127164902855682,0.000986301791688914,0.00143687379105904,0.00034709433761789,-0.000480661805628511,0.000956205298663002,0.00140731387993223
"T+14",0.00377997280423621,0.00191623151922853,-0.000147633257697335,0.00127166030495724,0.000986254018483299,0.00143665026378332,0.000346951011202813,-0.00048109065849691,0.00095750683278626,0.00137269079084377
"T+15",0.00377742723462572,0.00191171867995061,-0.000137611802272314,0.00127165619348229,0.000986274111743371,0.00143675331983466,0.000346864424018762,-0.000480831821869655,0.000956858592803577,0.00134088484141284
"T+16",0.00377559691394251,0.00190789464649024,-0.000144134583923274,0.00127165769256217,0.000986265619186903,0.00143670580639429,0.000346830104993288,-0.000480988050961948,0.000957181070766184,0.00131166681243045
"T+17",0.00377428087301023,0.0019046542846842,-0.000139889024833236,0.00127165714598447,0.000986269197491492,0.00143672771221134,0.000346811617011254,-0.000480893755551785,0.000957020536880339,0.0012848261353645
"T+18",0.00377333461055944,0.00190190850729381,-0.00014265238146149,0.00127165734527151,0.000986267686807268,0.00143671761265177,0.000346803679592083,-0.000480950669959724,0.000957100420200675,0.00126016937477964
"T+19",0.00377265422699095,0.00189958182467887,-0.000140853763258005,0.0012716572726097,0.000986268323786001,0.00143672226899959,0.000346799655982577,-0.000480916317908327,0.0009570606599227,0.0012375188342943
"T+20",0.00377216501620182,0.00189761026937026,-0.000142024450894887,0.00127165729910283,0.000986268054990069,0.00143672012221538,0.000346797851680644,-0.000480937051933368,0.000957080447007092,0.001216711275957
"T+21",0.00377181326285668,0.00189593963741125,-0.000141262471759686,0.0012716572894432,0.000986268168360597,0.00143672111197873,0.000346796966417046,-0.000480924537408521,0.000957070598964865,0.00119759674382297
