"","AAPL","MSFT","BA","JPM","DIS","V","CRM","INTC","WMT","JNJ"
"T+1",0.000962215707073936,-0.00102078793509349,0.000227119080258896,0.00384122965398748,0.00345224374963739,0.000622350295918128,-0.00107786970485089,0.000408890803667308,0.000748152932687976,0.000174076400118992
"T+2",0.00366958137142383,0.00288686839358803,0.00075910360603872,0.00155414433987072,0.00235489989158671,0.00154690204110007,0.00317940151127247,0.000929953161854147,0.000697385569917885,0.000382727127260882
"T+3",0.00246623362637428,0.00199302254465817,0.00123082982069547,0.00312479976918893,0.00278926932255782,0.000486478697740913,-0.000838453356537278,0.00089066102987991,0.000682759168030446,0.000975139822222253
"T+4",0.00291726801825844,0.00216286403820665,0.0014439834060594,0.00266348359698884,0.00254742951759689,0.00142783490806174,0.00294842689902734,0.000915520541015739,0.000670804830644161,0.000952682641369942
"T+5",0.00274513076594917,0.00209803697239502,0.00153546354907578,0.00285219755103568,0.00268715618732,0.000617927453535845,-0.000620762005936265,0.000922467229563442,0.000663792280865824,0.00104125477727122
"T+6",0.00281069253936396,0.002085926244954,0.00157450087428563,0.00278572724298154,0.00260616449532138,0.00131162482619351,0.00274324967625953,0.000927207015777828,0.00065933226002256,0.00103005729149205
"T+7",0.00278571632514092,0.00206289387696319,0.00159114838246785,0.0028106926402783,0.00265312389153334,0.00071785223124069,-0.000427379533708065,0.000929658946945336,0.000656556275090223,0.00104400046488072
"T+8",0.00279523094092275,0.0020430057970226,0.00159824719632459,0.00280157694964958,0.00262589594553506,0.00122604506131595,0.00256098392540391,0.000931016856609607,0.00065481867676623,0.00104111810936481
"T+9",0.00279160636526353,0.00202312780158033,0.00160127423931527,0.0028049465309176,0.00264168325572194,0.000791103609752157,-0.000255591452026287,0.000931755372824576,0.000653732658983343,0.00104341313179792
"T+10",0.00279298714034527,0.00200393373122393,0.00160256501554299,0.00280370764875515,0.00263252945446144,0.00116335143423225,0.00239907119704233,0.000932158929185839,0.00065305362149922,0.00104278684007927
"T+11",0.00279246113673097,0.00198525503236918,0.00160311542169351,0.0028041642127245,0.00263783701336636,0.000844760505873169,-0.000102986385662879,0.00093237917584866,0.000652629093728091,0.00104317816913862
"T+12",0.00279266151679631,0.00196711017386155,0.0016033501230461,0.00280399612773566,0.00263475958348085,0.00111742878879111,0.00225523873547221,0.000932499417706633,0.000652363675872047,0.00104305167923275
"T+13",0.00279258518239572,0.00194947675728346,0.00160345020318652,0.00280405803622141,0.0026365439395042,0.000884063725926264,3.25777701958472e-05,0.000932565057169434,0.000652197735865816,0.00104312016618311
"T+14",0.00279261426183885,0.00193234194813296,0.00160349287884387,0.002804035238746,0.0026355093338311,0.0010837908519823,0.0021274675762146,0.000932600890242348,0.00065209398950478,0.00104309556221087
"T+15",0.00279260318408091,0.0019156912976306,0.0016035110763776,0.00280404363451143,0.00263610921910332,0.00091285299013058,0.000153003918498978,0.00093262045167001,0.000652029126893092,0.00104310776865945
"T+16",0.00279260740413149,0.00189951120294257,0.00160351883607608,0.00280404054266654,0.00263576139350253,0.0010591513582633,0.00201396420597525,0.000932631130353349,0.000651988574541269,0.00104310308252585
"T+17",0.00279260579651134,0.00188378834877179,0.00160352214492669,0.00280404168129529,0.00263596306981326,0.000933940873667448,0.000259982471223792,0.000932636959898821,0.000651963221057339,0.00104310528498247
"T+18",0.00279260640893114,0.00186850981755111,0.00160352355586971,0.00280404126197727,0.00263584613381368,0.00104110314521445,0.00191313538724536,0.000932640142276546,0.000651947369963034,0.00104310440339035
"T+19",0.00279260617563099,0.00185366305201224,0.00160352415751675,0.00280404141639823,0.00263591393566879,0.000949387563406913,0.000355015077550191,0.000932641879552248,0.000651937459798782,0.00104310480401045
"T+20",0.00279260626450624,0.00183923585080161,0.00160352441406798,0.00280404135953018,0.00263587462278334,0.00102788298744806,0.00182356579415727,0.000932642827939632,0.000651931263926518,0.00104310463938493
"T+21",0.00279260623064938,0.00182521635713891,0.00160352452346523,0.00280404138047278,0.00263589741718859,0.000960702128165833,0.000439435702387204,0.000932643345668988,0.000651927390243688,0.00104310471263782
