"","KO","T","CAT","DIS","MCD","VZ","RTX","MMM","DD"
"T+1",0.00190811755875991,0.00139991538811908,-2.52687350865526e-06,0.00127864393843211,0.000688126112748504,0.00396537248874384,0.00368873759625208,0.00041512412078281,0.0038812943889518
"T+2",0.0021510849389199,0.0034738372974689,-0.00192584143454851,-0.000438323907306422,0.000751981710942143,-0.00244372515695537,-0.000267705187599439,-0.000497793803724219,0.00207755849470192
"T+3",0.00191917142802526,-0.00229286769774051,0.000329619425602795,0.000202853305759306,0.00111412727620059,0.00143652456499457,0.00140724818414578,-0.000261180469370701,-0.00147986032675334
"T+4",0.00174298376398865,0.00250574241534979,0.000435883808225885,-8.94845915786418e-05,0.00112679580407757,7.78512527213114e-05,0.000651258664659263,-0.000131933185209716,0.000425542314469995
"T+5",0.00161820240123484,-0.00100807080895932,0.000649064550900685,7.31399919360028e-05,0.00114011817592995,0.000713098341479001,0.000993171069756676,-2.42840789961594e-05,5.99664523294518e-05
"T+6",0.00153008854019203,0.00149664429086346,0.000684668047324079,-3.06514015341126e-05,0.00114095349201803,0.000460499890612487,0.00083852417140105,6.19584577098963e-05,-4.69581706568233e-05
"T+7",0.00146787528492999,-0.00027770483706972,0.000707955594016617,4.05516833632162e-05,0.00114145417453833,0.000570203104189784,0.000908471061287216,0.000131257985368508,5.53957221670053e-05
"T+8",0.0014239495352753,0.000977410209327536,0.000713974042560974,-9.90478111811053e-06,0.00114149842142033,0.000524829577871339,0.000876834036896566,0.000186930084475794,2.35701540201152e-05
"T+9",0.00139293571030541,8.98919977363172e-05,0.000716779359824051,2.63359752883463e-05,0.00114151760666462,0.000544105856592209,0.000891143483903438,0.000231655340659793,2.3459516565174e-05
"T+10",0.00137103836452263,0.000717423118645131,0.000717657831327986,1.63755550450646e-07,0.00114151974009232,0.00053603674882782,0.000884671311580099,0.000267586187986265,2.81188385175595e-05
"T+11",0.00135557771906622,0.000273727862611028,0.000718014614080173,1.91056608022245e-05,0.00114152048779349,0.00053944207067659,0.000887598679392632,0.000296451890348229,2.59813306918649e-05
"T+12",0.00134466171306737,0.000587440700085839,0.000718136369223857,5.38488801058818e-06,0.00114152058557499,0.000538011378855015,0.000886274628999389,0.000319641679279437,2.62946348727949e-05
"T+13",0.00133695445483531,0.000365631620678145,0.000718182976700274,1.5327037178552e-05,0.00114152061513459,0.000538613944566644,0.000886873497865933,0.000338271619555785,2.64593270311842e-05
"T+14",0.00133151273654916,0.000522460570624271,0.000718199502857594,8.12193937332736e-06,0.00114152061948117,0.000538360505642509,0.000886602629082429,0.00035323832217268,2.63378418022425e-05
"T+15",0.00132767060527313,0.000411575488343993,0.000718205667557301,1.33437644523441e-05,0.00114152062066357,0.000538467181638193,0.000886725143211941,0.000365262095942254,2.63701453739644e-05
"T+16",0.00132495786419284,0.000489976200050607,0.000718207890873576,9.55921868277947e-06,0.00114152062085301,0.000538422298684215,0.000886669729990321,0.000374921614098153,2.63728052025793e-05
"T+17",0.00132304253032212,0.000434543391161295,0.000718208710864242,1.23021109720104e-05,0.00114152062090076,0.000538441187056003,0.000886694793427025,0.000382681764346511,2.63668984379387e-05
"T+18",0.00132169020670268,0.000473736865709354,0.000718209008824073,1.0314162401273e-05,0.0011415206209089,0.000538433239136566,0.000886683457218066,0.000388916022712733,2.63692434004943e-05
"T+19",0.00132073539710021,0.000446025326683505,0.000718209118167759,1.17549570529823e-05,0.00114152062091085,0.000538436583721328,0.000886688584592858,0.000393924427979761,2.63690148347877e-05
"T+20",0.00132006125271356,0.000465618623884136,0.000718209158031828,1.07107196422658e-05,0.00114152062091119,0.000538435176331068,0.000886686265477856,0.000397948021781184,2.63687809382834e-05
"T+21",0.00131958527231614,0.000451765286657722,0.000718209172628724,1.14675464280769e-05,0.00114152062091127,0.000538435768568582,0.000886687314415102,0.000401180449313641,2.63689221398834e-05
