"","MRK","DIS","T","VZ","BA","RTX","MMM","DD","TRV","MDLZ"
"T+1",0.00129739059253802,0.000335853723401253,0.00102857173205724,0.000668852705720116,-0.0011789678460627,0.00640457007333327,0.00226519211688164,0.0031105718287545,0.00893283954315638,0.00124762226162709
"T+2",0.00167354670665858,0.000888641757869279,0.0024954800881988,0.000876058057338879,-0.000672414794051448,-0.00147729475545778,0.00392652046043572,-0.00751093132402712,0.00201587613922131,0.000757382274420047
"T+3",0.00108227452751447,0.000893875911011171,0.000218862114685532,-0.000446018158399684,-0.000473062189648672,0.00406432123602215,0.00156317129657841,-0.00549476693289706,0.00209355313574132,0.000713609502395816
"T+4",0.00105328600500024,0.000888310345780456,0.000143102951168757,-0.000273439841597452,-0.000319609032986574,-1.85277888644438e-05,0.00110234482877958,-0.00536841608603158,0.00171315354190656,0.00062761099057043
"T+5",0.00107890614614698,0.000882622095702728,0.000370158528966884,-0.000189786233717654,-0.000199518188699348,0.00299196517943651,0.00126096398584287,-0.00499783612078242,0.00155560754034513,0.000566638151578313
"T+6",0.00108072502412508,0.000877022078589399,0.000370750157002056,-0.000215930946423827,-0.000105509910479403,0.000772145432705066,0.00132419254623716,-0.00469351791011426,0.00146569362409483,0.000516952791449764
"T+7",0.00107962660252363,0.000871513016502877,0.000348316313404027,-0.000219041037885057,-3.19189690720073e-05,0.002408954040788,0.001317745290951,-0.0044075310802626,0.00141793869843634,0.000477534797249439
"T+8",0.00107952307310145,0.000866093513480175,0.000348938427044205,-0.000216451451065159,2.56890117658263e-05,0.00120203513064282,0.00131106089470139,-0.00414471328041911,0.00139220223491051,0.000446108292735704
"T+9",0.00107956963441952,0.000860762115206016,0.000351134320370123,-0.000216567760977627,7.07853157024064e-05,0.00209197012277505,0.00131078811440859,-0.00390233245765521,0.00137837411527123,0.000421075927802763
"T+10",0.00107957519508514,0.000855517389395513,0.000351006291106192,-0.000216763407724107,0.000106087310308179,0.00143576672454762,0.00131137071536545,-0.00367892523133867,0.00137093965397509,0.000401133367795566
"T+11",0.00107957324577815,0.000850357927016333,0.000350793386851096,-0.000216725818277354,0.000133722187545548,0.00191962554980129,0.00131147167054907,-0.0034729878970828,0.00136694315616987,0.0003852462036871
"T+12",0.00107957295858829,0.000845282341942125,0.000350812484812638,-0.000216715166722305,0.00015535514195656,0.00156284689944947,0.00131143092475411,-0.00328315705936504,0.00136479472571656,0.000372589682111558
"T+13",0.00107957303906477,0.000840289270580759,0.000350832924301355,-0.000216719776020676,0.000172289710275035,0.00182592157888749,0.00131141629352451,-0.00310817262123486,0.00136363978255638,0.000362506865184722
"T+14",0.00107957305347679,0.000835377371508005,0.000350830418845262,-0.000216719988447675,0.000185546318627482,0.00163194055762074,0.00131141815907426,-0.00294687352517007,0.00136301891292007,0.000354474388276955
"T+15",0.00107957305020754,0.000830545325107145,0.000350828476973612,-0.000216719580065542,0.000195923770340758,0.00177497460670548,0.00131141975442846,-0.00279818944694689,0.001362685148431,0.00034807531514291
"T+16",0.00107957304950031,0.000825791833214452,0.000350828783228844,-0.000216719621204676,0.000204047379426751,0.00166950687040853,0.00131141978931615,-0.00266113378170025,0.00136250572471124,0.000342977493173116
"T+17",0.00107957304963058,0.000821115618770428,0.000350828965648581,-0.000216719648789737,0.000210406650123004,0.0017472746709482,0.00131141964633984,-0.00253479708426751,0.00136240927085847,0.000338916313021125
"T+18",0.00107957304966466,0.000816515425476711,0.000350828929880126,-0.000216719641461365,0.000215384772945034,0.0016899317240611,0.00131141962452834,-0.00241834103638513,0.00136235741959965,0.000335680973629424
"T+19",0.00107957304965959,0.000811990017458565,0.000350828912955892,-0.000216719640250413,0.000219281714593675,0.00173221417945881,0.00131141963491307,-0.00231099288367516,0.00136232954561677,0.000333103540324991
"T+20",0.00107957304965798,0.000807538178932852,0.000350828917000496,-0.000216719641024911,0.000222332293045799,0.00170103674384534,0.00131141963827975,-0.00221204030800633,0.00136231456123762,0.000331050227941167
"T+21",0.00107957304965817,0.0008031587138814,0.000350828918548638,-0.000216719641013146,0.000224720326978977,0.00172402577043543,0.00131141963775719,-0.00212082670083825,0.00136230650599774,0.000329414456517593
