"","HD","DIS","VZ","T","BA","RTX","DD","MMM","TRV","MDLZ"
"T+1",0.00171693899665412,0.00190916432886797,-0.000671616666697168,0.000280085045245447,0.00266981623411731,0.00313837208463175,0.000757883899415435,0.00126509041302442,0.000956772098447467,0.00145123516959591
"T+2",0.0021801194900375,0.00180564846547331,0.000526402007799703,0.000296534345651758,0.00333556819144256,0.000809732567143081,0.00392153775026175,0.00227711051397298,0.00165519181379566,0.000182566577889711
"T+3",0.00210380847251745,0.00182472282067919,-0.000372679835504732,0.000308549241418149,0.00293139020154828,0.00293307309955777,0.00314750129974897,0.0015240064948189,0.00123911280706112,0.00145452590032777
"T+4",0.00205111260742801,0.00180949310236684,0.000271401010787245,0.000296477366518236,0.00314898614554299,0.000923289489142352,0.00365375964933491,0.00211106017740287,0.00153030783017888,0.000743010060430524
"T+5",0.00203099840085964,0.0018224332460919,-0.00019207541547102,0.000308005549680496,0.0030293348590939,0.00283303679048312,0.00344209885216046,0.00165293346373064,0.0013275368557233,0.0011645051425755
"T+6",0.00202428891415306,0.00181142648207207,0.000141292495335807,0.000297009164307181,0.0030948738098864,0.00101762094111302,0.00354743771800568,0.00201045713553276,0.00146875513681513,0.000916568823727937
"T+7",0.00202215503416898,0.00182078890472766,-9.85017035635427e-05,0.000307498006209523,0.00305894951734869,0.00274343522988087,0.00349872928137746,0.0017314442539123,0.00137040517015709,0.00106253616940781
"T+8",0.00202148920946278,0.0018128251666737,7.39834479817938e-05,0.000297493287992669,0.00307863840021771,0.0011027933014996,0.00352194069761506,0.00194918700879451,0.00143889996455481,0.000976609709795038
"T+9",0.00202128311286557,0.00181959917447729,-5.00860248317201e-05,0.000307036227633839,0.00306784734013166,0.00266246695712275,0.00351101696340242,0.00177925970277053,0.00139119748938068,0.00102719258024758
"T+10",0.00202121953682466,0.00181383715902471,3.91577930879735e-05,0.000297933752682399,0.00307376166655262,0.00117976559772516,0.00351618447167664,0.00191187164362899,0.00142441937372944,0.000997415687315821
"T+11",0.00202119995404829,0.00181873836714824,-2.50357501585857e-05,0.000306616093067695,0.00307052016071582,0.00258929336845955,0.0035137451764037,0.00180838076114676,0.00140128234371894,0.00101494461565154
"T+12",0.00202119392599281,0.00181456936738282,2.11389999697139e-05,0.00029833449548371,0.0030722967550143,0.00124932795683048,0.00351489764910007,0.0018891454546398,0.00141739588357981,0.00100462576463229
"T+13",0.00202119207092497,0.00181811554591799,-1.20747383856134e-05,0.00030623384698336,0.00307132304478766,0.00252316401861268,0.00351435334885495,0.00182611636880564,0.00140617377915543,0.00101070021964715
"T+14",0.00202119150011688,0.0018150991432049,1.18160766695155e-05,0.000298699098587024,0.00307185671282983,0.00131219372175132,0.00351461045466486,0.0018753045163646,0.00141398929510035,0.00100712433666879
"T+15",0.00202119132448725,0.00181766491513018,-5.36871107982963e-06,0.000305886072530214,0.00307156422172551,0.00246340077568691,0.00351448901566487,0.00183691789170931,0.00140854626167495,0.00100922937144872
"T+16",0.00202119127044971,0.00181548245270764,6.99239628752382e-06,0.000299030821134533,0.00307172452933124,0.00136900755690521,0.00351454637652627,0.001866874965223,0.00141233700474026,0.00100799018900021
"T+17",0.00202119125382365,0.00181733886955391,-1.89901264786223e-06,0.000305569660995295,0.00307163666844222,0.00240939079050411,0.00351451928281362,0.00184349634671816,0.00140969698182213,0.0010087196653753
"T+18",0.00202119124870824,0.00181575978921258,4.49662412696738e-06,0.000299332628353191,0.0030716848229623,0.00142035206641676,0.00351453208025913,0.00186174111294825,0.00141153559786341,0.0010082902404892
"T+19",0.00202119124713436,0.00181710296530441,-1.03790728856241e-07,0.000305281784014902,0.00307165843058419,0.00236058021134807,0.00351452603552412,0.00184750282531283,0.00141025511316608,0.00100854303240831
"T+20",0.00202119124665012,0.00181596045091396,3.20531164684059e-06,0.000299607218060518,0.00307167289563588,0.00146675376856979,0.00351452889069149,0.0018586144412268,0.00141114689319153,0.0010083942199933
"T+21",0.00202119124650113,0.00181693228114555,8.25057066325812e-07,0.000305019868292197,0.00307166496767579,0.00231646850442047,0.00351452754208346,0.00184994289227505,0.00141052582242399,0.00100848182221942
