"","AXP","VZ","T","BA","HD","RTX","MMM","DD","TRV","MDLZ"
"T+1",-0.000489712903809544,0.000737931173771198,0.00295867933120281,6.82769874288363e-05,0.00198250218241079,0.000656467272439697,0.000153261510210362,0.000760415583112021,0.000574731160215403,0.00145039016689672
"T+2",-0.000903506061300277,0.000912491237020962,0.00193134857274865,0.000347773477195552,0.000965347531273829,0.000674425459657548,8.20139086477782e-05,0.00191725932922093,-0.000518975094202631,9.70561178141278e-05
"T+3",-9.61153386025635e-05,0.000837978778341046,0.00100039370452302,0.000266427708320684,0.000365882418368123,0.000593701529009824,8.18637488321328e-05,0.00162114044901792,-0.000192593655970412,0.00109635579188847
"T+4",0.000157469510987595,0.000905014044231555,0.000675283889723691,0.000192013625723803,0.000970756684299785,0.000624522066765713,8.21488943856542e-05,0.00133549062386607,-0.000131765823143942,0.000552381608843451
"T+5",0.000330211110136378,0.000845294003690121,0.000641751018948082,0.000154466200891402,0.000625079870449471,0.000616110942470714,8.20792562447538e-05,0.00116210310968587,-4.23040992941706e-05,0.000860581370278828
"T+6",0.000418443843663537,0.000898501755243876,0.000670323113457758,0.000138543101349938,0.000779932471715086,0.000618006993371329,8.20953976631448e-05,0.00106452052455185,2.75040583334925e-05,0.000686986030824211
"T+7",0.000467803341014809,0.000851096184655952,0.000689398111278314,0.000132332967888294,0.000722725201582225,0.000617646077229729,8.20916685920816e-05,0.00101051431955752,8.8164367507605e-05,0.000784847606793229
"T+8",0.000494581652374586,0.000893332288851776,0.000695007749028136,0.00013002683898845,0.000739439853750252,0.00061770137554015,8.20925299151338e-05,0.000980742482584137,0.000139707094115656,0.000729686498813119
"T+9",0.000509257477386487,0.000855701932853452,0.000695165246443978,0.000129197369096795,0.000736503594465219,0.000617696102038231,8.20923309736404e-05,0.000964345601302504,0.000183700798860609,0.000760779417115938
"T+10",0.000517273423163756,0.000889228786703325,0.000694460217069928,0.000128905588190991,0.000735934434489893,0.000617695656263256,8.20923769235095e-05,0.00095531701023907,0.000221216763238521,0.000743253172412172
"T+11",0.000521656653801564,0.000859357957707691,0.000694083203120553,0.00012880460178718,0.000736829502049041,0.000617696070571326,8.20923663103875e-05,0.000950345874813477,0.000253214716936586,0.000753132250506437
"T+12",0.00052405257147293,0.000885971442792865,0.000693991947152278,0.000128770075590506,0.000736266234125413,0.000617695928454085,8.20923687617189e-05,0.000947608806171839,0.000280505248014187,0.000747563677183111
"T+13",0.00052536236635745,0.000862260095897126,0.00069399871196339,0.000128758382810187,0.000736533301575289,0.000617695965326861,8.20923681955306e-05,0.000946101801957741,0.00030378107242623,0.000750702533744848
"T+14",0.000526078372582413,0.000883385775972874,0.000694014877429012,0.000128754452389368,0.000736429282179563,0.000617695957333247,8.20923683263041e-05,0.000945272060232083,0.0003236327625878,0.000748933243851023
"T+15",0.000526469786489467,0.000864563801808975,0.000694022071137395,0.000128753139104895,0.00073646203455414,0.000617695958790685,8.20923682960991e-05,0.000944815212662608,0.000340564052250997,0.00074993054546941
"T+16",0.000526683756905063,0.000881333283792808,0.000694023433044886,0.000128752702418908,0.000736454965926572,0.000617695958582696,8.20923683030756e-05,0.000944563676929645,0.000355004563320962,0.000749368393093203
"T+17",0.000526800726198081,0.000866392474526079,0.000694023112971543,0.000128752557790851,0.000736454814326762,0.000617695958597989,8.20923683014642e-05,0.000944425183855451,0.000367320716832024,0.000749685263424355
"T+18",0.000526864668723008,0.000879704023550669,0.000694022761389809,0.000128752510047799,0.000736456076087466,0.000617695958601446,8.20923683018364e-05,0.00094434893094566,0.000377825029053359,0.000749506652053107
"T+19",0.000526899623599382,0.000867844067756397,0.000694022629115331,0.000128752494330309,0.000736455176128934,0.000617695958599396,8.20923683017504e-05,0.000944306946851638,0.0003867840417193,0.00074960733052882
"T+20",0.000526918732061488,0.000878410723160832,0.000694022611670809,0.000128752489167733,0.000736455630236063,0.000617695958600042,8.20923683017703e-05,0.000944283830826881,0.000394425085344882,0.00074955058075191
"T+21",0.000526929177909639,0.000868996336769105,0.000694022621381663,0.000128752487475271,0.000736455443959417,0.000617695958599882,8.20923683017657e-05,0.000944271103373472,0.000400942047633735,0.000749582569090594
