"","VZ","T","AXP","HD","BA","RTX","MMM","DD","TRV","MDLZ"
"T+1",-0.000669772803742081,-0.000960800877692262,0.00121397107078886,-0.000738630681001389,-0.000278674858981719,0.00027831694139397,0.00198160842300331,-0.000749477083645672,0.00478194778659691,0.000278361510469284
"T+2",-0.000847308189774203,-0.000315164772939023,-0.00155108583836822,0.0026119458631701,-0.00340217926732558,-0.000685034206353324,0.000367823353210043,-0.00432344173583126,0.000951753784404141,0.000248920454573475
"T+3",0.00106062121625158,0.000440599319832627,0.00250809746659279,-0.00129896175913108,0.00318845474314639,0.00198735565451881,0.000404113716335445,0.00485951103674334,0.00153571984803687,0.000758349090862197
"T+4",-0.000453698125675508,1.861357223214e-05,0.000769985833658131,0.00236740575269814,-0.00248491859303433,-0.000480460333764906,0.000362205421857507,-0.00269973361293993,0.0014192738542787,0.000411831937090035
"T+5",0.000934755028328733,0.000349699254554311,0.00180792091318648,-0.00101598535880687,0.0028495809046197,0.00196260182252058,0.000336453842425903,0.00437277915558976,0.00141461530466618,0.000684323286477608
"T+6",-0.0003134820935531,0.000104555679121887,0.00125816445662927,0.00210227025671604,-0.00210580190276532,-0.000439585822999036,0.000318024776966925,-0.00210374818202846,0.0013927507078074,0.000474109117757146
"T+7",0.000811555777943835,0.000287659674963671,0.00156133419683298,-0.000771324411729261,0.00250483830501714,0.00192393371334781,0.000305008101538066,0.00384747949335674,0.00137415182116026,0.000636667997539347
"T+8",-0.000202106976412886,0.000151078739609367,0.00139645869265634,0.00187678270705961,-0.00178411877484529,-0.000401397574436772,0.000295804508593955,-0.001618011554799,0.00135555507047547,0.000510998877324117
"T+9",0.000711245729793194,0.000252978274392849,0.0014865524774767,-0.000563528866747103,0.00220571364449048,0.00188637583004175,0.000289297560743635,0.00340183945897164,0.00133746643708314,0.000608153373725865
"T+10",-0.000111718807187856,0.000176956060671848,0.00143740246002153,0.00168529263564478,-0.00150584171423875,-0.000364445063167331,0.00028469711105077,-0.00120864082417859,0.00131979357279239,0.000533043822711799
"T+11",0.00062980318883362,0.000233672759384536,0.00146423092853723,-0.000387064918867114,0.0019468472188412,0.0018500202990038,0.000281444568406769,0.00302586297961611,0.00130253942940293,0.000591110595153817
"T+12",-3.83359518790969e-05,0.00019135905473553,0.00144958946043678,0.00152267572861434,-0.00126502998655835,-0.000328676740120041,0.000279145003180606,-0.000863323088954768,0.00128569210108838,0.000546219502580581
"T+13",0.000563682490241137,0.000222927355575988,0.00145758047623943,-0.000237208482768109,0.00172283120704957,0.00181482971143288,0.000277519198144858,0.00270870563029773,0.00126924231131371,0.000580924552073964
"T+14",2.12412800365482e-05,0.000199375704673331,0.00145321924073771,0.00138457845544757,-0.00105663822172576,-0.000294054555233189,0.000276369745202627,-0.000572029418247993,0.00125318062948125,0.000554094274843858
"T+15",0.000510001168443159,0.0002169465034488,0.0014555994791173,-0.000109947636641354,0.0015289739624282,0.00178076674842507,0.000275557075763598,0.00244116653335809,0.00123749790672108,0.000574836610234837
"T+16",6.96101656676061e-05,0.000203837742166847,0.00145430041611444,0.00126730370710915,-0.000876301770230571,-0.00026054178147257,0.000274982514080497,-0.000326307738747224,0.00122218520061612,0.000558800828204938
"T+17",0.000466418987190604,0.000213617583399688,0.00145500940654071,-1.8753817693449e-06,0.00136121528108507,0.00174779527718689,0.000274576295866999,0.00221548309400626,0.00120723378122943,0.000571198000483951
"T+18",0.00010887934663022,0.000206321295635999,0.00145462246051396,0.00116771183043834,-0.00072024360820085,-0.000228102869570563,0.000274289097395832,-0.000119028450526199,0.00119263512436029,0.000561613816798433
"T+19",0.000431035981357775,0.000211764718884208,0.00145483364424524,8.99015679256484e-05,0.00121604157239259,0.00171588032265591,0.000274086046525388,0.00202510712559332,0.00117838090696493,0.000569023294931867
"T+20",0.000140760762821679,0.000207703632257856,0.00145471838639625,0.00108313657413346,-0.000585195204314522,-0.000196703409385475,0.000273942488463187,5.58226388458751e-05,0.00116446300236677,0.000563295069345707
"T+21",0.000402309628849026,0.000210733421387731,0.00145478129073003,0.000167840244279656,0.00109041227245595,0.00168498803048743,0.00027384099213777,0.0018645148843068,0.00115087347563029,0.000567723528108258
