"","HD","VZ","AXP","BA","RTX","AA","MMM","DD","MDLZ","TRV"
"T+1",0.00197514410861064,0.000767694014664432,-0.00294168187585057,0.00251741155318614,-0.000209888800779629,-0.00159201437899789,-0.000150950185268112,-0.00341008772302342,0.00040734312994634,-0.0018866448516726
"T+2",0.002140978869588,0.000959872930508535,0.00373513146333295,0.00181060712129328,0.000212861080012597,-0.00158009437322303,2.65593564475066e-05,0.00285346395275955,0.000318678691829,0.000769912065009472
"T+3",0.00190264747955251,0.000548914974212742,-0.000354026169347241,0.00129221327265182,-7.83190461011572e-05,-0.00152677642569838,7.06199650695791e-05,-0.00156447999256374,0.000356860284723566,-0.000300769569466383
"T+4",0.00199344668226027,0.000916153799693448,0.00222363184492146,0.000937371544512026,0.000123557546663628,-0.00157516398243457,8.61453316107021e-05,0.0024631583771486,0.00034655032446563,7.38308680502486e-05
"T+5",0.00196206259913321,0.00057509233437033,0.000609690565706234,0.000698271307330135,-1.64052701162485e-05,-0.00152909471283287,9.07450074609544e-05,-0.00105123178827924,0.000349386889895154,-6.12656362352247e-05
"T+6",0.00197275600768584,0.000891065077461466,0.00162180409638435,0.00053776692721488,8.06321818694972e-05,-0.00157287689126276,9.22241783792773e-05,0.00203635036595527,0.000348607189710875,-1.28736622856179e-05
"T+7",0.00196912064932482,0.000598290410693086,0.000987331335515542,0.000430121416837973,1.33552628665358e-05,-0.00153126544178674,9.26813392086107e-05,-0.000673320905565003,0.00034882151927033,-3.02339099784566e-05
"T+8",0.00197035609543308,0.000869567533410543,0.00138510255955804,0.000357942881446799,5.99989425789412e-05,-0.00157081368769979,9.28253438705794e-05,0.00170510189123743,0.000348762602959202,-2.40081362784606e-05
"T+9",0.00196993626309997,0.000618209303588021,0.0011357319678917,0.00030954831567134,2.76604691566121e-05,-0.00153322634283789,9.28702916617934e-05,-0.0003825099468159,0.000348778798261896,-2.6241003935698e-05
"T+10",0.00197007893027862,0.000851111203533541,0.00129206799991593,0.000277100955147019,5.00810172294639e-05,-0.00156895001290751,9.28843829145527e-05,0.00144985638119965,0.000348774346390709,-2.54402013348075e-05
"T+11",0.00197003044926997,0.000635310451092578,0.00119405752910585,0.000255345871963532,3.45366540394573e-05,-0.00153499761195719,9.28887912299756e-05,-0.00015847138625947,0.000348775570150304,-2.57274047218591e-05
"T+12",0.00197004692403097,0.000835265731654869,0.00125550244759335,0.000240759684859012,4.53136977672781e-05,-0.00156726656775146,9.28901717318071e-05,0.00125321057108702,0.000348775233755228,-2.56244009124904e-05
"T+13",0.0019700413255967,0.000649992447049158,0.00121698127978644,0.000230980047998151,3.78418785559237e-05,-0.00153659758768209,9.28906038367013e-05,1.41311027831175e-05,0.000348775326225716,-2.5661342630936e-05
"T+14",0.00197004322805016,0.000821661781772604,0.00124113104554999,0.000224423071046581,4.30221565372633e-05,-0.00156574592283406,9.28907391197382e-05,0.00110171171886464,0.000348775300806821,-2.5648093698539e-05
"T+15",0.00197004258156063,0.000662597507896805,0.00122599102727312,0.000220026798785679,3.94306242470852e-05,-0.00153804283521231,9.28907814692581e-05,0.0001471066057683,0.000348775307794134,-2.56528453511045e-05
"T+16",0.00197004280124995,0.000809982265136034,0.00123548263708134,0.000217079219454381,4.1920665174977e-05,-0.00156437233429955,9.28907947272331e-05,0.000984994766458318,0.000348775305873416,-2.56511411985447e-05
"T+17",0.00197004272659538,0.000673419439699646,0.00122953213853576,0.000215102948788509,4.01942978972743e-05,-0.00153934831778376,9.28907988776773e-05,0.000249552896112688,0.000348775306401395,-2.56517523829502e-05
"T+18",0.00197004275196441,0.000799954948801842,0.00123326263669758,0.000213777913800418,4.13912035160289e-05,-0.00156313158082677,9.28908001770011e-05,0.00089507430342433,0.000348775306256261,-2.56515331852174e-05
"T+19",0.00197004274334354,0.000682710486316625,0.00123092390550915,0.000212889514377246,4.05613783225668e-05,-0.00154052755158885,9.28908005837606e-05,0.000328479030433332,0.000348775306296156,-2.56516117992096e-05
"T+20",0.00197004274627307,0.000791346110268992,0.00123239010743031,0.000212293867060625,4.11367034283349e-05,-0.00156201081639001,9.28908007110989e-05,0.000825798251360069,0.000348775306285189,-2.56515836047584e-05
"T+21",0.00197004274527756,0.000690687208847458,0.00123147091326031,0.000211894501959137,4.07378254719473e-05,-0.00154159274571514,9.28908007509628e-05,0.000389284889366128,0.000348775306288204,-2.56515937165344e-05
