"","CAT","VZ","MCD","AXP","UNH","RTX","NKE","MMM","DD","TRV"
"T+1",0.000307524255834278,0.00304700843357854,0.00100201134727293,0.00220517017651734,0.000847386712991342,0.00181401448125112,-0.000242578913933981,0.00160565600856395,0.00187236904873876,0.00191865511382355
"T+2",0.000184861550854,-0.0010260203707391,0.000128250036008372,0.0016768638549707,0.000679767108130481,0.00111093530283211,0.000475787961499049,0.000785074432009933,0.000729023839411732,0.00112958107265969
"T+3",-5.31013433153122e-05,0.0019557108701306,0.000559717643123209,0.00139091656523113,0.0008778618773465,0.00123508414440573,0.000632992393139816,0.00128989470311293,0.00139259750416398,0.000711589025770434
"T+4",-0.000121105117718322,-6.61153030991621e-05,0.000614226053480846,0.0015579296418527,0.000686970281936067,0.00129445386055738,0.00070708688264278,0.00148864509594187,0.0011997790799987,0.00104276774931663
"T+5",-0.000119200748936047,0.00128202160288876,0.000570986131119834,0.00147903569559963,0.000870469288907395,0.001280416109586,0.000766441829339759,0.00148317157491232,0.00123559690778199,0.000885647274517739
"T+6",-0.00011140194811893,0.000386582612372431,0.000568581528191779,0.00151530172718363,0.000694082360801156,0.00127555819194207,0.00082097196423127,0.00146181714790217,0.0012331858477446,0.000946780573160865
"T+7",-0.000108950761188794,0.000980795128622354,0.000572728299050681,0.00149869748449463,0.000863632786723874,0.00127706435580276,0.000872243626896847,0.00145747362387572,0.00123195511321917,0.000925846787222349
"T+8",-0.000108937531829225,0.000586560903007075,0.000572697767012165,0.00150629512105603,0.000700653891002154,0.00127744622198434,0.000920623682189038,0.00145863708622782,0.00123258914338341,0.000932275310776767
"T+9",-0.000109190803521394,0.000848104977814845,0.000572316016703865,0.00150281896659769,0.000857315959552217,0.0012772907130835,0.000966299873493259,0.00145934314610656,0.00123241334482679,0.00093051921336286
"T+10",-0.000109278302567248,0.00067459267626081,0.00057234213035325,0.00150440939377037,0.000706725887054333,0.00127726231847301,0.00100942683507371,0.00145938740291196,0.00123244423039478,0.000930927281548797
"T+11",-0.000109281416351504,0.000789703042565289,0.000572375852534157,0.00150368173522317,0.000851479305318249,0.0012772778921358,0.00105014734408218,0.00145932614958355,0.0012324427327561,0.000930858927229355
"T+12",-0.000109273273489127,0.000713337346609996,0.000572371379526,0.00150401465634697,0.000712336320979871,0.00127727982814048,0.00108859575045701,0.00145930762721712,0.00123244144145185,0.00093085888161676
"T+13",-0.000109270177613101,0.000763999322564006,0.000572368532807809,0.00150386233700696,0.000846086323727933,0.00127727830817723,0.00112489884207044,0.00145930957404745,0.00123244204373324,0.000930865807210468
"T+14",-0.000109269981382895,0.000730389523279088,0.000572369120268282,0.00150393202673082,0.000717520278374164,0.00127727819620663,0.00115917632301265,0.00145931189362889,0.00123244188419124,0.000930861643995186
"T+15",-0.000109270240233776,0.000752686691459506,0.000572369347776097,0.00150390014202329,0.000841103289052994,0.00127727834118667,0.00119154121688476,0.00145931222868204,0.00123244191058108,0.000930863450502492
"T+16",-0.00010927034887421,0.000737894466619429,0.000572369279551406,0.00150391473003595,0.000722310177804853,0.00127727834516726,0.00122210024069798,0.00145931207094268,0.0012324419098707,0.000930862783488512
"T+17",-0.000109270358588974,0.000747707816630686,0.000572369262667057,0.00150390805567291,0.000836499039222765,0.00127727833163142,0.00125095415692722,0.00145931200088625,0.00123244190854212,0.000930863002589026
"T+18",-0.000109270350467075,0.000741197515477635,0.000572369270008495,0.00150391110935288,0.000726735973545646,0.00127727833185638,0.00127819810578078,0.0014593120007726,0.00123244190911113,0.000930862938047815
"T+19",-0.00010927034668416,0.000745516532026893,0.000572369271122573,0.0015039097122216,0.000832244780948026,0.00127727833309405,0.00130392191891039,0.0014593120078312,0.00123244190896703,0.000930862954777613
"T+20",-0.000109270346252145,0.000742651241541228,0.000572369270375459,0.00150391035144242,0.000730825342899357,0.0012772783330192,0.00132821041561415,0.00145931200946139,0.00123244190898934,0.000930862951222965
"T+21",-0.000109270346503083,0.000744552111675343,0.000572369270317975,0.00150391005898368,0.000828313909658342,0.00127727833290841,0.00135114368251188,0.0014593120091214,0.0012324419089893,0.000930862951673821
