"","MCD","WMT","CAT","DD","RTX","UNH","AXP","MMM","NKE","TRV"
"T+1",0.00333719771481272,-0.000344419353975162,0.00266458299400936,0.000320464436038462,0.00111790415148777,-0.000708341818055853,0.00020017287258372,0.000148094950681369,-0.00244984447318163,0.000965573233178641
"T+2",-0.000277826167859163,0.000612673033677578,0.00100821391542021,0.004436046142901,0.000659446313333667,0.00145856076795989,0.000249940917593452,0.000382293079589471,-0.00115812337309139,0.000333335407467329
"T+3",-0.000123935172456284,0.000238785787765395,0.00102754340743761,0.00318479535674116,0.00056191445548164,0.000241327408168622,0.000473108737972835,0.000501389535410466,-0.000330110273671405,0.000547956491726858
"T+4",0.000534422976034589,0.000273054228355877,0.00116265641182863,0.00172006914737797,0.000506779938724966,0.00115909504324547,0.0004792977532056,0.000479787585291526,0.000153819082037037,0.000525639289202265
"T+5",-0.00030008024474148,0.000242681882810261,0.00108215727365967,0.00114320955376167,0.0004599075823756,0.000495291645691218,0.000489587031318148,0.000491663524286576,0.00043565413717538,0.000519775193187458
"T+6",0.000558207763747142,0.00024132809207626,0.00111715928734001,0.00109823359573024,0.000417359874723481,0.000977934888555716,0.000490050037863112,0.000487295350080494,0.000599768509712332,0.000522561567240879
"T+7",-0.000287755078767404,0.000238232166208132,0.001103862212588,0.0011814624365608,0.00037842928836996,0.000627247271363613,0.000490527550384346,0.000489095613408361,0.00069533282532751,0.000522142959377676
"T+8",0.000537698699220352,0.000237632944603841,0.00110852299937339,0.00123600151717936,0.000342775296243399,0.000882078176289216,0.000490557056871612,0.000488379587293155,0.000750980214348446,0.000522101097900178
"T+9",-0.000265760386702468,0.00023724729072518,0.00110698022745346,0.00125061220468814,0.000310118616830112,0.00069690462190933,0.00049057935843687,0.00048866747275155,0.000783383856403329,0.000522135243678378
"T+10",0.000515815062733569,0.000237131672580283,0.00110746798512524,0.00124848175235488,0.000280206903951235,0.000831461667814097,0.000490581096080974,0.00048855210907782,0.000802252594658746,0.000522128464522272
"T+11",-0.000244358717500019,0.0002370774067563,0.00110731989587511,0.00124456242966846,0.000252809389190949,0.000733685312108283,0.000490582143958934,0.000488598385479669,0.000813239917711605,0.000522128390134428
"T+12",0.000494972018540056,0.00023705815939055,0.0011073631472327,0.00124279059047161,0.000227714740037477,0.000804734850189445,0.000490582241627809,0.000488579828171848,0.000819637868980718,0.000522128782607456
"T+13",-0.000224080576570773,0.00023705007101284,0.00110735101298332,0.00124254378304832,0.000204729391409541,0.000753106449743421,0.00049058229114553,0.000488587270550012,0.000823363415253001,0.000522128682324981
"T+14",0.000475248477051776,0.00023704701048643,0.00110735426661862,0.00124273922534937,0.000183676048543539,0.000790622411220687,0.000490582296470543,0.000488584285883411,0.000825532812055681,0.000522128687416936
"T+15",-0.000204897669336487,0.000237045775780451,0.001107353441657,0.00124289376644329,0.000164392319019872,0.000763361303897277,0.000490582298822975,0.000488585482854877,0.000826796058340526,0.000522128691575938
"T+16",0.000456591674042518,0.000237045296939694,0.001107353635185,0.00124294273972164,0.000146729460122835,0.000783170684844463,0.000490582299107202,0.000488585002822444,0.000827531650452676,0.000522128690189982
"T+17",-0.000186752611265634,0.000237045106690074,0.00110735359523721,0.00124294089803061,0.000130551231526814,0.000768776127468085,0.000490582299219507,0.00048858519533441,0.000827959987952615,0.00052212869032991
"T+18",0.000438944340751277,0.000237045032217086,0.00110735360142925,0.00124293069666877,0.000115732844422499,0.000779235983968108,0.000490582299234445,0.000488585118129527,0.000828209410167485,0.000522128690368892
"T+19",-0.000169589354016576,0.000237045002797516,0.00110735360134884,0.00124292539055175,0.000102159998973438,0.000771635291905105,0.000490582299239831,0.000488585149091729,0.000828354649473593,0.000522128690350833
"T+20",0.000422251882037351,0.000237044991240661,0.0011073536008485,0.00124292436351786,8.9728002678077e-05,0.000777158361923941,0.000490582299240607,0.000488585136674666,0.000828439222758492,0.000522128690353492
"T+21",-0.000153354779780826,0.000237044986685148,0.00110735360114738,0.00124292478930444,7.8340962836805e-05,0.000773145003379731,0.000490582299240866,0.000488585141654398,0.000828488470036729,0.000522128690353778
