"","WMT","GS","CAT","AXP","RTX","DD","UNH","NKE","MMM","TRV"
"T+1",0.00100776512123651,0.00118902629930891,0.00359487896678539,-0.000342364837790936,0.00240622076144108,0.000746586752639946,0.00486897571157727,0.00157344825432852,0.0038268076366466,0.000820264824069229
"T+2",0.000109214233558066,0.00230228472417224,-0.00281558417842581,-0.000497731189520925,-0.000725270273632598,0.000447213302650792,0.00042710400223547,0.00171458992441299,-9.02016447456386e-05,0.00414413012431363
"T+3",0.000209005343498658,0.00230335681218166,-4.48850839294423e-05,-0.000460755957915456,5.73713591219988e-05,0.000322298904333215,0.00322182294107815,0.00171160547133356,0.00114187547765248,-0.0017147066824968
"T+4",0.000170553619989284,0.00223133733047561,-0.000935135273688306,-0.000464977501210916,-3.36136060565621e-05,0.00041683321515281,0.000580398520267016,0.00170725300461225,0.000641505270097293,0.00412296106564868
"T+5",0.000168888585197966,0.002157760509766,-0.000554934146737448,-0.000464566293291227,2.44666766257459e-05,0.000353036382742256,0.00317321137174638,0.00170406205422638,0.000779733459345127,-0.00130221461208583
"T+6",0.000165955940528498,0.00208739451576791,-0.000678499024658542,-0.000464604067128266,3.3761536489767e-05,0.00039586434112206,0.000621128198353939,0.00170175537168024,0.000712560657009545,0.00367925063581505
"T+7",0.000165208600018237,0.0020204079187554,-0.000626306128104431,-0.000464600683342318,4.34924911305881e-05,0.000367120530587511,0.00313360978483802,0.00170008858558172,0.000726194482083011,-0.000884812302110685
"T+8",0.000164850400139081,0.00195665961809784,-0.000643448061202407,-0.000464600983012161,4.78344916948572e-05,0.000386411580597564,0.000660081244794646,0.00169888419646306,0.000716340765027909,0.00329515236780403
"T+9",0.00016472273892749,0.00189599452904967,-0.00063628050168297,-0.000464600956614948,5.04055458970349e-05,0.000373464640880304,0.003095263030167,0.00169801392723142,0.000717137256655265,-0.000532758434128179
"T+10",0.000164671098185951,0.00183826363179532,-0.000638657482536323,-0.000464600958934329,5.1766809447828e-05,0.000382153812435228,0.000697833350081499,0.00169738508683726,0.000715487410438364,0.00297270291441875
"T+11",0.000164651361462789,0.0017833250150795,-0.000637672832743772,-0.000464600958730784,5.25184245971348e-05,0.000376322187058972,0.00305809619924952,0.00169693069844015,0.000715351515017604,-0.000237463074956281
"T+12",0.00016464362765787,0.00173104362465524,-0.000638002298421923,-0.000464600958748636,5.29268056983972e-05,0.000380236007186885,0.000734423990900613,0.00169660236581817,0.000715029547979406,0.0027022815160965
"T+13",0.000164640630524864,0.00168129093799751,-0.000637866987696832,-0.000464600958747071,5.31500552081206e-05,0.000377609297306656,0.00302207281522043,0.0016963651187596,0.000714950250204351,1.01784983503168e-05
"T+14",0.000164639463334575,0.00163394464882167,-0.000637912636466843,-0.000464600958747208,5.32718147553733e-05,0.000379372179751274,0.000769888912250973,0.00169619368843855,0.000714878455311553,0.00247550102011734
"T+15",0.000164639009771285,0.00158888836645172,-0.000637894036480619,-0.000464600958747196,5.33382809996205e-05,0.00037818904394441,0.00298715769881987,0.00169606981607043,0.000714851896892581,0.000217855202172862
"T+16",0.000164638833350589,0.00154601132970104,-0.000637900359094979,-0.000464600958747197,5.33745513970384e-05,0.000378983090275609,0.000804262747208355,0.00169598030819638,0.000714834380092455,0.00228531882678653
"T+17",0.000164638764757966,0.00150520813459001,-0.000637897801606611,-0.000464600958747197,5.33943465778512e-05,0.00037845017632572,0.00295331675393736,0.00169591563146792,0.000714826593904309,0.000392016606957073
"T+18",0.000164638738084063,0.00146637847523295,-0.000637898677045818,-0.000464600958747197,5.34051496008515e-05,0.00037880783464719,0.000837579063294738,0.00169586889726438,0.000714822098230893,0.00212582863289773
"T+19",0.000164638727712128,0.00142942689725769,-0.000637898325301872,-0.000464600958747197,5.34110453535153e-05,0.000378567796879473,0.00292051693344117,0.00169583512799632,0.000714819924186956,0.000538071480445952
"T+20",0.000164638723678936,0.00139426256315148,-0.000637898446481261,-0.000464600958747197,5.34142629391503e-05,0.000378728895130155,0.000869870395319344,0.00169581072695001,0.000714818740532954,0.00199207729967114
"T+21",0.00016463872211063,0.00136079902895651,-0.000637898398092626,-0.000464600958747197,5.34160189296125e-05,0.000378620776117803,0.00288872620690215,0.00169579309520684,0.000714818145663593,0.000660555713340447
