"","MRK","KO","IBM","UNH","RTX","CAT","DD","AXP","MMM","TRV"
"T+1",0.00255742852160642,0.00185361826323543,0.000770345544118609,-0.000311929335884187,-9.21840654357249e-05,0.00158836428723251,-0.0025884777385485,0.00147849252030476,0.000951972532699583,0.000277817764364437
"T+2",0.00277025158292401,0.003469521326908,0.00110397644530832,0.00107275953635823,0.00165522067140957,0.00298826623445306,0.00518426285870478,3.74143395144894e-05,-0.000385701367156528,0.000166508450294659
"T+3",0.000580476363420688,0.000504922224611853,0.000587051042637667,0.00142545972653724,-0.00018476075001112,0.000285000911640869,-0.000237850279493881,0.00013392949866572,0.000155438540787147,-0.000102923378828705
"T+4",0.000370924702244946,-0.000508269648818838,0.000771630801896492,0.00139478906437286,0.00104118641594267,0.00234820133497179,0.00135120484194166,0.000191020865147853,0.00018434523623324,0.000152498701313992
"T+5",0.000610855647484615,-0.000301577707733601,0.000723249063022368,0.00138185145598625,0.000262693472178286,0.000578725377864743,0.000455436523021954,0.000192285430205468,0.000289409469780492,-4.83748432041293e-05
"T+6",0.000655722973567031,-8.93452037146001e-05,0.000733768189293074,0.00138231282044561,0.000753782995378988,0.00206588324694517,0.000759670165389528,0.000190430995214891,0.000343794661946932,0.000104808697531354
"T+7",0.000631279986613956,-6.74993370132233e-05,0.000731844640465161,0.00138275916547473,0.000444285118135114,0.000811775196187758,0.000607637886581526,0.000190239212039819,0.000387172286424326,-1.13365852667728e-05
"T+8",0.000623942501541535,-9.52752972899648e-05,0.000732122719810371,0.00138276293174607,0.000639312813119732,0.0018687553114305,0.00066399700630866,0.0001902873819822,0.00041679971894337,7.6629155261176e-05
"T+9",0.000626199509494166,-0.000105822528674852,0.000732100268051665,0.00138274837007657,0.000516419979240015,0.000977832801979614,0.000637735517666828,0.000190297808015697,0.000438088709159205,1.00199922189682e-05
"T+10",0.000627252817013095,-0.000104155984384609,0.000732096671411256,0.00138274762653044,0.000593858248572686,0.00172877433937897,0.000647991502376703,0.000190296992648958,0.000453125504789577,6.04555483803556e-05
"T+11",0.000627076074631042,-0.00010207087932227,0.000732099047157593,0.00138274807519599,0.000545062212086486,0.00109581839397067,0.000643404686825807,0.000190296570225308,0.000463807538082087,2.22667249901024e-05
"T+12",0.000626937278783576,-0.000101798999280687,0.000732098289751959,0.00138274811880267,0.000575809968510887,0.00162932603651813,0.000645252390937108,0.000190296564336796,0.00047138131905347,5.11825171010582e-05
"T+13",0.000626946374063632,-0.000102057227541487,0.00073209847706472,0.00138274810585892,0.000556434941651193,0.00117964161833545,0.000644445790369743,0.000190296578335566,0.000476754772557753,2.92880799385617e-05
"T+14",0.000626963467337933,-0.000102166098207795,0.000732098438224785,0.00138274810387012,0.00056864369146055,0.00155867287727329,0.000644776754307506,0.000190296579658013,0.000480566304442965,4.58660920669301e-05
"T+15",0.00062696383776758,-0.000102153373913212,0.000732098444945047,0.00138274810421246,0.000560950614544451,0.00123919394994852,0.000644634326046768,0.000190296579284357,0.000483270122211111,3.33135664555619e-05
"T+16",0.000626961858259272,-0.000102132997707182,0.000732098444065588,0.00138274810429262,0.000565798238859782,0.00150847724139637,0.00064469340991203,0.000190296579209142,0.00048518810453026,4.28180774720123e-05
"T+17",0.000626961647885677,-0.000102129780819603,0.000732098444108537,0.00138274810428474,0.000562743614324138,0.00128150298783759,0.000644668197811864,0.00019029657921592,0.000486548657226002,3.56214596419804e-05
"T+18",0.000626961863013176,-0.000102132160900316,0.000732098444130728,0.00138274810428176,0.000564668419227902,0.00147281568125076,0.000644678724714255,0.000190296579219039,0.000487513785259863,4.1070588807913e-05
"T+19",0.000626961905887178,-0.000102133276146359,0.000732098444120281,0.00138274810428189,0.000563455545477193,0.00131156150335528,0.000644674255160335,0.000190296579219056,0.000488198413640742,3.6944621670589e-05
"T+20",0.000626961884193915,-0.00010213318749183,0.000732098444123331,0.00138274810428199,0.000564219811368392,0.00144747987565367,0.000644676128548092,0.000190296579218951,0.000488684065136581,4.00687180720215e-05
"T+21",0.000626961877322609,-0.000102132989437922,0.000732098444122615,0.00138274810428199,0.00056373822591722,0.00133291661801069,0.000644675335495796,0.000190296579218942,0.000489028569406005,3.77032173298686e-05
