"","NKE","IBM","KO","MCD","CAT","DD","RTX","MMM","AXP","TRV"
"T+1",-0.000359629605523681,-1.49791564271837e-05,-0.000335169735380238,0.00201443318134654,0.00323612271181166,0.00214796880069649,0.000467621112335349,-0.000581793752857883,0.00279431921834367,0.000286998886436091
"T+2",-0.000256177208178585,-0.000732086501079155,7.69848635027697e-05,0.001325725477508,-0.000316790212416751,0.00121734990219252,0.000914060919260994,0.000688780288546341,0.002642799186381,0.000418800038610574
"T+3",4.26424518416911e-05,-3.52037471813938e-05,0.000232189392924852,0.00123611759261234,0.00314135238091943,0.000354851973903618,0.000305322761460737,0.000508876289916302,0.00255647124126709,0.000383269302272578
"T+4",0.000183497487909179,-0.000416877930344342,0.000328328273061882,0.00122034288027125,-0.000223424577220245,0.0013314287836383,0.00086542507253461,0.000551649681016921,0.00247722463583115,0.000402628727753855
"T+5",0.000240766534164483,-0.000235179833383823,0.00039228998887056,0.00121765015108654,0.0030505089813922,0.000370699929713572,0.000361870394458418,0.000554374568455655,0.00240308477851543,0.000391865290801225
"T+6",0.000263344487772298,-0.000317190672738363,0.000435157733455816,0.00121718922923948,-0.000135033796930544,0.00130614544480955,0.000813822345630086,0.000560271724503263,0.00233368247986264,0.000397851879472124
"T+7",0.000272182276445476,-0.000281021851136857,0.000463908871532166,0.00121711035188708,0.00296450460568546,0.000396063509799278,0.000408235683356921,0.00056355257221999,0.00226871387617152,0.000394522133315914
"T+8",0.00027563581999418,-0.000296804426256383,0.000483193452131307,0.00121709685333074,-5.13513968353199e-05,0.0012814116179904,0.000772210261292211,0.000565840216988663,0.00220789569341671,0.000396374141474327
"T+9",0.000276984814125267,-0.000289951966610916,0.000496128509756037,0.00121709454328055,0.00288308149170839,0.000420129638981024,0.000445578704766581,0.000567347621628025,0.00215096278733556,0.000395344052672546
"T+10",0.00027751169573925,-0.000292920072041422,0.000504804655369661,0.00121709414795436,2.78734280045483e-05,0.00125799931986957,0.000738698540018897,0.000568354175018055,0.0020976669529391,0.000395916989100925
"T+11",0.000277717477057932,-0.000291635920819298,0.000510624150720865,0.00121709408030094,0.00280599560584218,0.000442905545978012,0.000475652193822031,0.000569024164251505,0.00204777584146122,0.000395598321282775
"T+12",0.000277797847514628,-0.000292191204470494,0.000514527557587394,0.0012170940687232,0.000102878122704576,0.00123584253082514,0.000711710528696537,0.000569470463274108,0.00200107194738229,0.000395775564643983
"T+13",0.000277829237155669,-0.000291951155894105,0.000517145754571129,0.00121709406674186,0.00273301591359594,0.000464460044608861,0.000499871290979554,0.000569767702563506,0.0019573516601904,0.000395676981708076
"T+14",0.000277841496750699,-0.000292054915502215,0.000518901901363012,0.00121709406640279,0.000173887484207301,0.00121487395063411,0.000689976260839235,0.000569965675128127,0.00191642437671997,0.000395731813636256
"T+15",0.000277846284879963,-0.000292010068747659,0.000520079830897657,0.00121709406634476,0.00266392368717203,0.000484858633437214,0.000519375667885681,0.000570097530976934,0.00187811167019732,0.000395701316062611
"T+16",0.000277848154940221,-0.00029202945174647,0.000520869923158169,0.00121709406633483,0.000241114335022319,0.00119502985902761,0.000672472992682536,0.000570185351260781,0.00184224651237048,0.00039571827884377
"T+17",0.000277848885314268,-0.000292021074432665,0.000521399874875789,0.00121709406633313,0.0025985118499159,0.000504163300784517,0.000535083136913776,0.000570243842392551,0.00180867254533206,0.000395708844127816
"T+18",0.00027784917057045,-0.000292024695075178,0.000521755338202093,0.00121709406633284,0.000304760161077681,0.00117624995270689,0.000658377077504882,0.000570282799371659,0.00177724339986059,0.000395714091726326
"T+19",0.000277849281980609,-0.000292023130252655,0.000521993764028722,0.00121709406633279,0.00253658435568565,0.000522432710718914,0.0005477328403345,0.000570308745974605,0.00174782205730859,0.000395711173006752
"T+20",0.000277849325493159,-0.000292023806559599,0.000522153687347381,0.00121709406633278,0.000365015715594365,0.00115847716227594,0.00064702520750456,0.000570326027248077,0.00172028025225545,0.000395712796401517
"T+21",0.000277849342487497,-0.000292023514264001,0.000522260955373719,0.00121709406633278,0.00247795560128112,0.000539722381312366,0.000557920031940359,0.000570337537132932,0.0016944979133209,0.000395711893467715
