"","MCD","MRK","NKE","DD","KO","RTX","MMM","WBA","AXP","TRV"
"T+1",0.00118412786535293,-0.000819898026010054,-0.00396072399731127,-0.000660359442682416,0.000126395838198072,-0.00143157968754993,-0.00199228833946456,0.0149968712419185,0.000849581887118441,-0.000442819878831688
"T+2",0.000605028504938767,0.00115852117483936,-0.0064350654110401,0.0023393575796048,-0.000686870119991035,0.00258232816525301,0.00137389192829791,-0.0046580618912799,-0.000537597888242126,0.000384564886515632
"T+3",0.00065002708221558,0.000408628804304097,0.00500247094060103,-0.000257224478615318,0.000276021036806381,-0.000944118311824938,-0.00129721097155034,-0.00187947099536055,0.00165585774862401,-0.000373748684445482
"T+4",0.000677678760497454,0.000775104305375411,0.000215140352587342,0.00138471218594971,0.000583240745992227,0.00216669211470545,0.00081969006735975,0.000759951170966017,0.000362752619614988,0.000208358093315449
"T+5",0.000676057225943592,0.000574726489331693,0.0012355274487995,0.000424305363995862,0.000523850648663137,-0.000578140837904424,-0.00085800231225482,-0.000288673765454246,0.000946432333645406,-0.000227316844625445
"T+6",0.00067474579391856,0.000688557659863617,0.0012401648661328,0.000972367249752464,0.000471798848469904,0.00184380626377537,0.000471607163356967,-0.000492635973185254,0.000722322519475775,9.74425438348816e-05
"T+7",0.000674798895601038,0.00062312610242694,0.00114165959218745,0.000662219254996105,0.000468500616922591,-0.000293239237477021,-0.000582138671817306,-0.000273357047405767,0.000797050879170732,-0.000144478698760133
"T+8",0.000674860689880299,0.000660869220179549,0.00118446653728998,0.000837223550641671,0.000474510012957503,0.0015924186745229,0.000252978936408244,-0.00028839306916199,0.000775961883227188,3.57149319308766e-05
"T+9",0.000674859269878576,0.000639075157771582,0.0011749864899223,0.000738575477831756,0.000476198488949104,-7.14231904339309e-05,-0.000408870815484745,-0.000321395733066233,0.000780422266917502,-9.84988793652165e-05
"T+10",0.000674856376463852,0.000651663571136905,0.00117510132929605,0.000794162641758604,0.000475779703607551,0.00139669556774006,0.000115660208368968,-0.000311550999975008,0.000780165020489509,1.46744663366935e-06
"T+11",0.000674856393435531,0.000644391757795814,0.00117594717504892,0.000762843744010161,0.000475474200891208,0.000101276373451016,-0.000300042591546124,-0.000308272912922254,0.000779758582076946,-7.29903273464712e-05
"T+12",0.000674856528076894,0.000648592498643366,0.00117556497822868,0.000780488656404628,0.000475463884561775,0.00124431121282655,2.94113587419366e-05,-0.000310635245539384,0.000780064973523017,-1.75320555348164e-05
"T+13",0.000674856529567363,0.000646165819153906,0.00117565280078924,0.00077054775164253,0.000475501056358364,0.00023573526321407,-0.000231688411051717,-0.00031065242976374,0.000779911964117659,-5.88389562011543e-05
"T+14",0.000674856523340587,0.000647567663961131,0.00117565037892244,0.000776148292824196,0.000475510201883315,0.00112566915769838,-2.47608883229976e-05,-0.000310256971972661,0.000779974945883563,-2.80723999524439e-05
"T+15",0.000674856523166002,0.000646757845364888,0.00117564313924519,0.00077299304655492,0.000475507338322487,0.00034042106918674,-0.000188755669691378,-0.000310342219820122,0.000779952513534139,-5.09882074281248e-05
"T+16",0.000674856523452184,0.00064722566197649,0.00117564654654616,0.000774770655565656,0.000475505558411023,0.00103329788209709,-5.87860650616396e-05,-0.000310388788392897,0.000779959401581414,-3.39198612671652e-05
"T+17",0.000674856523465134,0.000646955413311237,0.00117564573514018,0.000773769182844836,0.000475505552861444,0.000421926412503646,-0.000161789941079291,-0.000310364281784069,0.000779957688232039,-4.66328516768156e-05
"T+18",0.000674856523452065,0.000647111530773721,0.00117564576922742,0.00077433339439157,0.000475505780903395,0.000961380276261692,-8.01570200214387e-05,-0.000310362020974139,0.000779957944537503,-3.71638542923297e-05
"T+19",0.000674856523451242,0.000647021344714185,0.00117564583097448,0.000774015527859787,0.000475505829574075,0.000485384117466447,-0.000144852971844607,-0.000310366587345587,0.000779957994882067,-4.42166332670796e-05
"T+20",0.000674856523451835,0.000647073443468655,0.00117564580064387,0.000774194608085295,0.000475505810443046,0.000905387306635279,-9.35799544385603e-05,-0.000310365944887997,0.00077995792778451,-3.8963522589473e-05
"T+21",0.000674856523451883,0.000647043347018799,0.0011756458081218,0.000774093717542096,0.0004755058001523,0.000534790452747911,-0.00013421499016856,-0.000310365330991948,0.000779957966313151,-4.28761890561211e-05
