"","MCD","IBM","DD","KO","NKE","RTX","MMM","WBA","AXP","TRV"
"T+1",0.000695323424482462,0.00106622142152731,-0.000461195694534865,0.000152019505189158,0.00487642069384572,0.00143183075711505,-0.000628118152369027,0.000639304117490262,0.00105054601111139,-0.000912235126074637
"T+2",0.000422110707637986,-0.000628212588618743,-0.0024069112035661,-0.000896417612069905,0.000213542499695179,0.000291327207439657,0.000158972705896269,0.00103022674579595,0.00102849466981924,-0.000876464503842776
"T+3",0.000436744179033711,0.000372481459421568,-0.000829173112501714,4.61549835295744e-05,0.00339127501036694,0.000411179553497625,-0.000296794115383274,0.00100900129483592,0.000986063763189176,-0.000575249264354983
"T+4",0.000460285243241009,0.000218097117522286,-0.000787488853210935,0.000423378028402153,0.000850404069657554,0.000401648430052801,-0.000112237952530881,0.000939062912406473,0.000987107221377416,-0.000364170121535808
"T+5",0.000482725154005349,0.000337833054723313,-0.000679134491916604,0.000386460523833484,0.00297819737207463,0.000405074210309394,-0.000184789384354747,0.000874020270777583,0.000986115998442586,-0.000240848060342363
"T+6",0.000503789506046991,0.00032563492845869,-0.000664730372607498,0.000325319195359609,0.00117532979504559,0.000406912635870619,-0.000156354258433679,0.000819872231650451,0.00098617539455856,-0.000171923245000959
"T+7",0.000523551003625913,0.000340372115699406,-0.000656046964851194,0.00031532259876581,0.00270726756587156,0.000408680722344597,-0.000167495379921953,0.000775655381659248,0.000986150968584577,-0.000133877541376422
"T+8",0.000542089809302986,0.000339753494872101,-0.000654164273652609,0.000321288882266081,0.00140464282341552,0.000410247904160945,-0.000163130335956674,0.000739678978795238,0.000986153189059436,-0.000112952670399411
"T+9",0.000559481558769918,0.000341625102131097,-0.000653390016333523,0.000324140100834807,0.00251246539377812,0.00041164968849687,-0.000164840535862888,0.000710427519553455,0.000986152559699066,-0.000101456386547047
"T+10",0.000575797223573999,0.000341667269185742,-0.000653182754415931,0.000324020799335486,0.00157027506037705,0.000412902222207246,-0.00016417048930088,0.000686647073514526,0.000986152632417094,-9.51422238613845e-05
"T+11",0.000591103384587751,0.000341912858888739,-0.000653109478780449,0.000323598086647871,0.00237160490109545,0.000414021530189432,-0.000164433009710004,0.000667314863832768,0.000986152615638617,-9.16745855585046e-05
"T+12",0.000605462503126918,0.000341934394929064,-0.000653087948804068,0.000323510223565959,0.00169007485041598,0.000415021769283267,-0.000164330155716183,0.000651598904265918,0.000986152617881054,-8.97702655686744e-05
"T+13",0.000618933175821148,0.000341967667689791,-0.000653080807963594,0.000323546845552753,0.00226971565548481,0.000415915607111997,-0.000164370453322286,0.000638822757026014,0.000986152617422728,-8.87244802269725e-05
"T+14",0.000631570373734104,0.000341972638394711,-0.000653078622142658,0.000323568002279982,0.00177673151096051,0.00041671436205487,-0.000164354664950855,0.000628436505468724,0.000986152617489736,-8.81501731903941e-05
"T+15",0.00064342566668912,0.000341977280518811,-0.000653077916819259,0.00032356817210482,0.00219601423342732,0.000417428148662929,-0.000164360850744418,0.000619993097941309,0.000986152617477008,-8.78347850064224e-05
"T+16",0.000654547433715113,0.000341978229103478,-0.000653077697018999,0.000323565295848895,0.00183941452384763,0.000418066005524019,-0.000164358427185904,0.000613129107615095,0.000986152617478975,-8.7661585516349e-05
"T+17",0.000664981060471516,0.000341978893446119,-0.000653077626932322,0.000323564562612811,0.00214270236831114,0.000418636009739221,-0.000164359376722259,0.000607549089951919,0.000986152617478618,-8.75664707877637e-05
"T+18",0.000674769124457886,0.0003419790599776,-0.000653077604920057,0.000323564778386864,0.00188475623383281,0.000419145379199923,-0.00016435900469935,0.000603012866030521,0.000986152617478675,-8.75142373116387e-05
"T+19",0.000683951568763985,0.000341979157066169,-0.00065307759793726,0.000323564932772196,0.00210413927049058,0.000419600563987294,-0.000164359150455796,0.000599325184609737,0.000986152617478665,-8.74855526267948e-05
"T+20",0.000692565865069364,0.000341979185023751,-0.000653077595736695,0.000323564941110017,0.00191755412599199,0.000420007328048821,-0.000164359093349255,0.000596327317992762,0.000986152617478666,-8.74698000634135e-05
"T+21",0.000700647166557638,0.000341979199449317,-0.000653077595040189,0.000323564921873149,0.00207624468237305,0.000420370822186458,-0.000164359115723271,0.000593890229961648,0.000986152617478666,-8.74611493407607e-05
