"","MCD","IBM","AMGN","HON","CAT","AXP","MMM","WBA","DOW","TRV"
"T+1",0.00127921093296855,-0.00469591944120717,0.0028589391065139,0.001770292395733,0.00178557981383795,0.00549738082956049,-0.00217464115131381,0.00174883271631068,0.0121409744052515,0.00277691501388902
"T+2",0.00124854790207047,-0.00465269535005911,-0.000169918473245524,0.000812141757483644,0.00307542384498205,0.000801126709943509,-0.000985974538446999,0.00128311144871018,0.00815505622199712,0.000307068902731554
"T+3",0.00113081941285272,-0.00430293551869376,0.000693206424674729,0.00142329740003175,0.00283174062467263,0.00419150883076296,-0.000571808106940894,0.000563000468676139,0.007944768286905,0.00166358868564515
"T+4",0.00112349294156653,-0.00398505399876668,-4.74287616140947e-05,0.00118446580918515,0.00292293931453799,0.00113069360068685,-0.000289615058725113,0.000652617333720374,0.00744150613243555,0.00106489265737749
"T+5",0.00111745891172367,-0.00368797335497537,0.000482579003785404,0.0012914109228417,0.00289865439452319,0.00399273877730548,-5.87298295058483e-05,0.000514083876302717,0.00701173182630967,0.00134337751836205
"T+6",0.00111680623840382,-0.00341056912388486,9.58236651966296e-05,0.00124552572056907,0.00290620481953614,0.00130383551129015,0.000135705712095788,0.000560663569434066,0.00661783704833581,0.00121556684676333
"T+7",0.00111648319985985,-0.00315153142098673,0.000377410386696473,0.00126547019087602,0.00290402494856156,0.00383165298228524,0.00030010526298842,0.000527255100630823,0.00625943984272544,0.00127442418350424
"T+8",0.00111643571493676,-0.00290964441320443,0.000172341363926628,0.00125683560295349,0.00290467650408941,0.00145507527804497,0.000439185120766626,0.000542575756964504,0.00593310441053266,0.00124734328550929
"T+9",0.00111641779745408,-0.00268377256037737,0.000321681007174925,0.00126057834898044,0.00290448492503433,0.00368948613045635,0.000556853667782175,0.000533577547012453,0.00563598415353886,0.00125980618832512
"T+10",0.00111641462022075,-0.00247285551141648,0.000212925407047285,0.00125895662525825,0.00290454169231707,0.00158873471583641,0.000656408187055612,0.000538158293023467,0.00536546161298061,0.00125407094707426
"T+11",0.00111641359941583,-0.00227590312010911,0.000292125917418951,0.00125965939500722,0.00290452493262708,0.0035638223899646,0.00074063728954939,0.000535630085964607,0.00511915598477563,0.00125671025553771
"T+12",0.00111641339567346,-0.00209199079707607,0.0002344486933027,0.001259354862236,0.00290452988917775,0.00170688139753492,0.000811900182535955,0.000536962335165369,0.00489489937830463,0.00125549567281166
"T+13",0.00111641333638632,-0.00192025516929878,0.000276451732792794,0.00125948682751164,0.00290452842450199,0.00345274306520786,0.000872192883013926,0.000536241577956456,0.00469071798974192,0.00125605461183447
"T+14",0.0011164133236279,-0.00175989002703063,0.000245863309815249,0.00125942964228099,0.00290452885748335,0.00181131612898492,0.000923204139944372,0.000536625696386111,0.00450481470634697,0.00125579739365142
"T+15",0.0011164133201386,-0.00161014253906015,0.000268139117269877,0.00125945442269295,0.00290452872951023,0.00335455545716188,0.000966362736494968,0.000536419225102673,0.00433555329120153,0.00125591576290942
"T+16",0.00111641331935076,-0.00147030971855871,0.000251916914571695,0.00125944368445476,0.00290452876733752,0.00190363030692041,0.00100287750928088,0.000536529666789776,0.00418144398159681,0.00125586129055107
"T+17",0.00111641331914356,-0.0013397351229218,0.000263730621478467,0.0012594483377176,0.00290452875615668,0.00326776336986674,0.00103377120690276,0.000536470426734759,0.00404113037683095,0.00125588635819012
"T+18",0.00111641331909532,-0.0012178057721113,0.000255127371138439,0.00125944632129237,0.00290452875946153,0.00198523062645549,0.0010599091362923,0.000536502152229845,0.00391337749977967,0.00125587482231126
"T+19",0.00111641331908295,-0.00110394927103195,0.000261392628690305,0.00125944719508156,0.00290452875848469,0.00319104425461379,0.0010820233992444,0.000536485146532944,0.0037970609271842,0.0012558801310083
"T+20",0.00111641331908001,-0.000997631122433089,0.000256829998214637,0.00125944681643744,0.00290452875877342,0.00205736052347956,0.00110073339798324,0.000536494257329182,0.00369115689298442,0.00125587768799858
"T+21",0.00111641331907927,-0.000898352217721175,0.000260152702299052,0.00125944698051748,0.00290452875868808,0.00312322905591724,0.00111656318410661,0.000536489374786841,0.00359473327759135,0.00125587881224742
