"","CAT","MCD","AXP","IBM","AMGN","HON","MMM","DOW","WBA","TRV"
"T+1",-0.00110350917494899,0.00119114377545106,-0.0018755974077703,-0.00226822147667213,0.00258089019377356,-0.003089892479647,-0.000792114945088687,-0.00161953576585552,-0.000623013200191702,0.00334548957639471
"T+2",0.000224254931067799,-0.00015089145528138,0.00303091448865514,0.00223510221853076,0.00147526753902118,-0.00399759313627033,0.00129154143081442,-2.95999277427028e-05,-0.00349231290852565,0.0017085401250952
"T+3",-4.81705025291449e-05,0.000388603284058088,-0.000206041855718902,-0.00101924802578444,0.000572609457456591,-0.00095629812907685,-0.00168468341944256,0.000126492248049993,0.000621033448299147,0.00101909470686643
"T+4",-0.000220789829143844,0.000330899465904298,0.000718457753604891,0.000398529418544036,0.000181522542973993,-0.00010338675930695,-0.00128170492543691,0.000153800307835993,-0.00177587081831897,0.000699818526706102
"T+5",-0.000243738102706856,0.000345859673966262,0.000527140407730529,-0.000164028088611247,1.92876485557574e-05,-0.000356004290520811,-0.000985822841329333,0.000167376595838852,-0.000250680402521536,0.000552137941463192
"T+6",-0.000236203645590453,0.00034380478299465,0.000556643163629269,5.37950582945584e-05,-4.77293168215423e-05,-0.000542870959714026,-0.00110524942000838,0.000177751417160065,-0.00120958116825291,0.000483827623057109
"T+7",-0.000232498394322573,0.000344243162439753,0.000554025120080422,-2.99668923355525e-05,-7.54014776128962e-05,-0.00054925827536067,-0.00111669116213317,0.000186205362678558,-0.000605752068620234,0.000452230383453933
"T+8",-0.000232136719373629,0.000344174868952498,0.000553761186486927,2.17920648603609e-06,-8.68271879602244e-05,-0.000522880636256578,-0.0010985651219277,0.000193143660554089,-0.000985908771140336,0.000437614940636979
"T+9",-0.000232331880824631,0.000344188132856718,0.000553956144805562,-1.01507238994985e-05,-9.15447925101333e-05,-0.000515704839983073,-0.00110118175164098,0.000198842426570421,-0.000746564273986193,0.000430854502971745
"T+10",-0.000232409794645455,0.000344185930702881,0.000553899212009529,-5.42225231954202e-06,-9.34926611970635e-05,-0.000517948118965657,-0.00110294698276941,0.000203523489208131,-0.00089725364656086,0.000427727432653183
"T+11",-0.000232414549783769,0.000344186339052727,0.000553911167336394,-7.2355120389076e-06,-9.42969236619489e-05,-0.000519548104854062,-0.00110220684758365,0.000207368626913834,-0.000802380781280662,0.000426280992457821
"T+12",-0.000232409717975288,0.000344186269044626,0.000553909290493375,-6.54017850064644e-06,-9.46289984645667e-05,-0.00051959080839087,-0.00110214484503247,0.00021052711869405,-0.000862112000688117,0.000425611935153181
"T+13",-0.000232408114855212,0.00034418628173074,0.000553909465580104,-6.806818059074e-06,-9.47661100162088e-05,-0.000519362130783871,-0.00110225516243985,0.000213121582687367,-0.000824505688362053,0.000425302459740144
"T+14",-0.000232408080359184,0.000344186279520429,0.000553909479419318,-6.70456990520199e-06,-9.48227224946164e-05,-0.000519301811829815,-0.00110223824435769,0.000215252740199614,-0.000848182330814,0.000425159310520175
"T+15",-0.000232408195955113,0.000344186279916376,0.000553909467698719,-6.74377894631902e-06,-9.4846097423082e-05,-0.000519321705684022,-0.00110222772580251,0.000217003326200772,-0.000833275700431767,0.000425093096215856
"T+16",-0.000232408228156832,0.000344186279846829,0.000553909471201784,-6.72874347921967e-06,-9.48557487808064e-05,-0.000519335399648195,-0.00110223230859507,0.000218441301259028,-0.000842660799260664,0.000425062468496772
"T+17",-0.000232408227411006,0.000344186279859216,0.000553909470455274,-6.73450912045911e-06,-9.4859733764378e-05,-0.000519335661569294,-0.00110223263898237,0.000219622489882052,-0.00083675201385646,0.000425048301509956
"T+18",-0.000232408224721567,0.000344186279857031,0.000553909470574524,-6.73229817360882e-06,-9.48613791384818e-05,-0.000519333679929764,-0.00110223196803654,0.000220592747714517,-0.000840472139301002,0.000425041748507596
"T+19",-0.000232408224092527,0.000344186279857419,0.00055390947056288,-6.73314600401658e-06,-9.48620585028738e-05,-0.000519333173362653,-0.00110223207700753,0.000221389741728099,-0.000838129977185369,0.000425038717387394
"T+20",-0.00023240822414057,0.000344186279857351,0.00055390947056218,-6.73282088701988e-06,-9.48623390080647e-05,-0.000519333349562303,-0.00110223213960494,0.000222044412513978,-0.000839604584280663,0.000425037315329349
"T+21",-0.000232408224201656,0.000344186279857363,0.000553909470562883,-6.73294555943143e-06,-9.48624548268552e-05,-0.000519333466719571,-0.00110223211125386,0.000222582175446421,-0.000838676183094862,0.000425036666801205
