"","IBM","HD","AIG","PG","DIS","CAT","BA","MRK","AXP","AA"
"T+1",0.000754442278590101,0.000531039185689195,0.00158615158895483,0.000688421656344686,0.00305625713491564,-0.00116575180194396,-0.00155240845385747,0.00251645945526919,-0.000848861242586343,-0.00061478434623184
"T+2",0.00138566714585759,-0.000232252985597059,0.001277040180878,0.000900746893228703,0.00371850183513146,-0.00108471907073265,-0.000626519877368643,0.00233540310294808,0.000600365609802594,0.000420517233941412
"T+3",0.00110511505228215,-0.000235015150086941,0.00103980968594204,0.00078849559666893,0.00249997510049908,-0.00084231345090401,0.000188380081129539,0.00202229875421332,0.000892064311511108,0.000990273138808242
"T+4",0.00117896728696748,-0.000109046160376382,0.000952298298817196,0.000737977237134364,0.00160757453253625,-0.000623181485136715,0.000659550174814717,0.00191157144621356,0.000764986634329908,0.00108991630254327
"T+5",0.00116201157417368,-1.25531729720107e-06,0.000909711642110062,0.000722688020128438,0.0011289316617671,-0.00043669130983361,0.000905945993686301,0.00188061360818995,0.000710292468846988,0.00106374633224578
"T+6",0.00116569934212771,6.94057227157853e-05,0.000891323698342192,0.000718653680405079,0.000896733102488406,-0.000278861005835282,0.00103060491713731,0.00187272161364243,0.000716872542470657,0.00104265984873602
"T+7",0.00116491668062498,0.000111487961179531,0.000882982625934116,0.000717659344171422,0.000788784009423174,-0.000145357072694552,0.0010929270261171,0.00187079962227972,0.00072442491796488,0.00103760975832788
"T+8",0.00116508084782434,0.00013546300749992,0.000879276769825478,0.000717423804848012,0.000739592158269676,-3.24358400359648e-05,0.00112394700456426,0.00187034315571743,0.000724823945557912,0.00103806239407632
"T+9",0.00116504661135002,0.000148815178927196,0.000877615950965128,0.000717369396022863,0.000717395147110431,6.30755222474432e-05,0.00113936118323072,0.00187023631580076,0.000723986010045368,0.00103880022704478
"T+10",0.00116505373069149,0.00015616071172566,0.000876874337593083,0.000717357037414552,0.000707428562493955,0.00014386118000042,0.00114701587540321,0.00187021152655225,0.000723807117106893,0.0010390288723502
"T+11",0.00116505225239302,0.000160174431265344,0.000876542677479131,0.000717354262760224,0.000702964761637714,0.000212191502693141,0.00115081630381635,0.00187020580549304,0.0007238789889077,0.00103903270312265
"T+12",0.00116505255913123,0.000162359240117829,0.000876394448725629,0.000717353644948014,0.000700968102534144,0.000269986823162957,0.00115270298560632,0.00187020448948367,0.000723911581673109,0.00103900850876983
"T+13",0.00116505249550826,0.000163545938417988,0.000876328183239537,0.000717353508203113,0.000700075586404618,0.000318871402295587,0.00115363957692519,0.00187020418738278,0.000723908120174185,0.00103899891683838
"T+14",0.00116505250870234,0.000164189710358069,0.000876298562637583,0.000717353478068145,0.000699676762862191,0.000360219076423079,0.00115410451602453,0.00187020411812166,0.000723903691673512,0.00103899799808499
"T+15",0.00116505250596642,0.000164538704503111,0.000876285321641793,0.000717353471448528,0.000699498578457433,0.000395191867149338,0.00115433531821321,0.00187020410225524,0.000723903410376023,0.00103899872599703
"T+16",0.00116505250653371,0.000164727821006683,0.000876279402770067,0.000717353469997894,0.000699418977260198,0.000424772638425879,0.00115444989139828,0.00187020409862236,0.000723903894302274,0.00103899910470146
"T+17",0.00116505250641609,0.000164830277773367,0.000876276756947228,0.000717353469680566,0.000699383418267755,0.000449792718640924,0.00115450676696691,0.00187020409779082,0.000723904003679765,0.00103899916647154
"T+18",0.00116505250644048,0.000164885777973075,0.000876275574229499,0.000717353469611243,0.000699367533935189,0.000470955264002401,0.00115453500070647,0.00187020409760052,0.000723903963122355,0.00103899914738774
"T+19",0.00116505250643542,0.000164915839816436,0.000876275045538307,0.000717353469596114,0.000699360438432255,0.000488855019811629,0.00115454901628451,0.00187020409755698,0.00072390394372534,0.00103899913323262
"T+20",0.00116505250643647,0.000164932122195189,0.000876274809206169,0.000717353469592814,0.000699357268903739,0.000503995034992091,0.00115455597379081,0.00187020409754701,0.000723903945521196,0.00103899913001261
"T+21",0.00116505250643625,0.000164940940991569,0.00087627470356247,0.000717353469592095,0.000699355853094519,0.000516800799612995,0.00115455942758294,0.00187020409754473,0.000723903948115338,0.00103899913038086
