"","PFE","JNJ","PG","CVX","HPQ","AA","HD","BA","MRK","AXP"
"T+1",0.000302848085333663,0.000455490528090672,-0.000739021673011817,-0.000420623331317857,0.00585320744156296,0.000342550468715673,-0.00151237159785471,0.00146841291126614,-0.0102941626047149,-0.000420223956366888
"T+2",-0.00125072270917067,0.000696104759160308,0.000296836045561541,0.00129960760788151,0.00398985503971728,0.000373849814971524,0.000828550253717581,-0.000709640225503978,-0.00622799071467303,0.000899854443589214
"T+3",6.81637818568527e-05,0.000559678343190134,0.00082578860310298,0.000729353466173849,0.00122656425215434,0.000382945684173682,-0.00140703968743832,0.000848116023683647,-0.000171720084991696,0.000564575607820207
"T+4",-0.000794261325587535,0.000505111270470166,0.000299009778703919,0.000879349887296551,0.00082486275513781,0.000383815765656263,-0.000845461434805085,-0.000596568593305149,0.000148692232342901,0.000462047615965927
"T+5",-0.000234437799449458,0.000477769577351587,0.000617228793185578,0.000837306715948495,0.00114334607515156,0.000383921973096242,-0.00111971131258385,0.000727717920997068,0.000398665031715293,0.000365266405594396
"T+6",-0.000597748774586925,0.000464396573048585,0.000452407508245678,0.000848874819897851,0.0012828597414642,0.000383934032825795,-0.0010286379700952,-0.000486767243696973,0.000417976979554702,0.000292853987678355
"T+7",-0.000361971151662569,0.000457840275690524,0.00053177546096675,0.000845674907932496,0.00126920842309161,0.000383935430100904,-0.00106597594465466,0.000626999955987273,0.000428453617194003,0.000236897545737174
"T+8",-0.000514983522936705,0.000454626711664671,0.000495089032050449,0.000846558696148186,0.00124473604888245,0.000383935591067717,-0.00105239512202158,-0.000394402634811406,0.000429497697612996,0.000193867680132968
"T+9",-0.000415683236137339,0.000453051549500261,0.000511625808519927,0.000846314493694936,0.00124074738456889,0.000383935609641258,-0.00105767532630502,0.000542295107690546,0.000429942915780314,0.00016075411057807
"T+10",-0.00048012604474035,0.000452279468973311,0.000504292114415361,0.000846381961510032,0.00124346132428907,0.000383935611783427,-0.00105569806354063,-0.000316722354914266,0.000429996197200898,0.000135274386156084
"T+11",-0.000438304659178788,0.000451901026367699,0.000507509111682236,0.000846363320941105,0.00124473570538458,0.000383935612030525,-0.00105645421678773,0.000471056848069773,0.000430015350112435,0.000115668317265969
"T+12",-0.000465445442273189,0.000451715529133182,0.00050610848158086,0.0008463684710582,0.00124464052906541,0.000383935612059027,-0.00105616844181242,-0.000251391879309409,0.000430017975977922,0.000100581929550729
"T+13",-0.000447831915196402,0.000451624605903138,0.000506715116845306,0.000846367048151705,0.00124442428889483,0.000383935612062314,-0.00105627716341576,0.000411144224353555,0.000430018808638049,8.89733210923735e-05
"T+14",-0.000459262548387996,0.000451580039018994,0.000506453338535945,0.000846367441280849,0.00124438519668443,0.000383935612062693,-0.00105623595440324,-0.000196447805394066,0.00043001893514235,8.00407796817548e-05
"T+15",-0.000451844421706659,0.000451558194137753,0.00050656600772321,0.000846367332664743,0.00124440822556039,0.000383935612062737,-0.00105625160658235,0.000360756658742777,0.00043001897166421,7.31674066165658e-05
"T+16",-0.000456658556019081,0.000451547486661886,0.000506517605314916,0.000846367362673858,0.0012444198325672,0.000383935612062742,-0.00105624566846479,-0.000150238877164748,0.000430018977664866,6.7878513448985e-05
"T+17",-0.000453534332050738,0.000451542238290966,0.000506538371115537,0.000846367354382758,0.00124441922118565,0.000383935612062743,-0.00105624792274642,0.000318379833781709,0.000430018979278582,6.38088389706938e-05
"T+18",-0.000455561856579745,0.000451539665752149,0.000506529470631281,0.000846367356673473,0.00124441731486902,0.000383935612062743,-0.00105624706727129,-0.000111376359409107,0.00043001897956012,6.06773235790943e-05
"T+19",-0.000454246055997783,0.000451538404797832,0.000506533282856939,0.000846367356040581,0.00124441693581659,0.000383935612062743,-0.0010562473919819,0.0002827401819745,0.00043001897963185,5.82676987552481e-05
"T+20",-0.000455099969795975,0.000451537786729106,0.000506531650830042,0.00084636735621544,0.00124441713031841,0.000383935612062743,-0.0010562472687466,-7.86923014969119e-05,0.000430018979644955,5.64135511411988e-05
"T+21",-0.000454545806205581,0.000451537483776853,0.000506532349255366,0.000846367356167129,0.00124441723574228,0.000383935612062743,-0.00105624731552034,0.000252766610757072,0.000430018979648159,5.49868297110978e-05
