"","IBM","JNJ","HPQ","PFE","AXP","KO","MRK","AA","BA","MCD"
"T+1",-0.00046662262107935,0.00164402998321387,-0.00475862486925541,-0.00488186237293856,-0.0184748562006911,-0.00240141255805947,-0.0110908752727099,-0.00971107362733626,0.00180602501590793,-0.00681914828636568
"T+2",-0.000332885707548393,-0.000687426372911212,-0.00320261650034476,-0.0050602221793722,-0.0114673540319661,-0.00407357673044097,-0.0112829183545274,-0.00885262055667232,-0.0070018554982286,-0.00344052021288583
"T+3",-0.000226697030233976,0.000697148186706176,-0.00198045104324729,-0.000354817273957543,-0.00268483706144789,0.00161308101568489,-0.00867097434300584,-0.00432096490156245,0.00167908852833177,0.000728069691447079
"T+4",-0.000141515829429208,0.000869362705737686,-0.00127616919239813,-0.000678030063594555,-0.00175700885824676,-0.00237303725878546,-0.0066716526195124,-0.00208484863256359,-0.00469248609162008,0.00124935790688589
"T+5",-7.31808006305788e-05,0.000521204137399391,-0.000882464013857206,-0.00147029370241933,-0.00260509290284586,-0.00015793941417259,-0.00542776573324689,-0.00144712054358037,-0.000140866456128582,0.000733012381018871
"T+6",-1.83602661082777e-05,0.000569279727691998,-0.000663162349098054,-0.00135457029236134,-0.00288344671874848,-0.00128293425462525,-0.00469274382659363,-0.00137221862079955,-0.00338278016891514,0.00052255279725146
"T+7",2.56185112757455e-05,0.000634232000123247,-0.000541059384373986,-0.00122578855574433,-0.00283921072803234,-0.000736027510209005,-0.00426490144832491,-0.00140594005180338,-0.00107446836614184,0.000549910805835765
"T+8",6.08996860602466e-05,0.000607561928379109,-0.000473078306023605,-0.00125556470096262,-0.00279763897651373,-0.000995726948492377,-0.00401700256561254,-0.00143179429909954,-0.0027179757234571,0.000589445360855445
"T+9",8.92033672495979e-05,0.000599821140263101,-0.000435229935283516,-0.00127567271223716,-0.00279454898771833,-0.000874037313180659,-0.00387356928631833,-0.00144128459446771,-0.00154781081153731,0.000595116442382012
"T+10",0.000111909481027316,0.000607621209126732,-0.000414157923328492,-0.00126899177599176,-0.00279882309946426,-0.000930618502900096,-0.00379061583058557,-0.00144324059880048,-0.00238095907663333,0.0005904019053611
"T+11",0.000130125048092163,0.000607401014999253,-0.000402426119840994,-0.00126600502669681,-0.00280003934448206,-0.00090443076630528,-0.00374264692511461,-0.00144317200565267,-0.00178776405793137,0.000588338800327749
"T+12",0.000144738155678171,0.000605733971137327,-0.000395894460127087,-0.00126738926431574,-0.00279977918203035,-0.000916518140038737,-0.00371490946169096,-0.0014429149629087,-0.00221011424815728,0.000588553100293268
"T+13",0.000156461255626696,0.000606194751661286,-0.000392257970766514,-0.0012678034057949,-0.00279958419490328,-0.000910948222201265,-0.00369887080601994,-0.00144279038262542,-0.00190940423298634,0.000588927133253787
"T+14",0.00016586589947772,0.000606448741078994,-0.000390233362099389,-0.00126753200916382,-0.00279957589898092,-0.000913512308328735,-0.00368959679920252,-0.00144275537122051,-0.0021235073997672,0.000588987699858902
"T+15",0.000173410604065496,0.000606284246166896,-0.000389106165001176,-0.00126748056516553,-0.00279959718259566,-0.000912332654955379,-0.00368423431152965,-0.00144275146505938,-0.00197106762818466,0.000588944830308075
"T+16",0.000179463206186162,0.000606268862324904,-0.000388478600119701,-0.00126753153629615,-0.00279960240485868,-0.000912875177103005,-0.00368113357381446,-0.00144275342243042,-0.00207960354715078,0.000588924673373302
"T+17",0.000184318796223503,0.000606308970333733,-0.000388129204542757,-0.00126753662756423,-0.00279960094290249,-0.000912625726661893,-0.00367934064228936,-0.00144275487309702,-0.00200232682609875,0.000588926271547144
"T+18",0.000188214105074258,0.000606302448705291,-0.000387934679207143,-0.00126752739866034,-0.0027996000368672,-0.000912740407983681,-0.00367830392018424,-0.00144275539819193,-0.00205734724397919,0.000588929801595255
"T+19",0.000191339045797441,0.00060629520930217,-0.000387826377589456,-0.00126752720974539,-0.0027996000280913,-0.000912687689164732,-0.00367770445908074,-0.00144275550413181,-0.00201817313898967,0.000588930439085202
"T+20",0.000193845972692728,0.000606298438607712,-0.000387766080865862,-0.00126752882557845,-0.00279960013292852,-0.000912711922720993,-0.00367735783426053,-0.00144275549915988,-0.00204606479377617,0.000588930051016964
"T+21",0.000195857109227796,0.000606299237896796,-0.000387732510777493,-0.001267528736743,-0.0027996001548771,-0.000912700783480548,-0.00367715740630091,-0.00144275548459094,-0.00202620615483758,0.000588929854699555
