"","WMT","JNJ","PG","CVX","CAT","KO","AXP","MRK","DIS","MCD"
"T+1",-5.59274150746525e-05,-0.000417481349257095,0.000519067314281508,0.00197603685382556,0.00308532056327391,0.00057172000602554,0.000334048916759032,-0.000654503518606166,0.000484632131423681,0.000985471436629075
"T+2",0.000704533826402729,0.000142169923347271,0.000169519435245566,0.00210374457692794,0.00311363504122797,0.000613732334705723,0.00144807511674047,1.74289356421806e-05,0.00109298154425582,-0.00020414111961421
"T+3",-0.000407085421211447,-1.60756732548241e-05,0.000301678145363395,0.00208830523620185,0.00264419251795497,0.000909717237588147,-0.000261227336783243,-0.000505732361427884,0.00116799122723096,0.00133972983317394
"T+4",0.000144723675820771,-7.82591287186149e-05,0.000261294163851609,0.00209974731439551,0.00300869596255821,0.00102821363839353,0.00115100293472821,-0.000272624667364247,0.00119129869646177,5.30224065019508e-06
"T+5",-4.50161231024028e-05,-6.45926152296659e-05,0.00027374944978738,0.00209206588162337,0.00276825345851573,0.0010560050489105,2.16028984125601e-05,-0.000370900600263074,0.00120684090766581,0.00108520499229144
"T+6",7.81198783592469e-07,-5.78267823553862e-05,0.000269909682316994,0.00209723352923611,0.00292164149316431,0.00105906888100413,0.000922670969311632,-0.000329781953033408,0.00121914941399303,0.000223399137329344
"T+7",-3.78850657194285e-06,-5.89559478980702e-05,0.000271093447009086,0.00209375718170014,0.0028245418432472,0.00105837007299119,0.000203899856503763,-0.000346967411848523,0.00122910927906337,0.000909020378792829
"T+8",-6.41301283909092e-06,-5.96789951580631e-05,0.000270728503706206,0.00209609577088319,0.00288589680837279,0.00105786768883722,0.000777247338294451,-0.000339785892376142,0.00123718816825184,0.000363946402183093
"T+9",-4.38034310664066e-06,-5.95917082362246e-05,0.000270841012232325,0.00209452256820903,0.00284714494190734,0.00105771072581589,0.000319901450864984,-0.000342786864441286,0.00124374306946999,0.000797215960803433
"T+10",-5.24787093873943e-06,-5.95156607379129e-05,0.000270806326931019,0.00209558088433963,0.0028716181231289,0.00105768167690822,0.000684715550709386,-0.000341532839456266,0.00124906162273848,0.000452829979887453
"T+11",-4.9822548288784e-06,-5.95216700374679e-05,0.000270817020077293,0.00209486893981356,0.00285616282222929,0.00105768080442898,0.000393711891599017,-0.000342056862311905,0.00125337703506275,0.000726564310392316
"T+12",-5.03546714380726e-06,-5.95295522905586e-05,0.000270813723482686,0.00209534787516524,0.00286592309455887,0.00105768249093316,0.000625838691570341,-0.000341837887459946,0.00125687851174849,0.000508987660178027
"T+13",-5.035335371264e-06,-5.95292355164884e-05,0.000270814739791237,0.00209502568844606,0.00285975933351906,0.00105768324437343,0.000440676582516365,-0.000341929391074397,0.00125971957038909,0.000681927529669964
"T+14",-5.02930950122488e-06,-5.95284297387474e-05,0.000270814426473042,0.00209524242809924,0.00286365184144129,0.00105768343483803,0.000588376058119677,-0.000341891154211252,0.00126202477329618,0.000544467027010516
"T+15",-5.03278854698753e-06,-5.95284321431854e-05,0.000270814523066042,0.00209509662420832,0.0028611936642651,0.00105768345996407,0.000470559647381287,-0.00034190713235279,0.00126389518891151,0.000653726907073467
"T+16",-5.03147959759752e-06,-5.95285134173127e-05,0.000270814493287345,0.0020951947085888,0.0028627460400173,0.00105768345686895,0.000564539037508286,-0.000341900455523521,0.00126541282302671,0.000566882169098161
"T+17",-5.03183311281138e-06,-5.95285161517686e-05,0.000270814502467832,0.00209512872581129,0.00286176569145319,0.0010576834538305,0.000489573880164847,-0.000341903245588247,0.00126664421421525,0.000635910329312858
"T+18",-5.03177998805324e-06,-5.95285080631524e-05,0.000270814499637576,0.00209517311337745,0.00286238479627027,0.00105768345280155,0.000549371829565585,-0.000341902079696345,0.0012676433511245,0.000581043598033826
"T+19",-5.03176999049624e-06,-5.9528507491392e-05,0.000270814500510117,0.00209514325322145,0.00286199382229585,0.00105768345259319,0.000501672406536945,-0.000341902566890751,0.00126845403953343,0.00062465417945046
"T+20",-5.03178182911212e-06,-5.95285082854187e-05,0.000270814500241121,0.00209516334057909,0.00286224072822268,0.00105768345258011,0.000539721118575841,-0.000341902363305505,0.0012691118229566,0.00058999049952753
"T+21",-5.03177617012858e-06,-5.95285083721081e-05,0.00027081450032405,0.00209514982752387,0.00286208480342796,0.00105768345258941,0.000509370552554328,-0.000341902448378223,0.00126964554100047,0.000617542773924352
