"","JNJ","CVX","HPQ","WMT","PG","KO","MCD","DIS","MRK","AA"
"T+1",0.000692914854137111,0.00186383307480578,0.00291932018697308,0.000632472550850388,0.00366765851340215,0.000773102868256392,-0.00209534324009179,0.00234894874146793,0.00197858799274352,-0.000676638168332133
"T+2",0.000602934289944997,0.00522222125566051,-0.000569708494494639,0.00100919444640109,0.00242721908475177,0.000445775518056573,0.00208572737722129,0.000628483774517758,0.00286660254283024,0.00525063265232724
"T+3",-8.29967167561859e-05,-0.00117696631282721,0.00210739833436405,0.000857930560591361,-0.000732962655905421,0.000428949177430724,4.18653797076618e-05,-0.000799092094648029,-0.00154817368016943,-0.0046732651755446
"T+4",0.000574312742449898,0.00420963770829643,0.000756139766754122,0.00075907452203755,0.00102369477478731,0.000419351777157023,0.00170045937930447,5.5213174715695e-05,0.00193567458693231,0.0036557038244073
"T+5",-7.56247810738504e-05,-0.000576648742568149,0.00141716112896815,0.000679976578463984,-0.000483038760336322,0.000410462343829108,0.000235898649364685,-0.00058036062931053,-0.00121908923864697,-0.00368146985109238
"T+6",0.000566479903850935,0.00365509792631389,0.00109475217125083,0.000617496273200277,0.000677936128754096,0.000402108271973247,0.00154197619493161,-0.000118028231669482,0.00158156062711579,0.00275305463381352
"T+7",-6.79006199863879e-05,-8.80354688160159e-05,0.00125196025556629,0.00056810557201918,-0.000237723074357578,0.000394254706748573,0.000375952497376497,-0.000455055471051826,-0.000911490117556109,-0.00289217143484255
"T+8",0.000558848284726234,0.00322276790332872,0.0011753069829022,0.000529063907754816,0.000480684197020292,0.000386871606053302,0.00141706680784361,-0.000209421883163919,0.00130691326138527,0.00206039239648531
"T+9",-6.03608193661208e-05,0.000294349976564254,0.00121268234200451,0.00049820272565851,-8.36220022777969e-05,0.000379930785711743,0.0004874686396937,-0.000388449023882889,-0.000667201416257449,-0.00228451269314687
"T+10",0.000551399187783886,0.00288454569945947,0.00119445850026393,0.000473807955685021,0.000359522744092644,0.000373405751150935,0.00131749663867639,-0.000257967445544046,0.00108951289743562,0.00152728965138953
"T+11",-5.30013352041939e-05,0.000593508610611521,0.00120334425835549,0.000454524675953437,1.15047537504559e-05,0.000367271594966458,0.000576373630180975,-0.000353067245476031,-0.000473743913056092,-0.00181681964938588
"T+12",0.000544128238351898,0.00261993884599632,0.00119901165396849,0.000439281864587609,0.000284812620800664,0.000361504901817942,0.00123811434765012,-0.000283754995336916,0.000917359640405568,0.00111698068341824
"T+13",-4.58178554278965e-05,0.000827554287989438,0.00120112418737042,0.000427232913290152,7.01759946316768e-05,0.000356083659047291,0.000647253217982644,-0.000334272325871895,-0.000320549012636683,-0.00145685396749051
"T+14",0.000537031175969716,0.0024129246341349,0.00120009413778003,0.000417708605478162,0.000238736277535272,0.000350987172651808,0.00117482673040492,-0.000297453427641462,0.000781035283883049,0.000801181365045771
"T+15",-3.88061708369874e-05,0.00101065907498659,0.00120059637938137,0.000410179947003406,0.000106361045970402,0.000346195988290916,0.000703762046943843,-0.000324288401947632,-0.000199237339454728,-0.00117980197480935
"T+16",0.000530103842073677,0.00225096781619271,0.00120035149153473,0.000404228785034641,0.000210319114043548,0.000341691817024923,0.00112437060817741,-0.000304730080525167,0.000673083025908441,0.000558122554642097
"T+17",-3.19621728954032e-05,0.00115391044109274,0.00120047089633368,0.000399524583230664,0.000128677859347432,0.000337457465502365,0.000748813772790829,-0.0003189849082921,-0.000103173294748057,-0.000966565517843146
"T+18",0.00052334217755348,0.00212426148698706,0.00120041267578004,0.000395806063262851,0.000192793079850595,0.000333476770329436,0.00108414440940919,-0.000308595462783166,0.000587598008186887,0.000371049366453651
"T+19",-2.52818513240167e-05,0.00126598262788692,0.00120044106352405,0.000392866693030194,0.000142441556996705,0.000329734536370974,0.000784731310619149,-0.00031616767479077,-2.71022915220444e-05,-0.000802445468969252
"T+20",0.00051674222037373,0.00202513324981398,0.00120042722195162,0.00039054321556082,0.000181984053046867,0.000326216478747496,0.00105207402833535,-0.000310648766718265,0.000519904303651799,0.000227066197602985
"T+21",-1.87612917507912e-05,0.00135366189681284,0.00120043397096018,0.000388706581478217,0.000150930195977986,0.000322909168306862,0.000813366607034446,-0.000314671150967699,3.31366620785567e-05,-0.000676128464712151
