"","CVX","JNJ","HPQ","WMT","PG","KO","MCD","DIS","MRK","AA"
"T+1",0.00318852893644799,0.000141573422348729,-0.0017156399448546,0.00080993181593361,0.000451368229770366,-0.000130158105275577,0.00232133555039092,0.000291414641771332,0.000781378175117992,0.000867833955530499
"T+2",-0.00136559106485819,5.60718692831936e-05,-0.00155853470161311,0.000535328131955761,-0.000305109773070032,-8.36204651532785e-05,0.00106795242442885,-0.000570997224263911,0.000190796661312716,-0.00372781736591662
"T+3",0.00329795423277747,0.000282550860761832,-0.00156920958482479,0.000538055231890335,0.000177406743985854,-4.76081145238233e-05,0.00181754824481796,3.3379516390844e-05,0.000793095165251827,7.90413162971078e-05
"T+4",-0.000684586648632811,9.44583903505817e-05,-0.00157604889019766,0.000528268776715425,5.56513241653324e-05,-1.40838019541228e-05,0.00111674439268847,-0.000349207806474851,0.000262248381826258,-0.00318538102242658
"T+5",0.00278495759206188,0.000255842212798492,-0.00158298468119449,0.000521400197772558,0.00011333084944243,1.71455590594625e-05,0.00180759462660477,-0.000106284018089305,0.000736823925654563,-0.000388669397912628
"T+6",-0.000230561991478804,0.000117581621006168,-0.00158992687696728,0.000516079594232442,9.58806877211967e-05,4.62371384823526e-05,0.00112333459825043,-0.000260513841678171,0.000313178269021226,-0.00278473895230693
"T+7",0.00239106891561946,0.000236040131952174,-0.0015968775519107,0.00051198853219691,0.000103086686617293,7.3337276694078e-05,0.00180134336542106,-0.000162594617732579,0.000691416845389652,-0.000731918891648778
"T+8",0.000111950322659901,0.000134547902526929,-0.00160383666897445,0.000508841197494503,0.000100699645463701,9.8582296238646e-05,0.00112950520492678,-0.000224762707599004,0.000353723790147411,-0.00249066177218495
"T+9",0.00209331283572904,0.000221503866987255,-0.0016108042394983,0.000506419984121209,0.000101622134743703,0.000122099187806746,0.00179523092493951,-0.000185292711279139,0.000655218108932629,-0.000983867982606173
"T+10",0.000370806739980185,0.000147002205625203,-0.00161778027372603,0.000504557363504527,0.000101302399258291,0.000144006249041119,0.001135561862819,-0.000210351879297609,0.000386042276326451,-0.00227480570264754
"T+11",0.00186827496412708,0.000210833336494037,-0.00162476478193932,0.000503124464238695,0.000101422013842344,0.000164413679612323,0.00178922938406125,-0.000194442024716153,0.0006263639857925,-0.00116880154431411
"T+12",0.000566444407918845,0.000156144445086083,-0.00163175777443175,0.000502022146183477,0.000101379610689015,0.000183424135559061,0.00114150880160194,-0.000204543057304964,0.0004118034014301,-0.00211636483823633
"T+13",0.00169819650185694,0.000203000497966905,-0.00163875926150941,0.000501174141635941,0.000101395221988933,0.000201133245681568,0.00178333654946585,-0.000198129996843736,0.000603364307319354,-0.00130454492849775
"T+14",0.00071430286384222,0.000162855422156298,-0.00164576925349091,0.000500521778455194,0.000101389625566333,0.000217630092585699,0.00114734802433698,-0.000202201594882626,0.000432337644740655,-0.00200006740185145
"T+15",0.00156965510583971,0.00019725070329401,-0.0016527877607074,0.0005000199206281,0.000101391669735683,0.000232997660797523,0.00177755045083266,-0.000199616571602318,0.000585031218500291,-0.00140418215053282
"T+16",0.000826050889264477,0.00016778170016836,-0.00165981479350258,0.000499633845377307,0.000101390932856066,0.000247313254202585,0.00115308148218168,-0.000201257781096945,0.000448705530353532,-0.00191470373156374
"T+17",0.00147250647067179,0.000193029993436921,-0.0016668503622327,0.000499336840745262,0.000101391200960685,0.000260648884909683,0.00177186915486084,-0.00020021579102058,0.00057041787744905,-0.0014773170298094
"T+18",0.000910507480594274,0.000171397897154017,-0.00167389447726661,0.000499108357434624,0.000101391104048785,0.000273071635495295,0.00115871109083909,-0.000200877341738388,0.00046175240407508,-0.00185204580520264
"T+19",0.00139908376322234,0.000189931727722895,-0.00168094714898574,0.000498932587033738,0.000101391139240815,0.000284643996450834,0.0017662907632768,-0.000200457328763064,0.000558769554638466,-0.00153099888140616
"T+20",0.000974337832782618,0.000174052412511667,-0.00168800838778415,0.000498797368256744,0.000101391126502615,0.000295424180530227,0.00116423873131262,-0.000200723991461315,0.000472152092705121,-0.00180605415884254
"T+21",0.00134359256707852,0.000187657406397871,-0.00169507820406849,0.000498693345522771,0.000101391131123863,0.000305466415579073,0.00176081341219015,-0.000200554689561573,0.000549484653682292,-0.00157040198454056
