"","MRK","PG","GS","CVX","WMT","DIS","T","HD","BA","KO"
"T+1",0.00113310945762727,0.00194637447800487,0.00115061004288385,0.00137675382186439,0.000275978543357436,0.00128192601979811,-0.000190187115379474,0.000805947387959568,0.00226847881796285,0.000978363702765272
"T+2",0.00113600766852883,0.00188922891730205,0.00129158107588222,0.000266718271047517,0.000375215580670314,0.00131590237115374,-0.000188365975302607,0.000794738867913827,0.00217234668675703,-0.000182355778413326
"T+3",0.00103504962448225,0.00185250774645594,0.000894795358983993,0.000381617713133825,0.000273822835598717,0.00132446350382162,-0.000172188819558971,0.000809420706713473,0.00267263685271615,0.000835571419919734
"T+4",0.000942155380643879,0.00181706788924544,0.00107266746250126,0.000428716258300034,0.000275751501612569,0.00132874531630381,-0.000156644164026152,0.000821958358100217,0.00251344803767159,-0.0001266635547123
"T+5",0.000859091429117538,0.00178289410734895,0.00100591367715733,0.000398182576179986,0.000279746442731955,0.00133076910879732,-0.000141565271843389,0.000833544511833382,0.0025096711583912,0.000789776886835345
"T+6",0.00078487844833428,0.00174994112188329,0.00102983858072195,0.000407344399707209,0.000279433887753766,0.00133172893839888,-0.000126939642029273,0.000844214026789707,0.00252940404444554,-8.36746468082488e-05
"T+7",0.000718574898848016,0.00171816532218918,0.00102138066546534,0.000406029668426452,0.000279290365342667,0.00133218406230385,-0.00011275363503106,0.000854040888645309,0.0025231234580484,0.000748861334286833
"T+8",0.000659337854809385,0.00168752465543513,0.00102435800813279,0.000405800297769425,0.000279311450550864,0.00133239987197735,-9.89940366465599e-05,0.000863091590429599,0.00252297507288242,-4.46808730377073e-05
"T+9",0.000606414182662764,0.00165797857105107,0.00102331132588565,0.000406015037897828,0.000279316028400734,0.00133250220405957,-8.56480297153537e-05,0.000871427438264489,0.00252375339472705,0.000711694392128979
"T+10",0.000559131015224522,0.00162948796706269,0.00102367913162253,0.000405941695235867,0.000279314905480549,0.00133255072762858,-7.27031823418841e-05,0.000879104893557191,0.00252350560242878,-9.2547521715877e-06
"T+11",0.00051688719819005,0.00160201513834292,0.00102354990123096,0.00040595481637746,0.000279314785890428,0.00133257373641225,-6.01474363134141e-05,0.000886175958308891,0.00252349977280321,0.000677927517669925
"T+12",0.00047914564714079,0.00157552372671215,0.00102359530508316,0.000405955523242449,0.000279314838404765,0.00133258464665931,-4.79690958677371e-05,0.000892688527228593,0.00252353047205571,2.2930593173456e-05
"T+13",0.000445426519097945,0.00154997867282092,0.00102357935308727,0.000405954068328335,0.000279314840168784,0.00133258982005276,-3.61568167984953e-05,0.000898686712144624,0.00252352069573638,0.000647249627511232
"T+14",0.000415301111838298,0.00152534616975159,0.00102358495757026,0.000405954639328456,0.000279314837937564,0.00133259227315944,-2.46995958879749e-05,0.000904211140788756,0.00252352046671102,5.21716323924536e-05
"T+15",0.000388386413409368,0.00150159361827747,0.00102358298852584,0.000405954518205637,0.000279314837997013,0.00133259343636738,-1.35867606575342e-05,0.000909299231981568,0.00252352167757777,0.000619378141882212
"T+16",0.000364340232546926,0.00147868958372026,0.00102358368031745,0.000405954520953368,0.000279314838083927,0.00133259398793439,-2.80795942611821e-06,0.000913985449082746,0.00252352129186597,7.87377097933848e-05
"T+17",0.000342856848083372,0.00145660375434864,0.00102358343726779,0.000405954530350602,0.000279314838076418,0.00133259424947504,7.64684833240274e-06,0.000918301533423057,0.00252352128286853,0.000594056331704357
"T+18",0.000323663122033938,0.00143530690126304,0.00102358352265931,0.000405954526022972,0.000279314838073337,0.00133259437349173,1.77874013420504e-05,0.000922276719299101,0.00252352133062859,0.000102873530110648
"T+19",0.000306515026942789,0.00141477083971344,0.0010235834926584,0.000405954527083478,0.000279314838073822,0.00133259443229765,2.7623145596426e-05,0.000925937931987073,0.00252352131541084,0.000571050953404165
"T+20",0.000291194543338005,0.00139496839179901,0.00102358350319873,0.000405954527000667,0.000279314838073918,0.00133259446018209,3.71632431577172e-05,0.000929309970116747,0.00252352131505738,0.000124801412559972
"T+21",0.000277506887849927,0.00137587335050023,0.00102358349949555,0.000405954526943943,0.000279314838073893,0.00133259447340427,4.64165806912204e-05,0.000932415673640973,0.00252352131694117,0.000550150100462861
