"","JNJ","PG","CVX","DIS","BA","KO","MRK","HD","T","GS"
"T+1",0.00350479437856014,0.000228063121161827,-0.0004590037713677,-0.0028239546418594,-3.08739761955361e-05,-0.00273389508720941,0.000947073190555063,0.00097284707966414,0.000420216002454381,0.000714809468772867
"T+2",0.00285436648916673,0.000878883608252151,0.00420087885125332,0.0038831906454138,-9.72159095985953e-05,0.000831530639781832,0.00115031551285724,0.000956064553501643,0.000227502462529798,0.0024100100998023
"T+3",0.00198897283676009,0.00073713094963982,0.00140635076735416,-0.00174809687588134,0.000423605306655682,0.00122902208547636,0.00112474989844607,0.000991584205530883,3.46321443263147e-05,0.000815695353047135
"T+4",0.00166688956941384,0.000746073254084668,0.00137753864936017,0.00360677409948494,0.000293893217354856,-6.12112399558698e-05,0.00113921499030484,0.000990033369899508,0.000209320453807445,0.00117890077298946
"T+5",0.00141283949007132,0.0007277942412885,0.000868479627044807,-0.00155849338526568,0.000297311272442953,0.00102798779749119,0.00113007511735829,0.000991355207979992,3.59389922254062e-05,0.000988091514986589
"T+6",0.00129005732855039,0.000715756399581541,0.000706146381998363,0.00343144029043618,0.000303865197954151,0.000355634701185006,0.00113586825497617,0.000991264100582646,0.000207332656227029,0.00104590105915406
"T+7",0.00120953767131376,0.000703577009562653,0.000564913468456232,-0.00138987972484645,0.000301989309861137,0.000694888947937846,0.00113219607789662,0.000991314181029075,3.78752828884059e-05,0.00102116174756762
"T+8",0.00116616670734557,0.000692390190053151,0.000492252248463951,0.00326860225155386,0.000302094772225878,0.000555489561585975,0.00113452381722993,0.000991309562939976,0.000205417041749328,0.00102961576934246
"T+9",0.00113970900589898,0.000681917561443938,0.000444539669605026,-0.00123254939491618,0.000302175191250064,0.00059646394990198,0.00113304829723055,0.000991311491392325,3.97691924579466e-05,0.00102628097373852
"T+10",0.00112480641518032,0.000672151353929969,0.000416803126228884,0.00311658622364893,0.00030214853479649,0.000594692185585808,0.00113398360783033,0.00099131127355269,0.000203544539043657,0.00102747972001674
"T+11",0.00111597570081828,0.000663036808306937,0.000399699653637744,-0.00108566743984084,0.000302150761619187,0.000585722220300703,0.00113339072808728,0.000991311348877157,4.16205280863914e-05,0.00102702234665002
"T+12",0.00111090983359309,0.00065453178261875,0.000389454534876647,0.00297466487377968,0.000302151717703951,0.000594468574952868,0.00113376654590631,0.000991311339017974,0.000201714131125548,0.00102719026884663
"T+13",0.00110794310165269,0.000646595263468969,0.000383230094311456,-0.00094853915452685,0.00030215134505565,0.000588709515459785,0.001133528320474,0.000991311341996072,4.34302448596144e-05,0.0010271270732016
"T+14",0.0011062284382287,0.000639189297489644,0.000379474577864046,0.00284216777762159,0.000302151385817609,0.000591766382007751,0.00113367932809984,0.000991311341561333,0.000199924871601935,0.00102715048002707
"T+15",0.00110522906321724,0.000632278408426524,0.000377200982208748,-0.000820516839796831,0.000302151396714266,0.00059043286120707,0.00113358360656901,0.000991311341680274,4.51992783847487e-05,0.00102714172104578
"T+16",0.00110464970148509,0.000625829502877685,0.0003758268293014,0.00271846911897091,0.000302151391585995,0.000590873627498601,0.00113364428305083,0.000991311341661434,0.000198175835438232,0.00102714497712012
"T+17",0.00110431268132347,0.000619811697555559,0.000374995620615275,-0.000700995815791387,0.000302151392276445,0.000590811592486154,0.00113360582111427,0.000991311341666224,4.69285432395276e-05,0.00102714376154189
"T+18",0.00110411706063209,0.00061419617407913,0.000374493032497159,0.00260298463971184,0.000302151392393205,0.000590754808665083,0.0011336302015747,0.000991311341665417,0.000196466118395193,0.00102714421410732
"T+19",0.00110400335609663,0.000608956040459872,0.000374189084725454,-0.000589411556363248,0.000302151392323723,0.000590823332348536,0.00113361474715654,0.000991311341665612,4.8618933441571e-05,0.00102714404531754
"T+20",0.00110393732394475,0.000604066202415224,0.000374005285234878,0.00249516887925632,0.000302151392334846,0.000590774720169369,0.00113362454348673,0.000991311341665577,0.000194794836561279,0.00102714410819825
"T+21",0.00110389895508547,0.000599503243177479,0.000373894135121917,-0.000485237022587831,0.000302151392335975,0.000590801896254859,0.00113361833373595,0.000991311341665585,5.02713229105803e-05,0.00102714408475561
