"","IBM","PG","CVX","DIS","BA","KO","MRK","HD","T","GS"
"T+1",0.000158578663513613,-0.00235031575996366,-0.00110445067849876,0.000795286204973775,0.000598748008002173,0.000218912287432533,0.000566651167490766,0.00266717276159232,0.000535059879412618,0.000549370276602493
"T+2",-6.49730302855866e-06,0.000977310698164079,-0.00969344289636211,0.00112033863636905,0.000890038944165274,-0.000706664615302113,0.000706617707539439,0.000839324881689564,0.000135246959480997,0.00099781775569349
"T+3",-8.38665719638609e-05,0.000425227170969364,-0.00359363870324026,0.000988320481115155,0.000726050040753563,0.00212212609061962,0.000715625249966789,0.0011186525050941,0.000119720346303486,0.000822257202988929
"T+4",-8.24066269231038e-05,0.000524478418308867,-0.00287912477870686,0.000990517337035467,0.000764287623197646,6.674135617059e-05,0.000725523464836464,0.000792853192987978,0.000127787760656887,0.00085761813253744
"T+5",-9.00819819345993e-05,0.000511732794590496,-0.00160833007038543,0.000987142992349163,0.000757549768058412,0.00117914925581486,0.000734713380196157,0.00104355687601635,0.000136927711509138,0.000842504570198775
"T+6",-8.82423130611651e-05,0.000516501764566986,-0.00104117712432063,0.000987038029211836,0.000758525265717576,0.000669759447279874,0.00074326356769198,0.000842902642246795,0.000145750668827581,0.000845244488640173
"T+7",-8.93793343390243e-05,0.000517411783316301,-0.000629033753936614,0.000986944005032443,0.000758411283421512,0.000872763089801057,0.000751218335562117,0.00100279737137434,0.000154186875374426,0.000843931819483874
"T+8",-8.8952548379379e-05,0.000518380926357154,-0.000389059993154564,0.000986936699373957,0.00075842033456527,0.000803536246034714,0.000758619150565531,0.00087532135409462,0.000162248289103926,0.000844138729608537
"T+9",-8.91551712635389e-05,0.000518952515982869,-0.000235648938718122,0.000986933867978251,0.000758420443808032,0.0008219668787947,0.000765504588749133,0.000976946205312634,0.000169951248879164,0.000844023536925944
"T+10",-8.90697136132229e-05,0.000519337402216802,-0.000141502177312083,0.000986933538708924,0.000758420208727409,0.000819742393091224,0.000771910539845277,0.000895929631275838,0.000177311674004125,0.000844038550605658
"T+11",-8.91079056667388e-05,0.000519587622425631,-8.26992774744035e-05,0.000986933448171275,0.000758420270532015,0.000818230521504107,0.000777870394302163,0.000960516993677164,0.000184344795066367,0.000844028322251754
"T+12",-8.90913215031713e-05,0.00051975176210343,-4.62510169150953e-05,0.000986933435120541,0.000758420258961702,0.000819809530385398,0.000783415217329087,0.000909027187759383,0.000191065166576988,0.000844029340483891
"T+13",-8.90986258339741e-05,0.000519859185180897,-2.35843022524881e-05,0.000986933432103747,0.000758420260724291,0.000818838091401407,0.000788573910821073,0.000950075467090643,0.000197486695910497,0.000844028420286098
"T+14",-8.90954312481597e-05,0.000519929531436789,-9.50829195599676e-06,0.000986933431614071,0.000758420260504645,0.000819321081449894,0.000793373364007411,0.000917351295627136,0.000203622672011514,0.000844028480720115
"T+15",-8.90968332780086e-05,0.000519975590758905,-7.61692960223384e-07,0.000986933431510904,0.000758420260524744,0.000819113876189347,0.000797838593609371,0.000943439390312714,0.000209485792890782,0.000844028396747513
"T+16",-8.90962190158029e-05,0.000520005749368747,4.67184334711285e-06,0.000986933431493014,0.000758420260524228,0.000819191063806039,0.000801992874237626,0.000922641654147275,0.000215088191902604,0.00084402839921681
"T+17",-8.90964883671996e-05,0.000520025496347468,8.04763985218987e-06,0.000986933431489431,0.000758420260523914,0.00081916713109046,0.000805857859709082,0.000939221854227806,0.000220441462854027,0.000844028391437953
"T+18",-8.90963703073448e-05,0.000520038426127632,1.01448799930838e-05,0.000986933431488786,0.000758420260524011,0.000819172264769988,0.000809453695915468,0.000926003923558636,0.000225556683997482,0.000844028391373334
"T+19",-8.9096422065103e-05,0.000520046892187378,1.14478352189977e-05,0.000986933431488661,0.000758420260523992,0.000819172466879371,0.000812799125831996,0.000936541413475911,0.000230444440956523,0.000844028390641567
"T+20",-8.90963993766926e-05,0.000520052435528351,1.22573163725142e-05,0.000986933431488638,0.000758420260523995,0.000819171401195101,0.000815911587213448,0.000928140802477424,0.000235114848632099,0.000844028390607651
"T+21",-8.90964093228364e-05,0.000520056065154019,1.27602211460839e-05,0.000986933431488633,0.000758420260523995,0.000819172201417438,0.000818807303486914,0.000934837868448724,0.000239577572134691,0.000844028390537753
