"","CVX","DIS","PG","IBM","VZ","BA","KO","MCD","MRK","HD"
"T+1",0.000994157763786092,0.00167006354617408,-0.000492686291738908,0.0021106971959768,0.000331334450605808,-0.00087859874518441,0.000232151306778442,0.00150853683172307,4.35574227908861e-05,0.00432460012678918
"T+2",-0.000806258834439123,0.00092853453849547,-0.000313622263756185,0.000202025222466442,0.000392387145916092,0.00129764444449679,0.000537557356109658,-0.000258248254085818,0.000911208523232846,0.0050318565132761
"T+3",1.94414399296095e-05,0.00139722358418197,0.000235497508811636,0.000370932865895822,0.000429470718528952,0.000996455420113896,0.000599264025289407,0.000222937206396278,0.00010769461834605,0.00429116788563932
"T+4",-0.000154388493167515,0.00108961576182542,0.000126296514960424,0.000344482084474608,0.000439236005187525,0.000697335411450589,0.000652880835184221,9.56909161550603e-05,0.000887260099425804,0.00361537003017068
"T+5",-5.30823206375491e-05,0.00129153439831329,0.00024001653716444,0.000337084767479344,0.000442342171568593,0.00057726405820037,0.000685673072202028,0.000127744910732219,0.000131418759926746,0.0030900698477421
"T+6",-6.75911735359877e-05,0.00115899173304252,0.00019438458104602,0.000328474494096669,0.000443278512309947,0.00054187521665386,0.000706804369046315,0.00012035931938526,0.000864264395190394,0.00268834267170195
"T+7",-5.44433268508279e-05,0.00124599488671553,0.000223693694958197,0.000320528833112927,0.000443564903246421,0.000533738655363353,0.000720302254677722,0.000121748704696427,0.000153714928339897,0.0023816773423275
"T+8",-5.51598990640868e-05,0.00118888460653775,0.000209181390124619,0.00031303811821561,0.000443652150187859,0.000532427259760914,0.000728936721723779,0.000121642133217877,0.00084264656874248,0.00214762720549574
"T+9",-5.33306216529207e-05,0.00122637272006342,0.000217423611134113,0.000305991535038803,0.00044367875839409,0.000532390760374662,0.000734458779182479,0.000121556337003035,0.000174675051937248,0.00196900188176389
"T+10",-5.32416839810656e-05,0.00120176491475519,0.000213078194133714,0.000299361316027015,0.000443686870825988,0.000532467725493471,0.000737990477472335,0.000121627169920961,0.000822324137995315,0.00183267672138355
"T+11",-5.29672977317036e-05,0.00121791787699142,0.00021546217040036,0.000293122994687576,0.000443689344383982,0.000532506814131582,0.000740249202716762,0.000121588535943019,0.000194379191064066,0.00172863467716364
"T+12",-5.2925500968216e-05,0.00120731481077983,0.000214182035203868,0.000287253394037997,0.000443690098578536,0.000532519801926308,0.000741693789677743,0.000121606862817215,0.000803219479524128,0.00164923079770719
"T+13",-5.28813453954243e-05,0.0012142748352907,0.000214877396662367,0.000281730721768768,0.000443690328535917,0.00053252314585409,0.000742617687400895,0.000121598743798096,0.000212902607537711,0.0015886305269604
"T+14",-5.28706374673091e-05,0.00120970616239691,0.000214502013412509,0.000276534472231269,0.00044369039865086,0.00053252379665604,0.000743208573966715,0.000121602202260235,0.000785259621284653,0.00154238098804436
"T+15",-5.28631121773326e-05,0.00121270511333133,0.000214705335657225,0.000271645351914072,0.000443690420029202,0.000532523864649856,0.000743586480441843,0.000121600764722818,0.000230316053293842,0.00150708378848596
"T+16",-5.28607679383199e-05,0.00121073655333237,0.000214595405328121,0.000267045207654488,0.000443690426547548,0.000532523850087394,0.000743828173708067,0.00012160135268534,0.00076837596390504,0.00148014530810629
"T+17",-5.28594307069535e-05,0.0012120287480212,0.000214654898621037,0.000262716959250765,0.000443690428535019,0.000532523838300728,0.000743982750670291,0.000121601114831575,0.000246686040630311,0.00145958612113835
"T+18",-5.28589501837668e-05,0.00121118053048416,0.000214622718042579,0.000258644536042441,0.000443690429141007,0.000532523833763033,0.000744081611667224,0.000121601210319256,0.000752504018664091,0.00144389554903387
"T+19",-5.2858705820993e-05,0.00121173731422299,0.000214640129713195,0.000254812817240574,0.000443690429325775,0.000532523832460306,0.000744144839049714,0.000121601172192253,0.000262075096257156,0.00143192065657583
"T+20",-5.28586104571965e-05,0.00121137183235273,0.000214630710337453,0.000251207575784684,0.000443690429382112,0.00053252383216924,0.000744185276654234,0.00012160118735698,0.000737583161170508,0.00142278153478811
"T+21",-5.2858565006905e-05,0.00121161174057593,0.00021463580644633,0.000247815425518089,0.000443690429399289,0.000532523832124972,0.000744211138864481,0.000121601181342168,0.000276542000123267,0.00141580664567379
