"","CSCO","V","PG","MCD","WMT","VZ","BA","MRK","HD","IBM"
"T+1",-0.00188831526294137,0.00167005554310749,-0.00164299401013849,-0.000206057519020993,-0.00269508794282454,-0.000413941925363621,-0.000690250037719786,0.000529852692006092,-0.00182309149614999,-0.00390340056730965
"T+2",0.00378536140578068,0.00227361228445386,-8.87503333012009e-05,0.000136957169143131,-0.00164865410651915,0.000114919212329699,0.00155656348409254,0.00112163675568155,0.000362082773611969,0.00186560376120117
"T+3",-0.00191469790546538,0.00167194404226639,-0.000981043513799241,0.000374258592795991,-0.00156435155371039,2.75896291440218e-05,0.00047768540147477,0.0010583625451157,0.00111747450946479,-0.00228339854886645
"T+4",0.003043383971801,0.00124183880141691,-0.000378725987509489,0.000533311910739813,-0.00154767851322299,5.67929896067801e-05,0.00108197393363299,0.000975843904768039,0.00129470066121112,0.000961371957504258
"T+5",-0.00117679063484676,0.00101825118979906,-0.000783333683284536,0.000639305510717151,-0.00153687137841158,4.31429281851728e-05,0.000745770205756466,0.000897492614106414,0.00130245049461461,-0.00162336972620911
"T+6",0.00240243551552845,0.000911546193789885,-0.000511501211600235,0.000709864061499323,-0.00152754170708186,5.00271528878356e-05,0.000932872417416272,0.000823884638411877,0.0012826915495366,0.000443433983188706
"T+7",-0.000631359893425461,0.0008621099388381,-0.000694129016779779,0.000756824516909255,-0.00151926793118565,4.65084022327451e-05,0.000828748498331096,0.000754761848555623,0.00126900890938673,-0.00121049540339135
"T+8",0.00193986117424064,0.00083945927409674,-0.000571432421705681,0.000788078011815255,-0.00151191497595137,4.83109748485802e-05,0.000886694341502031,0.000689852029636991,0.00126303598836941,0.000113245014927412
"T+9",-0.000239278833276282,0.000829125557420527,-0.000653864855169214,0.00080887793900789,-0.00150537928456694,4.73872179221432e-05,0.000854446989417267,0.000628898445334149,0.00126113348940722,-0.000946258785015651
"T+10",0.00160756257065843,0.000824418953319349,-0.00059848348062361,0.000822720755657699,-0.00149956994599326,4.78606407491884e-05,0.000872392913755404,0.000571659965804146,0.00126075256417982,-9.82408997215212e-05
"T+11",4.23480781842711e-05,0.000822276677439169,-0.000635690882100001,0.000831933457395202,-0.00149440623093677,4.76180104314913e-05,0.000862405854988724,0.000517910156454164,0.00126077477730546,-0.000776988135678562
"T+12",0.00136888115385972,0.000821301840232195,-0.000610693475733977,0.000838064714603784,-0.00148981638737921,4.77423592501541e-05,0.000867963737710724,0.000467436383762057,0.00126084203862363,-0.000233723729686658
"T+13",0.000244632697701866,0.000820858287492032,-0.000627487723658671,0.000842145202141822,-0.00148573663786217,4.76786300628431e-05,0.000864870728940758,0.000420038974160434,0.00126088184252801,-0.000668548676426366
"T+14",0.00119744315635556,0.000820656478103256,-0.000616204682561278,0.000844860857015624,-0.00148211029288533,4.77112914869232e-05,0.000866592014496716,0.000375530424132923,0.00126089785496315,-0.000320517893829545
"T+15",0.000389927909352839,0.000820564659480692,-0.000623785076573342,0.000846668185508265,-0.00147888696315968,4.76945523964691e-05,0.000865634104517954,0.000333734658452858,0.0012609025199755,-0.000599079247799189
"T+16",0.001074304186058,0.000820522884375306,-0.000618692267561824,0.000847871002667262,-0.00147602185942942,4.7703131237027e-05,0.000866167189527722,0.000294486333632051,0.00126090326354846,-0.000376120728494293
"T+17",0.00049428927011663,0.000820503877824744,-0.000622113818418748,0.000848671504138829,-0.00147347517011006,4.76987345521811e-05,0.000865870523208402,0.000257630183824171,0.00126090308759538,-0.000554575135851121
"T+18",0.000985857014594109,0.000820495230362936,-0.000619815085000699,0.000849204255605821,-0.00147121150809291,4.7700987868058e-05,0.000866035620525727,0.000223020406595137,0.00126090287173106,-0.000411741502021158
"T+19",0.000569249026128128,0.000820491296005241,-0.000621359465180395,0.000849558813511913,-0.00146919941902931,4.76998330360382e-05,0.000865943742471452,0.000190520086130645,0.00126090275857494,-0.000526064522983901
"T+20",0.000922327961846649,0.000820489505980769,-0.00062032188939161,0.000849794779654779,-0.00146741094426179,4.77004248913603e-05,0.000865994873386201,0.000160000651599049,0.00126090271649005,-0.000434561193049603
"T+21",0.000623090457287126,0.000820488691568945,-0.000621018973912394,0.000849951820351438,-0.0014658212323291,4.77001215635028e-05,0.000865966418599433,0.000131341368526871,0.00126090270541962,-0.000507799805173009
