"","HD","XOM","GS","UNH","VZ","PFE","CAT","PG","CVX","IBM"
"T+1",0.00369918768841486,0.000246264715890028,0.000210891763513635,-0.000381219116000986,0.00054260009611749,0.000739287531751192,0.00350906995018111,-0.000737184301411129,0.00242436728158048,0.00144225655490891
"T+2",0.000153753990741048,0.00199254105324709,1.36949187660305e-05,-0.000228351906501808,0.000799925201194498,0.00136066204131786,0.000597342007176604,7.22631650524616e-05,0.00221266328526761,-0.000673395034915876
"T+3",0.00191294988393544,-0.000419355318983294,0.000450281683935899,-5.17770156860835e-05,0.000595268404769201,0.00088292568174527,0.00176834893823233,-0.000610993784308084,0.00040767863291482,0.000472489261801906
"T+4",0.0013739372072322,0.001805693339605,0.000421525922070239,0.00010506746445198,0.000768836253918934,0.00135830057927934,0.00139308099919642,-0.000154481628961144,0.000669908496170285,0.000201227812340021
"T+5",0.00149791179764434,-0.000135280187535668,0.0004498630276073,0.000242237975223531,0.000621658245554794,0.000903812266338946,0.00148784477024091,-0.00045596948637827,0.000876343517355392,0.000198607131595834
"T+6",0.00147762142105983,0.00154099903380489,0.000447000522024844,0.000362074970907605,0.000746458861609359,0.00134078831578524,0.00147244185814797,-0.000256992829918722,0.000814647061561361,0.000227834915282308
"T+7",0.00147875411362229,9.60172626523812e-05,0.00044887729193449,0.000466761126043766,0.000640633311133256,0.000920988598253202,0.0014713263633106,-0.000388309005536626,0.000795148047898971,0.000215596173307698
"T+8",0.00147950903854999,0.00134118058275643,0.000448627904243824,0.00055821147992245,0.000730368822764856,0.00132433361373363,0.0014736319377455,-0.000301646068766721,0.000805894586452377,0.000217806321756762
"T+9",0.00147911531043241,0.000268274485888124,0.00044875445567881,0.000638099448825055,0.000654276971491156,0.000936804712244218,0.00147239820993706,-0.000358839812556865,0.000807098606944813,0.000218128404781514
"T+10",0.00147923830875451,0.00119274218924683,0.000448734120607026,0.000707886903449259,0.000718799586061283,0.00130913856266031,0.0014728752576904,-0.000321094446103507,0.000805510991752951,0.000217761545705222
"T+11",0.00147920954718013,0.000396178022004653,0.000448742786574427,0.000768850886909243,0.000664087186227688,0.000951404083865025,0.00147272747531908,-0.00034600473512691,0.000805556454849605,0.000217885199442173
"T+12",0.00147921437993006,0.00108253428265351,0.000448741190720835,0.000822106981416432,0.000710480946237177,0.00129511165522235,0.00147276308972373,-0.000329565035171088,0.00080576204033342,0.000217870283484409
"T+13",0.00147921406323247,0.000491138262932987,0.000448741791807516,0.000868629722240905,0.00067114103472965,0.000964880993094767,0.00147275802418403,-0.00034041451726193,0.000805729328693203,0.000217863855849341
"T+14",0.00147921390358498,0.00100071217784251,0.000448741669544141,0.000909270430761649,0.00070449958633451,0.00128216318122165,0.00147275718044831,-0.000333254334171253,0.000805706184747774,0.000217868152528783
"T+15",0.00147921399157043,0.00056163993970231,0.000448741711672478,0.000944772792827968,0.000676212970464487,0.00097732175238545,0.0014727582185925,-0.00033797974147298,0.000805713542922907,0.000217866979417461
"T+16",0.00147921396353025,0.000939964701940238,0.000448741702453263,0.000975786467494706,0.000700198803148592,0.00127021022899792,0.00147275769967066,-0.000334861179575269,0.000805715671797071,0.000217867036351182
"T+17",0.00147921397019562,0.000613982748915717,0.0004487417054304,0.00100287897515765,0.000679859849482538,0.000988806024655924,0.00147275789299335,-0.000336919293868676,0.000805714415618623,0.000217867133530951
"T+18",0.00147921396904725,0.000894863738748511,0.000448741704742746,0.00102654608263052,0.000697106406718135,0.00125917625955649,0.00147275783513646,-0.000335561028558042,0.0008057142949123,0.000217867086036355
"T+19",0.00147921396913285,0.00065284380569034,0.000448741704954497,0.00104722087520053,0.000682482068545952,0.00099940734781932,0.00147275784837664,-0.000336457424185817,0.000805714477893463,0.000217867096296285
"T+20",0.00147921396916634,0.000861379271306259,0.000448741704903593,0.00106528168167224,0.000694882877823583,0.00124899061844055,0.00147275784680604,-0.000335865842323862,0.000805714470247428,0.000217867096825791
"T+21",0.00147921396914671,0.000681695557365267,0.000448741704918729,0.00108105899742059,0.000684367525338595,0.00100919360594424,0.00147275784630889,-0.000336256260447903,0.000805714446864577,0.000217867095536092
