"","HD","XOM","UNH","GS","VZ","PFE","CAT","PG","CVX","IBM"
"T+1",0.000620317263087487,0.00016478536469779,0.00286901261264846,0.000498946711206884,-0.000653012170244208,0.00129534059095832,0.00141686753340756,0.00115854351596611,-0.000319336019965907,0.00114511398599038
"T+2",0.00163208567081115,0.0027676686733854,0.00267182088997652,-0.000951247658275072,0.00102648123606471,0.00122424721068465,0.00160434428564941,-0.00150222577857475,0.000705024110168493,0.000161649380029491
"T+3",0.000836808429112563,-0.00126928982192056,0.00254540263574688,0.000205236240289516,0.0004942281046051,0.00111076218851835,0.00137136826472425,0.000404796369162628,0.000340661698962932,0.000237360588209872
"T+4",0.00145667437190053,0.00251710649255945,0.00243192466381853,-0.00043678397368972,0.000432809019479111,0.00119290265369592,0.00149580535644195,-0.00071210543587939,0.000260280372110516,0.000312036549507733
"T+5",0.000973638483879239,-0.000794671580038454,0.00232882126139176,-7.16516169625971e-05,0.000488587759791995,0.00112267551105273,0.00144162305284171,-7.53032874574489e-05,0.000327275572362835,0.000273110830333742
"T+6",0.00135004610348264,0.00206361911059128,0.00223511002551046,-0.000278921782178887,0.000485102689824717,0.00118174490903598,0.00146308904838267,-0.000436903415983374,0.000326559459841242,0.000281113138081681
"T+7",0.00105672902965567,-0.000396694839228677,0.00214993446423733,-0.000161246311186843,0.000480823069403735,0.00113198622223822,0.00145503606733299,-0.000231701813464137,0.000317075082866282,0.000282005943116737
"T+8",0.0012852974776507,0.00171990910455439,0.00207251708213849,-0.000228054588524455,0.00048180024244173,0.00117389601397908,0.00145795179647211,-0.000348138794356391,0.000318912448098236,0.00028077649858702
"T+9",0.00110718464319763,-0.000100801787597899,0.00200215122815058,-0.000190125275834224,0.000482016577341026,0.00113859659162984,0.00145692206742555,-0.000282070265239955,0.000319937639870625,0.000281187049746964
"T+10",0.00124597974844986,0.00146534586326052,0.00193819461692703,-0.000211659024703045,0.000481897825875388,0.00116832825367404,0.00145727910003641,-0.00031955870263405,0.000319486439737915,0.000281150215873226
"T+11",0.00113782313356509,0.000118175709064131,0.00188006346541796,-0.000199433589813702,0.0004818978359042,0.00114328614918501,0.00145715704369344,-0.000298287116054232,0.000319421820701294,0.00028112119659199
"T+12",0.00122210458803046,0.001276984559486,0.00182722716419558,-0.000206374381177335,0.000481908116495906,0.0011643783770633,0.00145719830743478,-0.000310356980848757,0.000319498396356922,0.000281137121221698
"T+13",0.00115642794333918,0.000280200524791588,0.00177920343415771,-0.000202433860026884,0.000481906493129565,0.00114661301403362,0.00145718448252471,-0.000303508331624966,0.000319493665836322,0.000281133682642391
"T+14",0.00120760671908844,0.00113761404377206,0.00173555392438139,-0.000204671026673108,0.000481905859179754,0.00116157625667309,0.00145718908015806,-0.000307394373177822,0.000319483540634959,0.000281133385313655
"T+15",0.00116772546298127,0.000400084236609468,0.00169588021094409,-0.000203400911779192,0.000481906099790891,0.00114897315760243,0.00145718756060894,-0.000305189366255436,0.000319486071359339,0.000281133878035456
"T+16",0.00119880308383876,0.00103449249302841,0.00165982016019046,-0.000204121998805261,0.000481906116708255,0.00115958837717829,0.00145718806020391,-0.000306440525169073,0.000319487061716443,0.000281133706988763
"T+17",0.00117458572931094,0.000488787313689642,0.00162704462324938,-0.000203712613401109,0.000481906093204857,0.00115064749001935,0.00145718789668256,-0.000305730596047639,0.000319486517374261,0.000281133724433853
"T+18",0.00119345719514854,0.000958191896188337,0.00159725443162941,-0.000203945035290664,0.000481906095449396,0.00115817813624081,0.00145718794999777,-0.000306133422061158,0.000319486474789438,0.000281133735659004
"T+19",0.00117875153345248,0.000554419547289441,0.00157017766646917,-0.000203813081551727,0.000481906097130217,0.00115183529447302,0.00145718793267301,-0.000305904851641564,0.0003194865607033,0.000281133729154892
"T+20",0.0011902109763903,0.000901736373356759,0.0015455671765168,-0.000203887996135947,0.000481906096670603,0.00115717768349357,0.00145718793828614,-0.000306034546435247,0.000319486551102511,0.00028113373062684
"T+21",0.00118128116179513,0.000602981448710802,0.00152319832218313,-0.000203845464601986,0.000481906096597605,0.00115267794638964,0.00145718793647223,-0.000305960955375047,0.000319486540527781,0.00028113373072045
