"","HD","WMT","PFE","UNH","PG","VZ","GS","CAT","CVX","MRK"
"T+1",-0.000720273949247039,0.00330976769131381,0.00177518343062365,0.002827415278155,-0.00060258889890976,-0.00368024660373053,-0.00143162098701374,-0.000419802880222482,-0.00178100811559565,0.00218744760084461
"T+2",0.000210873542485067,-0.00370556539385196,0.00246977617146126,0.00277559821043645,-0.00140814670548929,-0.000395824892194107,-0.00245802525231297,-0.00275479038681353,-0.000885259715141141,0.00146220450093938
"T+3",0.000670634387592942,0.00131603754698802,0.000597305863462956,0.00263768198785081,0.0025970854776878,0.00168368642160404,-0.000306711000617987,0.000145969894442719,0.000407077893057926,0.00139121523025421
"T+4",0.000353586135938273,0.000847516449880966,0.00110887920711906,0.00250695373786628,-0.000526454322299937,-0.000132327280224085,-0.00138623201330535,-0.00101478537606924,0.000151618131288037,0.00136493949477317
"T+5",0.00045067809841838,-0.000211323274772654,0.000865662455470877,0.00238530743622335,0.00137117748045344,0.000588771667480625,-0.000713303402020035,-0.000702113820584418,7.36682200315524e-05,0.00134700186422247
"T+6",0.000440386497706226,0.000379216946668754,0.000958015484707627,0.00227217328564469,0.000328346197701262,0.000475528498643163,-0.00111180527632885,-0.000757048777507626,0.000106684796757429,0.0013338336567915
"T+7",0.000434474625093043,0.00038315573162599,0.00091993735622731,0.00216695733045829,0.000872557674473335,0.000417121390538278,-0.000873117817351023,-0.000755791350081479,0.000108972731577349,0.00132411051768708
"T+8",0.0004383659227901,0.00023230524455043,0.000935149976403852,0.00206910542674694,0.000596929820019046,0.000471797108356554,-0.00101571706948557,-0.000752131545065894,0.000105772960785847,0.00131692796274321
"T+9",0.000437203933685872,0.000298591580105649,0.000928999697042825,0.00197810216674048,0.000733969702280606,0.000449352153518213,-0.000930474942934377,-0.00075392055014848,0.000106011597698943,0.00131162197676054
"T+10",0.000437316415430875,0.000307112478233207,0.000931474997407169,0.0018934682146732,0.000666639665888163,0.000453200251025409,-0.000981423901647927,-0.000753376038702412,0.000106258591353924,0.00130770226295212
"T+11",0.000437392150638431,0.000286576758066254,0.000930477063640671,0.00181475778339929,0.000699461956123072,0.000454825158096307,-0.000950970983296509,-0.000753489650854273,0.000106203872224173,0.00130480663537087
"T+12",0.000437344436005308,0.000293584613766352,0.00093087912747624,0.00174155628636418,0.000683545367848926,0.000453182122629348,-0.000969173008115258,-0.000753479165558442,0.000106189782452337,0.00130266753552212
"T+13",0.000437358326290537,0.00029564369846488,0.000930717097823547,0.00167347815387964,0.000691236452775179,0.000453879373462414,-0.000958293453423788,-0.000753475241774874,0.000106196497181962,0.00130108730876996
"T+14",0.000437357113897926,0.00029295605292277,0.000930782388893106,0.00161016480223657,0.000687529030016117,0.000453750138623978,-0.000964796283340196,-0.00075347786523146,0.00010619680835549,0.00129991994082783
"T+15",0.000437356146936414,0.000293634911229069,0.000930756078442408,0.00155128274495938,0.000689313192662222,0.000453705450506502,-0.00096090946984194,-0.000753476955332712,0.000106196178732965,0.00129905756591205
"T+16",0.00043735673146142,0.00029401068407748,0.000930766680667706,0.00149652183625342,0.000688455562917738,0.000453754728023257,-0.000963232661300913,-0.000753477173441775,0.00010619623784273,0.00129842049985212
"T+17",0.000437356565620295,0.00029367169436324,0.000930762408306607,0.00144559363739336,0.000688867492009984,0.000453733109111072,-0.000961844064040597,-0.000753477142856336,0.000106196284777987,0.00129794987720611
"T+18",0.000437356578458249,0.00029372801560999,0.00093076412992958,0.00139822989744783,0.000688669745745384,0.000453737407410935,-0.000962674043998687,-0.000753477140157434,0.000106196273176876,0.00129760221204411
"T+19",0.000437356590766422,0.0002937884805634,0.000930763436170854,0.001354181140338,0.000688764637903463,0.000453738619063636,-0.000962177955787478,-0.000753477143766408,0.000106196270664368,0.00129734537981154
"T+20",0.000437356583612331,0.000293747293184438,0.000930763715733247,0.00131321535078776,0.00068871911405331,0.000453737144144885,-0.000962474473204425,-0.000753477142306341,0.000106196272022899,0.00129715564899323
"T+21",0.000437356585589869,0.000293750397556561,0.000930763603078607,0.00127511675224411,0.000688740949854295,0.0004537378132236,-0.000962297241461023,-0.000753477142702708,0.000106196272056297,0.00129701548830134
