"","CSCO","XOM","PG","PFE","WMT","MRK","VZ","CVX","MCD","KO"
"T+1",-0.00143518982370055,0.00345366804116999,-0.00222549038840971,0.00121004252913912,0.000193633757746946,-0.000225164522452142,-0.002956933061241,0.00759549915213387,-0.000927040050787568,0.00184628783207064
"T+2",-0.00052340810430349,-0.00201111236423083,-0.000621413079968384,-0.000828569002755829,0.00088297855668394,0.000696099708990238,0.00238285576659446,-0.00114018661720237,-0.000397749196244969,0.0025913194695394
"T+3",-0.000241154271087374,0.000683006233199828,-0.000503906826629139,-0.000562708150588121,0.000768173977369738,0.000586470210502103,-0.00082364713963443,0.00204609706722398,7.69119311767116e-05,0.00237655405788688
"T+4",-0.000403578633707924,-0.00126450486531607,-0.000319020545459287,-0.000800940907579124,0.000754311054522176,0.000545036356121893,0.00134648834858878,-0.00134191594651605,0.000236123169819683,0.00231963545781428
"T+5",-0.000353689739165512,4.83256349096607e-05,-0.00017207213603167,-0.000737319039869301,0.000729515610181536,0.00050398487987359,-0.000202135480424649,0.00116504552872749,0.000281206295425189,0.00224291254125485
"T+6",-0.00036492340597376,-0.000846595793503617,-4.98036669341617e-05,-0.000770364880446208,0.000707520950746567,0.000467038463447252,0.000926121735605151,-0.000874950979882836,0.000293277769521024,0.00217427051092683
"T+7",-0.000363112967808051,-0.000237665880788067,5.1517897850991e-05,-0.000758972216345795,0.000686551536905191,0.000433578018414656,9.77635622075534e-05,0.000740183774262902,0.00029644135618415,0.00210900054313542
"T+8",-0.000363232277153263,-0.000652122620411657,0.000135510778020044,-0.000763966680038081,0.000666751628508215,0.000403287490591566,0.000707650167632988,-0.000548474251238969,0.000297263259801082,0.00204758172305265
"T+9",-0.000363282207020763,-0.000370044132881341,0.00020513650177288,-0.000762074219655195,0.000648032482084588,0.000375865786674893,0.000258158052634966,0.000477454705113654,0.000297476024048483,0.0019896854332957
"T+10",-0.000363255741879696,-0.000562027752856616,0.00026285275531942,-0.000762856352652824,0.000630338012974356,0.000351041247824011,0.000589559725422159,-0.000339815014873443,0.000297531019129808,0.00193512575818024
"T+11",-0.00036326365791304,-0.000431363188981362,0.00031069664071999,-0.000762549589394071,0.000613611771731571,0.000328567888325302,0.000345191401873006,0.000311119854251172,0.000297545225256335,0.00188370785008725
"T+12",-0.000363261912841932,-0.000520293858523973,0.000350356827858721,-0.000762673735211095,0.000597800822016071,0.0003082230236856,0.000525391861751782,-0.000207359141916481,0.000297548893961555,0.00183525119884321
"T+13",-0.000363262185108119,-0.000459767396891295,0.000383233138549949,-0.000762624431182522,0.000582855071868259,0.000289805060074917,0.000392507348034407,0.000205611057915916,0.000297549841292684,0.00178958519559736
"T+14",-0.000363262170172275,-0.000500961875660715,0.000410485955110076,-0.000762644234431196,0.000568727176909156,0.000273131497013274,0.000490500459876507,-0.000123322348051299,0.000297550085900641,0.00174654913544335
"T+15",-0.000363262161457785,-0.000472924798426273,0.000433077176413023,-0.000762636334090724,0.000555372382720155,0.000258037118989307,0.00041823717473123,0.000138674920063466,0.000297550149059003,0.00170599155615241
"T+16",-0.000363262165758899,-0.000492006911453314,0.000451804168495963,-0.000762639498712741,0.000542748384013974,0.000244372358368674,0.000471526497880984,-7.00074121272463e-05,0.00029755016536651,0.00166776972030139
"T+17",-0.000363262164504782,-0.000479019572062583,0.000467327907906578,-0.00076263823415873,0.000530815190503443,0.000232001813353654,0.000432229186884968,9.620925176963e-05,0.000297550169577099,0.00163174911051608
"T+18",-0.0003632621647754,-0.000487858791503935,0.000480196311130191,-0.000762638740203933,0.000519535000234721,0.000220802906309679,0.00046120832797072,-3.61832692902742e-05,0.000297550170664269,0.00159780295643505
"T+19",-0.000363262164734611,-0.000481842794078928,0.000490863573517516,-0.000762638537874401,0.000508872079836549,0.000210664669164322,0.000439838146942316,6.92681282746292e-05,0.000297550170944975,0.00156581178849541
"T+20",-0.000363262164736353,-0.000485937298719053,0.00049970620028812,-0.000762638618813519,0.000498792651324336,0.000201486643843468,0.00045559722834781,-1.47245110527635e-05,0.000297550171017453,0.00153566301748313
"T+21",-0.000363262164737857,-0.00048315056743185,0.00050703629543016,-0.000762638586445205,0.000489264785098286,0.000193177886849277,0.000443975958147081,5.21761049658661e-05,0.000297550171036166,0.0015072505382868
