"","MMM","AA","AXP","BA","CAT","C","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ"
"T+1",-0.0046981674853187,-0.0061628661705793,-0.0113664419537676,-0.00359632538550288,-0.0103069639631737,-0.0049711153969219,-0.00263370031514169,-0.0078572714187643,0.00201263256545087,-0.0102888256319705,-0.0021296249297355,0.000457340873580177,-0.0090110895297275,-0.000416686962134892,-0.00510550960854147,-0.00733192622847299,0.00354849282985719,-0.00723494721140034,-0.00500586118264673,-0.0018763678873268,-0.00247928272080638,-0.00375477246907989,0.00304151274366293,-0.0058390967037065,-0.025198301534237,-0.00150779860871885,-0.00813414710183136,0.00123989845760132,-0.00197136234426089
"T+2",-0.000471047242853253,-0.00906601215156429,-0.00479439279878603,0.000100675827364459,-0.00754563477437349,-0.00610135137083014,-0.00123253075126282,0.0203026545925263,0.00203320483763214,-0.00462575928527262,-0.000372400194385469,0.000517939342252195,-0.00108970958421736,0.000935696354460199,-0.00240609678989288,-0.00504526449102095,0.00347278231709587,-0.0022485488265074,-0.00120020225719606,-0.000836338395363501,0.00435523463757295,-1.67365386037231e-05,-0.000474752220865445,-0.00226380509263793,-0.00883533623932757,-0.00355701917079563,-0.0114902055964883,0.00046181166290725,0.000137416958829819
"T+3",-7.80936239903732e-05,-0.005752322459712,-0.00239405324925335,-0.00292570499113224,0.00125595831079467,-0.00597684051077257,-0.000225285985837393,0.0152531101604672,-0.00234766082888082,-0.0010824916607698,-0.000144261049367542,0.000311985590847248,0.000828375892415496,-0.000159386422614255,0.00109041213790922,-0.00428769946004087,-0.00068659962025389,-0.000892540344013572,-0.00202843252339387,-0.00174090224577039,-0.001718750792199,-0.00144850282876326,-0.00198729857574656,-0.000660286397721661,0.0059320117946622,-0.00191493433319698,-0.0065911464101543,-0.00162478959134676,0.000175492998720803
"T+4",-0.00100534432157862,-0.00402561104091508,-0.00395220694366798,-0.00132025713191307,-0.0035618822856438,-0.00597964767741285,-0.000909209085457736,0.0155930314199856,-0.00127775358666458,-0.00240318212812063,-0.000135646805309138,0.000398265185196667,-0.00200379648316039,7.31058114249264e-05,-0.000845290348752764,-0.00384665610145291,-0.00122212115226787,-0.00207892020527032,-0.0023211794713286,-0.00169607514631775,-0.00116754338164208,-0.0014006957842631,-0.0012339048362839,-0.000193080184435974,-0.000346090959605209,-0.00152656312200612,-0.0109720553258499,-0.000575382231202738,-0.000169106866745635
"T+5",-0.000902024404687472,-0.00372427488616458,-0.00404837626082957,-0.00208678798193804,-0.00254217495278734,-0.00597826996039815,-0.000751434108093331,0.0150721863694499,-0.000860412950546256,-0.00250377592738476,-0.000145066651835389,0.000388525680851506,-0.000494538615516556,9.42204650390135e-05,-0.000530363408097144,-0.0035787821280969,-0.000583884749756785,-0.00186477334427078,-0.00203060665270105,-0.00153820264597319,-2.01188719646468e-05,-0.00117259890544333,-0.000821206917400301,-8.15754953557332e-05,-0.0032410508354016,-0.00200179930094705,-0.0071472687859095,-0.000840504503292586,8.38691191518566e-06
"T+6",-0.000735891569850565,-0.00381407850271194,-0.00377081309816743,-0.00173362980486604,-0.00229454507059976,-0.00597817228636143,-0.000717142866055737,0.0147023145572793,-0.00112856975097386,-0.00234465849252234,-0.000150311489699026,0.000380407755463533,-0.000943497118704532,6.71843092605525e-05,-0.000374367068251169,-0.00341571582737386,-0.000408467661276753,-0.00176777936234254,-0.00211689666283135,-0.00158850579246356,-0.000528748482678608,-0.00129327665914321,-0.000977035213825798,-5.86670621915641e-05,-0.00122391548325857,-0.0020596168822141,-0.0104814570732943,-0.000828880856922376,-3.30503975956521e-05
"T+7",-0.000789335215562626,-0.00388848079810906,-0.00380874621628701,-0.00189419065724542,-0.00257783859547077,-0.00597814443349024,-0.000757657833000706,0.0143193066290225,-0.00112760858636976,-0.00236675316089536,-0.000152375452371473,0.000385582127037679,-0.000940837640824992,7.39948201047645e-05,-0.000490216157772219,-0.00331643865524754,-0.000494107416216353,-0.0018321078372596,-0.00212819220011965,-0.00160478753384916,-0.000608863706771884,-0.00127396300144461,-0.00108650053758746,-5.46406617544023e-05,-0.000767538246462751,-0.00192733195020867,-0.00757522284796119,-0.000806165057555086,-3.8302427944148e-05
"T+8",-0.000812231719857955,-0.003908033974652,-0.00384749497291556,-0.0018215652880057,-0.0024755461266134,-0.00597814040912982,-0.000744338806634177,0.0139494535260287,-0.00108625637584376,-0.00237890476299662,-0.000153095034358532,0.000384378931617827,-0.000854474750278582,7.41735008917637e-05,-0.000463292500096936,-0.003255996872507,-0.000535293978675337,-0.00182387702191609,-0.00210712963810956,-0.00159102651018268,-0.000470124035173405,-0.00126226096203037,-0.00105579123916364,-5.40780566762269e-05,-0.00134867802177445,-0.00192464718164859,-0.0101084164051379,-0.000817923647127437,-2.9134731312602e-05
"T+9",-0.000796983024470382,-0.00390687381515737,-0.00383366624090702,-0.00185434993338842,-0.00248207447409057,-0.00597813964528742,-0.000744139734698494,0.0135882236418401,-0.00109653470827466,-0.00237409516563878,-0.000153331731310676,0.000384178076646414,-0.000912501234410004,7.35222771051623e-05,-0.000457481865387942,-0.00321919878283874,-0.000526129707412181,-0.00181745085741231,-0.00211518387997469,-0.00159162214732223,-0.000499400492813818,-0.00127141536084483,-0.00102742682029545,-5.40356196621113e-05,-0.00138343175632473,-0.00196017891750955,-0.00790038136537759,-0.000814882519010143,-3.32047674125275e-05
"T+10",-0.000795377540837935,-0.00390397093497995,-0.00382991418635217,-0.00183956181343808,-0.00249486564471729,-0.00597813951706053,-0.000746316550630202,0.0132360829847582,-0.00110043021234631,-0.00237380768325548,-0.000153407140003465,0.000384446812256978,-0.000890818154793419,7.37150990924693e-05,-0.000464100566601929,-0.0031967954160832,-0.00051790232040857,-0.00182085464915476,-0.00211513961253426,-0.0015940467453335,-0.000519972934065905,-0.0012689659044853,-0.00103305004647327,-5.40437650532984e-05,-0.00122967576234946,-0.00195747496085937,-0.00982499490158294,-0.000815045402802018,-3.24492752171626e-05
"T+11",-0.000798759418120678,-0.0039029174670321,-0.0038329405685274,-0.0018462302195847,-0.00248746947062391,-0.00597813949436335,-0.000745343682187296,0.0128926950175217,-0.00109788196813213,-0.00237437096946135,-0.000153430715704402,0.000384352040775619,-0.000893864748201863,7.37101939164187e-05,-0.000462092089435746,-0.00318315582644824,-0.000518379304839838,-0.00182060554091787,-0.00211370056104647,-0.00159329161151121,-0.000506595442564132,-0.00126856273721675,-0.00104025244826707,-5.4048794112798e-05,-0.0012425056428241,-0.00194826079173145,-0.00814742312810829,-0.000815292273253388,-3.22252553002254e-05
"T+12",-0.000798417234404914,-0.00390284287950407,-0.00383297614661546,-0.00184322359853571,-0.00248914792465529,-0.00597813949043841,-0.000745451642112422,0.0125578596515465,-0.00109790202102109,-0.00237428555707189,-0.000153438001580707,0.000384356522213277,-0.000896092725464002,7.36949449394286e-05,-0.00046196541725447,-0.0031748517886021,-0.000519844316134811,-0.00182020117509568,-0.00211439879621902,-0.00159303693525235,-0.000506597459362287,-0.00126919167268631,-0.00103934954777471,-5.40503938393457e-05,-0.00128007298503887,-0.00194986863356238,-0.00960966321003378,-0.0008151606081082,-3.24606473117928e-05
