"","MMM","AA","AXP","BA","CAT","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ","CSCO","TRV"
"T+1",0.000250250701626934,-0.00155700508112725,0.000620587740318227,0.00105332652768696,0.00167327167644385,0.00171348831991943,0.00211519731740575,0.000962203723634332,-0.000560952290689598,0.000474521171826459,0.00351951327254343,-0.000111854955735063,-0.00168761294626954,0.000830973194555107,-0.00143621688896401,0.000829424783082124,-0.000986956710264312,-0.00393593732407167,0.00122979130327942,0.000856449187563588,0.00102750269075468,0.00102820820522728,0.00231390896268542,0.00287900874364252,0.00354611679894044,-0.000682569076205871,0.000833080212319439,0.00113216876910302,-0.000600347683716325,0.000735088849565352
"T+2",0.000588126266002877,0.00215765958592409,0.000297378920371996,0.000960054240988677,0.00299339992977444,0.00109055744814988,0.0024554504823941,-0.000251497962637213,0.000684134434753748,0.00110876499688079,0.0018701009150908,0.000720118883235271,0.00227001011806314,0.000557290301587531,-0.000835895344932619,0.000772461847667052,4.56299776846003e-07,-0.000526228618520224,-0.00102069202168892,0.000809176902786125,0.00114315253035309,0.00123154071460526,0.00051950426624226,0.00268015754360074,0.00191320064907582,0.000325288888517663,0.00238985715235334,0.000519212532262516,0.00187399176839778,-0.00032318447395518
"T+3",0.00067561240445842,-0.000109081986914226,0.000759980247537251,0.000948005806294208,0.00271706966510123,0.00104878298659864,0.00134087267663962,0.0022099733432703,0.000805958512846274,0.00110864237639897,0.00126219709580154,0.000623747670715381,0.000760918805805812,0.000139534471693954,-0.000848973664286157,0.00119798942586721,-0.000355844120146058,-0.000150167018764078,0.00145341734674035,0.000793052108541279,0.000999954271478166,0.0013428519758325,0.000359005135788713,0.00236864111761106,0.00117129314543002,-0.000339180407642063,0.0019171306455532,0.00117557892276141,0.00165136993904565,0.00228346263008158
"T+4",0.000554364815835844,0.0015161203315345,0.000901765092900643,0.000938881114804621,0.00274168305720723,0.00104834809046114,0.00238303486553932,0.00158827591030974,0.000962663201213842,0.00112337898991328,0.00122888785886611,0.000680146204808698,0.00129063399574493,0.000126457989543954,-0.000828239309828351,0.000798003783418627,-0.000283494541182877,0.000309682533311309,-0.000708204625862952,0.000777318673163986,0.00114048567410192,0.00139931305885642,0.000598724713280397,0.00213019888266361,0.00105137608438481,-0.000128361002750716,0.00192895917321784,0.000540214044362905,0.00181186402239514,-0.000118675341786237
"T+5",0.000675095639267847,0.00034386008234846,0.000972897612964297,0.000930094337810939,0.00273516463297766,0.00104996591098251,0.0013431178062953,0.00152210417177074,0.000951876779731371,0.00112525016450545,0.00127104702280594,0.000668709392857649,0.00110303930299535,0.00015941897538485,-0.000809821862064245,0.00114313645215302,-0.000317301320894718,0.000450384935670863,0.00112512604984685,0.000762017654408672,0.00100289596426961,0.00142802341479763,0.000481197700878092,0.00195787705327768,0.00106976014088397,-0.000208957628253515,0.00191092891963765,0.00114994855966693,0.00184437494184214,0.00175049002558375
"T+6",0.000557784986022166,0.00118958636988936,0.00100413479264261,0.000921553617841053,0.00273556735942178,0.00105111181730374,0.00237503947964329,0.00160658853954741,0.000976311223981391,0.00112583088472184,0.00128590991314236,0.000673064211809391,0.00116940939493788,0.000163278136767996,-0.000791694726797028,0.000848055220943153,-0.000313054761481311,0.000531756664352882,-0.000422886901009181,0.000747137080450889,0.00113760194616033,0.00144262135272147,0.000525182858543739,0.00183419147532115,0.00108540388797427,-0.000179863814330044,0.00190943610957097,0.00056527107812586,0.00187047872903883,0.000374989115162078
"T+7",0.000671523966731566,0.00057943350092971,0.00101828933330218,0.000913249425846267,0.00273540628012524,0.00105183492873558,0.00135057763785624,0.00158778923943506,0.000970355330598819,0.00112594825641327,0.00128656860342594,0.000671960440339779,0.00114592543652749,0.000160917075301104,-0.000773962066925275,0.00110008205268964,-0.000316621040745271,0.000564896417931405,0.000883328306371285,0.000732665398366251,0.00100571929277871,0.00145004377531202,0.000511075899719314,0.00174549032737867,0.00108920040861328,-0.000190544880257421,0.00190853532858263,0.00112588087591752,0.00188229054901508,0.00136578248728
"T+8",0.000561269674683049,0.00101963101824854,0.00102465415908497,0.00090517512444713,0.00273541063167087,0.00105228549363279,0.00236759430490131,0.00158474708685804,0.000974936337047294,0.00112597668961811,0.0012854934006421,0.000672320621472213,0.00115423474723853,0.000160402302010488,-0.000756609261294842,0.000884853042235079,-0.000316588465982784,0.000581068108878917,-0.000218743801279197,0.000718591372528481,0.00113483779188508,0.00145381775709931,0.000515067566613823,0.00168188498349562,0.00108923822064857,-0.000186643289272799,0.00190837555680446,0.000588351579827159,0.00188871692948347,0.0006582476295711
"T+9",0.000668144130086492,0.000702048547229338,0.00102752154200649,0.00089732434656241,0.00273540642089326,0.00105256581833593,0.00135796545401872,0.00158761793550697,0.000973255203218658,0.00112598303542307,0.00128513056289642,0.000672220611861211,0.00115129466642815,0.000160551235837904,-0.000739628510174911,0.0010686545294974,-0.000317021567543143,0.000588229614295904,0.000711075220606393,0.000704904076046719,0.00100842551260996,0.00145573666408727,0.000514078736362733,0.00163627580264532,0.00108895092943584,-0.000188070600093056,0.00190832121591573,0.00110375029594312,0.00189198636071898,0.00116170250446724
"T+10",0.00056454607046518,0.000931169843825448,0.00102881272667379,0.000889690904223571,0.00273540636633591,0.00105274019504038,0.00236025988611354,0.00158706131444913,0.000974215894776607,0.00112598450374953,0.00128511839220284,0.000672251347078738,0.00115233495415062,0.000160605835756369,-0.000723011817667091,0.000911691789190561,-0.000317076890508747,0.000591567301654479,-7.34118557329255e-05,0.000691592882281756,0.00113218829224357,0.00145671234553874,0.000514281608353406,0.00160357109802525,0.00108885154373412,-0.000187548682273805,0.00190830872720705,0.000609571050532941,0.00189368928714129,0.000803996180180636
