"","MMM","AXP","BA","CAT","KO","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PG","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","WMT","WBA","DOW","AMGN","HON","CRM"
"T+1",0.00184131829038514,0.00160574956964666,-0.00358237333895331,0.00296467785921789,0.00184125135081811,0.0017550136504481,0.00110800982327612,0.00311210038285517,0.000197907101439644,0.00384369967248372,0.00228403826360324,-0.00246042396549102,-0.00110407609581153,0.00202056543890303,0.000641331126347306,0.00316858583884236,0.000450553390060136,0.00171440812276497,0.00286935862613859,0.00183221818962684,0.00190560089743064,0.00544535146963346,0.000855930662860673,-0.000819525903987969,-0.000380719293533933,-0.000347601670571733,0.00457041238683766,-0.00142601799704851,0.00191465966109626,0.00314684300398575
"T+2",0.00168892072807478,0.000781040660809525,-0.0021907097762816,0.00333832503221044,0.000560814467003096,0.00256749403425922,0.001769630304968,6.34905483990302e-05,0.000773517614894137,0.000615309067917155,0.000113444760074187,-0.000160340132652039,0.00272868018439201,0.00150015864688086,-4.56131661518973e-05,0.00223956602793878,0.000243628242687246,0.00103306882271018,0.000600835854796705,0.00190318902032133,0.00156577990311292,-0.00125235629071737,0.00215583326512669,0.00187397648883579,-0.000315708554198253,-0.00265114510701252,0.00378151092353978,0.000683181346711897,0.00138073952636728,0.000159625846655516
"T+3",0.00200793345650319,0.00152315307038569,-0.000964797932093754,0.00191070643390558,0.00123652829870312,0.00180743560856836,0.0017049630548363,0.00206993541832123,0.00126302377261607,0.00254127460276243,0.000982182085499967,-0.000721227597344865,0.00188113880968424,0.00152271695883963,3.88392260772449e-05,0.0019391907477532,0.000195532455571601,0.0016320065223015,0.00212481485526518,0.00169736103839293,0.00155269646612116,0.00439222064781649,0.000752605582685775,0.00150511900760734,-0.000293368187545555,-0.00232601520549892,0.00367208982431271,1.05072301966769e-05,0.00179231354427333,0.00354974436569604
"T+4",0.00178998530748174,0.00109960220077952,-0.000804338319829302,0.00344304623133633,0.00106176588250043,0.00246550738169087,0.00177189087007466,0.000184835728290596,0.00127351703760463,0.00189207445795285,0.000598663864218565,-0.000433957525672991,0.0020434396927828,0.00145094321187011,5.28233944518087e-05,0.00170969848877457,0.000248366465310354,0.00110857519445006,0.00163331770856669,0.00157743194898027,0.00158247133483711,0.000939656438764455,0.0019322721339665,0.00156046265472647,-0.0002717169649308,-0.00187955447485702,0.00355367094416435,0.00047172709519778,0.00168736995037792,0.000426990353363771
"T+5",0.00194277068089055,0.0013474378354185,-0.000852033209346511,0.00192577239442358,0.0011223271824061,0.00189837656763231,0.00179252734945107,0.00203440323118247,0.00133826747651603,0.00216446160778861,0.000781298565084568,-0.000509007024594139,0.00198836999791443,0.00140815561657396,7.02955829501224e-05,0.00154893693934408,0.000196564503639272,0.00156602483629593,0.00181872776141632,0.00151799169705797,0.00157001553123388,0.00324005621375271,0.000974211699830547,0.00155699124363604,-0.000252074952306857,-0.00149929449265899,0.00345230349962994,0.000222278664322008,0.00172696534140616,0.00325464695972301
"T+6",0.00183576828298625,0.0012026600010675,-0.00087240063326634,0.00341338221452744,0.00110398876135762,0.00238699170060191,0.0018114850328333,0.000212056892970148,0.0013307783262242,0.00206033245781711,0.000689833303512169,-0.000472962359300406,0.00198059639628818,0.00136849930954066,8.51261993521781e-05,0.0014356428105857,0.0002472259952018,0.00116623950076567,0.00175161572918264,0.00148928797211045,0.00157351722978352,0.00174490032695964,0.00174795363174273,0.0015616207872954,-0.000234210045652429,-0.00118673423600287,0.00336464133327706,0.000365602184678103,0.00171437224003653,0.000698253581931114
"T+7",0.00191070947462797,0.00128724391237202,-0.000873449149987029,0.00195670567690588,0.00110988249118651,0.00196602993854659,0.00182297824244549,0.00200829518109987,0.00134056461087508,0.00210168695390707,0.000737044548677742,-0.000482924875270157,0.00196302909960358,0.00133568543083682,9.81430243152792e-05,0.00135583509828946,0.000197682835176066,0.00151562946611739,0.00177616273563364,0.00147549139168128,0.00157282008249818,0.00272355497617387,0.00112364947573736,0.00156508148923888,-0.000217963121604103,-0.000930707404287519,0.00328886889336839,0.000284596705975512,0.0017186672312488,0.00300906443154499
"T+8",0.00185822303508747,0.00123782760005761,-0.000872324199380536,0.00338285795941719,0.0011080384901423,0.00232870516039177,0.00183088075811831,0.000237724748477674,0.00133820552231858,0.00208552198082584,0.000712258219844239,-0.000478384115420983,0.00194797235755493,0.00130782753667328,0.000109529289402344,0.00129961445808002,0.000246132281598073,0.00121028222838906,0.00176720827568469,0.00146886563760041,0.00157288701341367,0.00208426443490248,0.0016272998895416,0.0015686580792564,-0.000203187583084668,-0.000721060670941967,0.00322337200303225,0.00033058223545054,0.00171724485557645,0.00092027291320245
"T+9",0.00189498287847305,0.00126669802044355,-0.0008720238915458,0.00198662000265815,0.00110862239162292,0.00201624612274547,0.00183609084751788,0.0019830002537438,0.00133985343875738,0.00209188233404464,0.000725391673418807,-0.000479698496123004,0.00193276424294999,0.00128431872721114,0.000119492610342181,0.001260009847655,0.000198752405577379,0.00147713859186378,0.00177047697514308,0.00146568414025909,0.0015729059715171,0.00250211057125116,0.00122099599908392,0.0015721730918186,-0.000189750177799918,-0.000549397995047773,0.00316675725324999,0.000304507803959746,0.0017177217083557,0.00280837394558291
"T+10",0.00186923744603045,0.00124983109718928,-0.000872036187723647,0.00335356733650119,0.00110843849142723,0.00228544193178907,0.00183957296890797,0.000262657734666246,0.00133930771419226,0.00208938657032486,0.000718398550738254,-0.000479124499217219,0.00191797078460393,0.00126445234284114,0.000128210518813686,0.00123211038917537,0.000245086323005375,0.0012439210941168,0.00176928398881188,0.00146415651990917,0.00157289274809242,0.00222904724779392,0.00154876728359628,0.00157565162334098,-0.000177529718848853,-0.000408837855632546,0.0031178201196937,0.00031929705609105,0.00171756265973605,0.00110168132226873
