"","MMM","AA","AXP","BA","CAT","C","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ"
"T+1",-0.00426689632281994,-0.00644416732512794,-0.0113604341583479,-0.00254052562548768,-0.00345904830422164,-0.00490867285495477,-0.00554241067994181,-0.010917128594451,-0.00560474359200316,-0.00605056533836285,-0.000332231366101022,0.00396755038504213,-0.00315780109148574,-0.00283910009016564,-0.00291480579338545,-0.00774207717342119,-0.00296279162062755,-0.00327438178260406,-0.00633043230976054,-0.00759466329857064,-0.00416532010565182,-0.00412315827980986,-0.00357869409827224,-0.00155395196697295,-0.00250903694381607,-0.00862353045924395,-0.00621844303521256,-0.00495196737428336,-0.00392742620464285
"T+2",-0.0019233898198914,-0.00827187644245346,-0.00468362579843869,-0.00184960845114818,-0.00666485559630717,-0.00489250428433701,-0.00320416816126423,-0.00429435869385348,0.000674022524507106,-0.00361301314241636,0.001227684819967,-0.00240512267530315,0.000912307559256149,-0.000410981535028077,-0.000141391969658819,-0.0047094221230983,-0.00247395986882221,-0.00367689901912713,-0.00131385097392845,-0.00610597708965165,0.00342602148948571,0.00117857408415131,-0.00159597552927059,-0.00102637234367121,-0.00160557121955919,-0.00296099546121894,-0.00773728195530839,-0.00105202442475789,0.000596191792761163
"T+3",0.000182673127351151,-0.00694496926342129,-0.00159267572828645,-0.00151166138497688,-0.00173665399759223,-0.00513888154967112,0.00273027590095887,-0.00423483321036615,-0.00142930931256741,-0.0016024408445448,-5.4936290089346e-05,0.00218996288958849,-0.00133686379699271,0.000763855571684746,0.00104707911529548,-0.00341264784113569,0.000666458596184344,0.000954236749782318,0.000627039148240434,0.00175023505998123,-0.00142647097601795,1.19004165588037e-05,-0.000746018855700219,-0.000402743405152782,0.000612165368348009,6.61896056831114e-05,-0.00670229680432397,-0.00186045449163548,0.000777340663052537
"T+4",-0.000648275394315498,-0.00590313417354698,-0.00292659060798214,-0.00190577308279463,-0.0034508772434242,-0.00510202237151066,-0.000783083378100341,-0.00450758567544931,-0.00167187031011623,-0.00191465609534251,-3.39944747164327e-05,0.00159841419846609,-0.000560227431672504,0.000161667481665202,-4.37683214169829e-05,-0.00252387097628129,0.000684526489566424,-0.00125156811381399,-0.00112863246873677,-0.000208714604982979,-0.00105560829955147,-0.000318688698956459,-0.0011146359193634,-0.000251466166299961,6.73839191073874e-05,-0.0016063227677683,-0.00748629822742517,-0.00173232682140557,-0.0001376819771071
"T+5",-0.000875281566460353,-0.00541447267672185,-0.00309150308192662,-0.00152873649293238,-0.00333311669047736,-0.00511076431852965,0.000296218097528286,-0.0044212099516479,-0.000999005222867848,-0.00205176995624778,0.000100710150107014,0.00110306676981824,-0.000659190222051174,0.000215061143560673,0.000289485591797754,-0.00194297467476945,0.000129218720794989,-0.000796044388270272,-0.000574755644179352,-0.00135735834315329,-0.000178023131089169,4.4618155835335e-05,-0.00132663675223866,-0.000256930276367911,-0.000278071748353489,-0.00215722134098755,-0.00689472297260333,-0.00171141010862946,0.000342278538456371
"T+6",-0.000679832408167782,-0.00523528980212064,-0.00289910177027666,-0.00188432557364714,-0.00316856982238217,-0.00510897641481171,0.000195775766727874,-0.00443884860720949,-0.00135916243984164,-0.00201913729990235,7.86624313895419e-05,0.0013604068785261,-0.000744851587001924,0.000262872530688013,0.000317867398338505,-0.00156181679105944,0.000107524424140036,-0.000722631537638688,-0.000566968136224978,-0.000724457763247992,-0.000614856613846337,-7.85129499018798e-05,-0.00126208083497845,-0.000271516643854426,-0.000113834901204286,-0.00169901767999816,-0.00734116210656668,-0.00176433120887899,0.000237997258199952
"T+7",-0.000675569941100335,-0.00518230307843671,-0.00291014909837548,-0.00154934978635102,-0.00325401622717659,-0.00510935799976212,0.000102254254310197,-0.00443642044125453,-0.00130098765423713,-0.00201047958415821,6.74325507415159e-05,0.00134824089913583,-0.000664340552773924,0.000243158151484223,0.000244049264982844,-0.00131180057606005,0.000205101128154192,-0.000819515747979801,-0.000659218913450497,-0.000629848444742919,-0.000622648778895932,-7.98032124733255e-05,-0.00121121934919209,-0.000275639793680252,-7.31694938503208e-05,-0.00161480744216602,-0.00700425323827535,-0.00170517946866413,0.000210090282221927
"T+8",-0.000712166041192877,-0.00517076950493882,-0.00293219831330741,-0.00186487768524381,-0.00323796870402501,-0.00510927758968676,0.000166316937342601,-0.00443653477150227,-0.00124805144046145,-0.00201354367453635,7.14514764586479e-05,0.00131339956117869,-0.000704179663228054,0.000243919673091343,0.000275910614379917,-0.00114780072420277,0.000212191446327656,-0.000782082022655625,-0.000615078613788038,-0.000775807915973349,-0.000526839189339045,-5.80823471368367e-05,-0.00122151358722474,-0.000275695947330762,-0.000112169115809399,-0.00173337937900415,-0.00725850425677581,-0.00176489695740877,0.000244476615090259
"T+9",-0.000705962758683404,-0.00516992652769166,-0.00292721895738726,-0.00156767084082535,-0.00323413781013309,-0.00510929459807549,0.000144628704549733,-0.00443659051857231,-0.00129553609985467,-0.00201402902179679,7.20671416681067e-05,0.00132704254956315,-0.000692111413287055,0.00024577544342831,0.000273172547782736,-0.0010402241458611,0.000195154806683696,-0.00078736058660361,-0.000622067067012265,-0.000763741889199894,-0.000564292316161439,-6.86071454854495e-05,-0.00123333337321586,-0.000275362892631551,-0.000113698974032851,-0.00174119010136634,-0.00706663165823709,-0.00170584817522226,0.000230234462003816
"T+10",-0.000700446546463091,-0.00517077842310888,-0.00292529999274662,-0.00184762026504931,-0.00323779691428281,-0.00510929100445951,0.000147540905998873,-0.00443656802440193,-0.00127899791249884,-0.0020137613311191,7.15449312545623e-05,0.00132769664738745,-0.000692668778882598,0.000245148555657213,0.000268842990264523,-0.000969658701233586,0.000193332245756722,-0.000789802859497307,-0.000625675501992759,-0.00073725228124266,-0.000569321650584916,-6.71193849791096e-05,-0.00123196500566833,-0.000275253358669615,-0.000105784024035869,-0.00171196473282558,-0.00721142987495492,-0.00176396974037219,0.000232027798852475
"T+11",-0.000702634900476882,-0.00517140789462822,-0.0029262315683495,-0.00158392621613222,-0.00323670617710692,-0.00510929176398711,0.000148939166375381,-0.00443657320270007,-0.00127755776974202,-0.0020137399838365,7.1555546296827e-05,0.00132540951109946,-0.000694694218226273,0.000245137378983898,0.000271499313420785,-0.000923370912844504,0.000196287326948508,-0.000787903567561895,-0.000622784683645806,-0.000745259596761413,-0.000559327071603506,-6.60533484431837e-05,-0.00122929359426676,-0.000275247236141831,-0.000106794323468036,-0.00171314134067548,-0.0071021567232689,-0.0017068190976556,0.000233584674813045
"T+12",-0.000703227199963625,-0.00517169715721198,-0.00292631701871868,-0.00183230876359291,-0.00323671542944442,-0.00510929160347309,0.00014778849551869,-0.00443657238027327,-0.00128255666438431,-0.00201376208380657,7.1610083375051e-05,0.00132608514904944,-0.000693148035604257,0.000245206812930874,0.000270944605592298,-0.000893008185475462,0.000196708379056785,-0.00078850294287491,-0.000623630801524548,-0.000748835846497734,-0.000562339982477737,-6.68354714588911e-05,-0.00122939445526887,-0.000275254627398819,-0.000108181914700863,-0.00172002124376913,-0.00718462059575338,-0.00176300221626895,0.000232390084371974
"T+13",-0.000702713528879442,-0.00517180170292451,-0.0029261875153796,-0.00159834864915038,-0.00323684833492089,-0.00510929163739615,0.000148216547176129,-0.004436572449453,-0.00127979125317514,-0.00201376239177673,7.16009275401628e-05,0.00132620258452765,-0.000693836855373943,0.000245187543274757,0.000270746990900838,-0.000873091588781943,0.000196199301691346,-0.000788465075670218,-0.000623676031071811,-0.000746485638800366,-0.000563229558243178,-6.66310677294359e-05,-0.00122998287748517,-0.000275257472996112,-0.000107753631028095,-0.001719021766874,-0.00712238856382045,-0.00170777306625772,0.000232779222685393
"T+14",-0.000702703115222763,-0.0051718321237133,-0.00292619811947538,-0.00181872377497172,-0.00323679009456939,-0.00510929163022691,0.000148143522781426,-0.0044365724584356,-0.00128027948148557,-0.00201376065612096,7.1596414694712e-05,0.00132606051468113,-0.00069365910680076,0.000245185892446276,0.000270945109085644,-0.000860027188504761,0.000196107811890054,-0.000788403207404612,-0.000623518707689372,-0.000746271438755427,-0.000562227592751289,-6.65982747102732e-05,-0.00123000427676579,-0.000275257739333608,-0.000107551965725938,-0.00171747753234719,-0.00716935247276409,-0.00176206382350295,0.000232776093541145
"T+15",-0.000702799144998837,-0.00517183854587626,-0.00292621244192647,-0.00161114481991613,-0.00323679842858989,-0.00510929163174205,0.000148124292841251,-0.00443657245286897,-0.00128065999606934,-0.00201376073825165,7.1598061510048e-05,0.001326090854732,-0.000693646851953211,0.000245188411752213,0.000270881322133361,-0.00085145752385629,0.000196194880276039,-0.000788438472067788,-0.000623588883794967,-0.00074678442237496,-0.00056244792105245,-6.6649496102656e-05,-0.00122987787923851,-0.000275257581058381,-0.000107669502253013,-0.0017178780734957,-0.00713391077698845,-0.00170869565197916,0.000232707861361997
