"","MMM","AA","AXP","BA","CAT","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ","CSCO","TRV"
"T+1",0.00478799512019948,-0.00157877459050598,0.00614284571018639,0.00286950835756879,0.00621648207090788,-0.000641530271047504,0.00907901343611539,0.00527022010580043,0.00242201121136511,0.00140570316878652,0.00198749936260812,0.00514058152659835,0.00478727193612354,0.0012944313418851,0.00860780706500959,0.00394305730268652,0.000562125580103608,0.0011430071214463,-0.00142883517428608,0.00160357994078947,0.00319614205986195,0.00204982435164557,-0.000136264110032905,-5.08131132734378e-05,0.00222306195407652,0.000954927377429915,0.00455653064817636,0.00548321170232308,0.00560422234270258,0.00235191027369061
"T+2",-0.000937829266042363,0.00403795949771319,-0.000430501867548619,0.00102858724368343,0.00148253320089159,0.00121638004227784,-0.00361777229174405,-0.00621056916869906,-0.00137783821473888,0.00339027219291129,0.00125846760416341,0.000770753239351895,-0.0031196136350819,-0.00109456475427039,-0.00379468855610096,-0.00147713300928448,0.000515056152251051,0.00138987066697997,0.000606101792212295,2.24427399374777e-05,8.92915523295287e-05,-0.00125778041840029,0.000212823380969561,0.00406467480073292,-0.00179905797404292,0.00250097214916817,-0.00252964185837941,-0.00233583385332832,-0.000860455741509592,0.000668340315642461
"T+3",0.00288901719058171,-0.00279551423540638,0.00389147371471662,0.00433299407653701,0.00269014350002192,-0.000556347475618907,0.00309379026289183,0.0028906461706977,0.00160757095323348,0.00164495506139093,0.00234970950098617,0.00146076774686082,0.00308073848213972,0.0017780093691746,0.00412988763512639,0.00204047308275281,0.000603971373126902,0.00110218140222132,0.000515252660158888,0.00118209422483338,0.00200813104655547,0.000981770514096312,-1.93535028739857e-05,0.000832112064823655,0.00177080521307158,0.00101713327837553,0.00376920279057087,0.00267359768715919,0.00249656447432388,0.000761791646432132
"T+4",0.000484430938130116,0.00384171479966146,0.000734769005685398,0.00151541053802636,0.00259589309480885,0.00112766465536395,0.00121550478743252,-0.00346444388236399,0.000684047076113155,0.00131464668859832,0.0013863416868407,0.00126883684989132,-0.00154127268112405,-0.000550743804274596,-0.00211610555060709,-0.000233094739915497,0.00068833306879662,0.00113750918513749,0.000282578019720661,0.000335880201616717,0.00117757398264724,-0.000565681865229211,6.31296156460703e-05,0.00202733438205736,-0.000956884845087601,0.00163096862067196,-0.00159396478212642,-0.00120239255940853,0.000713855595343254,0.000635244330094496
"T+5",0.00199766596550927,-0.00250160511833781,0.0030705114472694,0.004099853416516,0.00268280984956462,-0.000472102086798142,0.00210702679227703,0.00113664941006815,0.00116987468644664,0.00144214530087129,0.00224606536066004,0.00128152887040324,0.00192961878905744,0.00141167425785746,0.00314276987535936,0.00123680142716554,0.000756811098681032,0.00114046925878459,0.000214171639923951,0.000953362373548952,0.00157393055829204,0.000500347177406736,3.75363712831268e-05,0.00167352557878102,0.00114936937252359,0.00140068883093155,0.00299454397700519,0.00191383635772846,0.00166093011110609,0.000596364397689505
"T+6",0.00104540641554687,0.00355284803428348,0.00133962915820764,0.00175164461506873,0.00269942269028605,0.00104763365252016,0.00183531687751373,-0.00215923340337026,0.000985842116722883,0.0014828787316256,0.00147905154604754,0.00126935949189013,-0.000674005146846623,-0.000234714662789589,-0.001362340199211,0.000286508440176532,0.000811340993900292,0.00113903196536754,0.000214549614095494,0.000502785813496727,0.00139024873010795,-0.000234357105056191,4.51194135347302e-05,0.00176598517735072,-0.00047574526239969,0.00148547636542263,-0.000929050472106683,-0.000608627302721265,0.00115778753521052,0.000569489083345975
"T+7",0.00164465183774,-0.00222526765817391,0.00262250550051548,0.00388777244209915,0.00271255864022241,-0.000396074769027195,0.00195508936770725,0.000209048136867056,0.00107059205713609,0.00147501562168336,0.0021633580428747,0.00126775896763967,0.00127936818118085,0.00114723065976018,0.0025137162518356,0.000900876906556069,0.000854651298429765,0.00113915949812133,0.000221480507958999,0.000831571397335284,0.00147610704355668,0.000271966155897705,4.29122169556623e-05,0.00174395870055172,0.000778212081161901,0.00145437775246899,0.00242618985851396,0.00143559901501684,0.00142508697261676,0.000555584759351799
"T+8",0.00126755394800266,0.00328907406186667,0.00167165856776742,0.00194486679855258,0.00271799850965934,0.000975409728256882,0.00191634233475295,-0.00149115026569662,0.00103595316174938,0.00147067922823466,0.00155284062611843,0.00126647675533517,-0.000186118750627103,-1.26804030613996e-05,-0.000824654336401568,0.000503685106581043,0.00088903822410991,0.00113918149083206,0.000223749805115651,0.000591656653151947,0.00143607621520276,-7.69711001775136e-05,4.35500830509222e-05,0.00174878511251314,-0.000189351735267757,0.00146577508932717,-0.000443005323062042,-0.000221392579985239,0.00128308151962711,0.000547741084402668
"T+9",0.00150485708503394,-0.00197353124659122,0.00237641232923946,0.0037120621343801,0.00272084514778706,-0.000327463967163255,0.00193256951494433,-0.000270246420448725,0.00105116479813006,0.00147100475136095,0.0020975256754739,0.00126608060465705,0.0009133431068214,0.000960876412147457,0.00205136319764778,0.000760471278805989,0.000916338953744035,0.00113917463863164,0.000223815636871929,0.000766722371680588,0.00145475429813577,0.000163501828322128,4.33662837204046e-05,0.0017478185564185,0.000557228720766488,0.00146159877218698,0.00201055590346122,0.00112176387232165,0.00135852331208033,0.000543437157589717
"T+10",0.0013555250935896,0.00304882942088639,0.00185405907194718,0.00210469034577156,0.00272219864057552,0.00091023129631162,0.00192709579306773,-0.00114690303694109,0.00104476979849536,0.00147142169202788,0.00161157425982101,0.00126589720707444,8.84870641779251e-05,0.000143734290790381,-0.000426492632774662,0.000594457936570869,0.000938013611336822,0.00113917502316422,0.000223611798113211,0.000638976968169544,0.00144604117228438,-2.22206704734891e-06,4.34191808944377e-05,0.00174799073273188,-1.88390840146126e-05,0.00146312904364202,-8.75802511551102e-05,3.29955758169739e-05,0.00131844411843856,0.000541054939785469
