"","MMM","AXP","BA","CAT","KO","DD","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","CVX","CSCO","TRV","UNH","NKE","GS","V"
"T+1",0.00149357698585431,0.00435303581425185,0.00105979833638802,-0.00101413619085255,0.00060257840474929,-0.00146208323258892,0.00110826758986006,-0.000162464218190439,0.000697289837413891,0.000271280228383351,-0.000411295659073441,0.00241520077609618,0.000976512584031957,-0.000294311518420925,0.00272025153101908,0.00152345526582967,0.00263270296093034,0.00189927814347936,0.00115148613059453,-6.0463830265289e-06,-7.78405564540978e-05,0.00213071336577639,8.25086003560308e-05,0.00127789214928638,8.93476217330902e-05,0.000648679655305358,0.00297138025600078,-0.000321396870297754,0.00133643054219255,0.00306751447151644
"T+2",0.00121542149308107,-0.000247083071226993,0.001083973962914,-0.000570319476714825,-0.00120770801152504,-0.00127628968751896,-0.000190432304056536,0.00228860472368797,0.000364213135315281,0.000325382394907245,-0.000655754623524119,0.000873315094791547,0.000594321326200706,-3.6421329493318e-05,-0.000185394751905785,0.00128296778427883,-0.000574296992347999,0.000769414764197737,0.001245340820158,0.000539497226619505,-2.72896375357636e-05,0.000934093730114165,-1.7550422141817e-05,-0.00135136493360364,0.000504799930336104,0.000724499561096387,0.000559357649909058,0.00177507269258003,0.00026118580455438,0.00316017827914792
"T+3",0.00106521268458251,0.00185980212666383,0.00181121572438067,-8.91804864199471e-05,-0.000550304888419395,-0.00115041580002591,0.000490148532566034,0.000996063866147347,0.000695694789113427,0.00094456484722601,-0.0005455529619869,0.00170127733578547,0.000702479457456437,4.57331140317501e-05,0.00230553982659196,0.0012983807538047,0.000976782746626208,0.000334528370347676,0.000987528973186847,0.000499887206887139,8.40172950980446e-06,0.00111110720635203,3.86953833970995e-06,-0.000699550855013865,0.000505313379475092,0.000128212531156531,0.00120991322110862,0.00146091731166842,0.000635217572426598,-0.000139315284239318
"T+4",0.00100980084386509,0.00130446721475188,0.00196132833184768,-8.85282495174797e-05,-0.000487425079590483,-0.0010302195416765,-7.81821426059462e-05,0.000428377549551233,0.000370664761879374,0.000594350609079277,-0.000551198607528205,0.000963053364644128,0.000681713149199223,5.14880445186913e-05,0.000131225104469411,0.00131471431001752,0.000300623908824812,0.000327866393959837,0.00102892436682521,0.000500016860607655,3.82737456612746e-05,0.00111189305814145,-1.0924931803306e-07,-0.000473436125141319,0.000495481944703502,0.000284365139775206,0.00106319110588646,0.00121519887297046,0.000482500144354902,0.00196780763278816
"T+5",0.000991833476305465,0.0015125971350383,0.0020391104029665,-0.000114148104230487,-0.000338568295498942,-0.000915877403723976,0.000405331433127676,0.000472865713825505,0.000689385757693398,0.000842798849284142,-0.000547605230866402,0.00164815610388748,0.000685809033049232,5.10763342181356e-05,0.00202938252312867,0.00132945770623186,0.00059778977639005,0.00034931199260462,0.00103074632986715,0.000497805152425761,6.33308520323505e-05,0.00112570534413664,6.45413647505462e-07,-0.000320756262200154,0.000493603157593674,0.000267449305214475,0.00110576935617418,0.00115687369515243,0.000545341893089752,0.000996428555507123
"T+6",0.000986356113230434,0.00145077056792293,0.00206472438007888,-0.000115477620783271,-0.000243018596879534,-0.000807100460786015,-6.25891736186286e-06,0.0005523480640441,0.00037685139164017,0.000673447060848696,-0.000547710655538036,0.00101086890414899,0.00068500294488549,5.09578926167789e-05,0.000372306782039975,0.00134274276839527,0.000467274994323766,0.000352859366955549,0.00102898647933778,0.000496039128705305,8.43496965552e-05,0.00113289786681034,5.02737699106797e-07,-0.000227821321165741,0.000493481428285632,0.000265473453409989,0.00109715856263446,0.001154754837655,0.000519474177630402,0.00137653906626986
"T+7",0.000984742212989609,0.00147211691896778,0.00207499601080936,-0.000114178840065986,-0.000163026775332934,-0.000703617880427918,0.000344112995766506,0.000563046100566119,0.000683319215585439,0.000789637774572408,-0.000547591612464417,0.00160375636133729,0.000685161614712437,5.0950103208669e-05,0.00181892021732986,0.00135471350499352,0.000524599997870484,0.000352282659386148,0.00102922783634439,0.000494493625740468,0.000101981100546951,0.00113765836246227,5.29725306092783e-07,-0.000170538368771298,0.000493503218970758,0.000266704941881755,0.00110004899781551,0.00115806220829056,0.000530122336725511,0.0012447587287027
"T+8",0.000984276205804293,0.00146543956859971,0.00207875369540629,-0.000114042318416557,-0.000101059115385276,-0.000605171976539318,4.58539556210622e-05,0.000555371028826909,0.000382800177312656,0.000710006135347022,-0.000547592344508316,0.00105217116541832,0.000685130382701724,5.09507525681488e-05,0.000556038636644951,0.00136549994310778,0.000499421689316847,0.000352013459328338,0.00102924741388865,0.000493151017422221,0.000116770990997916,0.00114066153907447,5.24620905306219e-07,-0.000135286182058024,0.000493510265187226,0.000266458118043495,0.00109958459736592,0.00115928213071963,0.000525739136786292,0.00128543920735814
"T+9",0.000984143328727256,0.00146766684472776,0.00208018676788211,-0.000114104665971245,-5.20272548440679e-05,-0.00051151760535302,0.000299751180651138,0.000552478398031642,0.000677485900602574,0.00076459159500726,-0.000547588335071601,0.00156533155512273,0.000685136530307965,5.09509230087331e-05,0.00165852382579564,0.00137521924867571,0.000510480519005132,0.000352003004401255,0.00102923560152448,0.000491984005584466,0.00012917731210903,0.00114257299865217,5.25586356374881e-07,-0.000113587537654134,0.000493511082147922,0.000266472836815515,0.00109979337792891,0.0011594519636805,0.000527543433858729,0.00127454912961182
"T+10",0.000984105742746335,0.00146695450035321,0.00208072295819441,-0.000114115095711718,-1.34588525315645e-05,-0.000422421554670926,8.36175778660957e-05,0.00055284014272338,0.000388520262984377,0.000727175748815292,-0.000547588264378607,0.00108791919178505,0.00068513532023349,5.09509334944892e-05,0.000696063361658191,0.00138397699610995,0.000505623254260698,0.000352015333736618,0.00102923696518616,0.000490969668942079,0.000139584204845826,0.00114378757475911,5.25403750400676e-07,-0.000100231784522791,0.000493511068851574,0.000266479171103059,0.00109977386226738,0.00115942357431723,0.000526800714390063,0.00127684028937671
