"","MMM","AXP","BA","CAT","KO","DD","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL"
"T+1",0.00040513327923885,-0.000313801948069714,-0.00109113909806227,-0.00137484985030564,-0.0016119033396238,0.00048216733614075,-0.000555531179181303,-0.00120844491575443,-0.00155573191125389,0.000355167824102428,-0.00393783885982603,0.000905668532466423,0.00126204178699538,0.000318463602820716,-0.0010332112370001,0.000380220862759857,0.00153611598802572,-0.00154512211322054,-0.000592353609908716,-0.000315786592805633,-0.000783082224242665,0.00565566799325925,2.70107516147436e-05,-0.00301653062426205,0.000434916326801475,0.00388332635822099,0.00120079836101349,0.000227546794865383,0.00230785283692614,-0.000661744095532486
"T+2",0.000251768872018459,-0.00017658081940828,0.00179500151613178,-0.000311868641294613,-0.000774578239825774,0.000508540751702057,-0.000784858565976603,-0.000672716309494996,0.000557957650747096,0.000310084846550159,0.00139491124493949,0.000953865636053052,0.0019014030536215,0.000579181044575267,-0.000158304978536101,0.000915862029001687,0.00165423260901091,-0.000306395451875142,-0.000456333931175137,-0.000105768645785957,-0.00172586392178221,0.00471934400849955,-0.00167875795658428,0.0027913561937431,0.000753481088340653,0.00385183371665955,0.00212286612377587,0.000250408079614028,0.00205558422277817,-0.000446104752276513
"T+3",0.000216666500801531,-0.000242126133020983,2.42506796481718e-05,-0.00165940643997166,-0.000663440516533139,0.000535587863899225,-0.000196745039686926,-3.20982168422244e-05,0.0011698767565553,-5.32204671043505e-05,-0.00217736299262293,0.000444040548206728,0.000139511280367898,0.000708473683304541,-0.00012838809983778,0.000522084322599066,0.00149646253157442,-0.00078409191469275,-0.000474574565944084,-0.000143246142485535,-0.00164439378711202,0.00281589180665824,-0.000949440110581812,-0.00224577398733261,0.000306368691253349,0.00289625557172376,0.00186467532048953,0.000254013101819426,0.00150386704978183,-0.000384935660345788
"T+4",0.000187434618893613,-0.0003160133239165,0.00108673885477894,-0.000610961034587879,-0.000608600008962091,0.000532457550148292,-0.000794484012625404,-0.000165864225643529,0.00125403084040538,-0.000170983433401745,0.000563735436296273,0.000162439876197171,0.00112272475236725,0.000782852895880877,-0.0001420565939781,0.000805025031649449,0.00132498040300601,-0.000482917558573418,-0.000492325176379867,-0.00012659164924328,-0.00162464014028142,0.00184777636019336,-0.00173174326332456,0.00167823328736878,0.000532455130591222,0.00217360076731082,0.00167281576477635,0.000256603596718003,0.00115478874035817,-0.000331577121290893
"T+5",0.000163945756141128,-0.000382583763078895,0.00044933300856269,-0.00143996845702446,-0.00056098551817243,0.000532329675138748,-0.00020823704431565,-9.18006465002015e-05,0.00122354950350151,-0.000223301342568193,-0.00163313961043732,3.08593802902431e-05,0.000798001217073693,0.000826696776885782,-0.000156652914161986,0.000601711997441234,0.00117523898919882,-0.000665773961935549,-0.000506832826399418,-0.000134774191451517,-0.00160381293451678,0.00145407434198159,-0.000976575973813771,-0.00133654750525772,0.00044449918466777,0.00167468538696915,0.00157502959845104,0.000258295660304269,0.000945865483227479,-0.000287923267896679
"T+6",0.000145062151653011,-0.000441435883874546,0.00083172377425736,-0.000784905789042043,-0.000516810410537539,0.000532393420827481,-0.000781958598017749,-0.000119263599260402,0.00119455654171019,-0.000244773905344448,0.000149514373672907,-2.86851886065045e-05,0.000841282508972993,0.000852634702569201,-0.000170027299965716,0.000747806858550408,0.00104879941285223,-0.000554495531750915,-0.000518637785065204,-0.000130729407476692,-0.00158527506913165,0.00130738593496024,-0.00171152252544981,0.000975247788492506,0.000473910587320624,0.00133345231448424,0.00152805126640082,0.000259403999970285,0.000821399909266728,-0.000252133537249926
"T+7",0.000129881000886518,-0.000493369670930623,0.000602320958105646,-0.00130253531703705,-0.000475604085002681,0.000532389137830679,-0.000220571487433882,-0.000107580535869418,0.00118144890335351,-0.000253748443528286,-0.0013019508529426,-5.54458740067101e-05,0.000866382644910203,0.000867987602605878,-0.000182181533393215,0.000642827320302646,0.000942668746744336,-0.000622204880817755,-0.000528242374986948,-0.000132729520838093,-0.00156860705930561,0.00125501321717879,-0.000996727522246024,-0.00079701009367501,0.000465214720736509,0.00110030382640133,0.00150574844901157,0.000260129924348362,0.000747279074563691,-0.000222793331327309
"T+8",0.000117676373201277,-0.000539190256410301,0.000739943664444852,-0.000893505700389501,-0.000437150729867942,0.000532388527429324,-0.00076988464036906,-0.000112302689635026,0.00117751452269916,-0.000257483405437648,-0.000119050796831751,-6.74544538039307e-05,0.000844025481179469,0.000877075824661565,-0.000193221608493995,0.000718262577689738,0.000853680969009213,-0.000581005542694641,-0.00053605670433624,-0.000131740460921578,-0.00155363005206545,0.001236737820485,-0.00169196054305665,0.000561579376213038,0.000467471787068103,0.000941022203477461,0.00149518658578436,0.000260605381130575,0.000703140669283297,-0.000198740348572758
"T+9",0.000107864670583385,-0.000579616533023843,0.00065738142908158,-0.00121671994107717,-0.000401265232025133,0.000532388658129586,-0.000232386053454859,-0.000110358318143357,0.00117691028203257,-0.000259039347419243,-0.00108332029051696,-7.28413624042532e-05,0.000853794264558017,0.000882455700927652,-0.000203249374278049,0.000664056985323474,0.000779081703217946,-0.000606074229939878,-0.000542414470564207,-0.000132229553520093,-0.00154017193077162,0.00123044265192558,-0.00101575705214123,-0.000479891924799101,0.000466983845031682,0.000832206031909263,0.00149018747587899,0.000260916789784107,0.000676856654034246,-0.000179021811719318
"T+10",9.99767193286016e-05,-0.000615283494919181,0.000706911938177799,-0.000961316809032695,-0.000367776027134129,0.000532388655018592,-0.000758324163116147,-0.000111153503225408,0.00117706901326676,-0.000259687383674386,-0.000297219334578393,-7.52576858151834e-05,0.000851341255516604,0.000885640384961116,-0.000212357638329354,0.000703007554931796,0.000716546695721877,-0.000590820608614471,-0.000547587171828417,-0.000131987695992921,-0.00152807869063845,0.00122829046064997,-0.00167345210677642,0.000318481465211115,0.000467054563047049,0.000757866361280323,0.00148782157586555,0.00026112075227527,0.000661204768097492,-0.000162856635836855
