"","MMM","AXP","BA","CAT","KO","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PG","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","WMT","WBA","DOW","AMGN","HON","CRM"
"T+1",0.000832080587673779,-0.00286237469648998,-0.00202544644214638,-0.000175391678302517,-0.00076448077305228,-0.000305549846926802,0.000470409876871014,-0.000738471483124516,0.000259910582218597,-0.000202733300096194,0.00264118802284252,-0.00123215240907601,0.00453910801740457,-4.20477392027094e-05,-0.000497484818373366,0.00116843197000482,-0.00213082914695937,-0.0023078179263132,-0.00374001594897351,-0.00115617122573042,0.0011632810202532,-0.00291877863228482,0.00127378741551277,0.00158139943136707,-0.00373971168027091,-0.00365727968601334,0.00161569281927967,0.00103105133473164,0.00020076851483403,0.000731229231029481
"T+2",0.000791554731216024,0.00516766757940989,-0.0013301641301184,-5.52052385187996e-05,0.00181364583916,0.00061417366377037,0.00314259371096524,0.000598647908186879,0.00187014804819036,0.00208095982301346,-2.20322784429674e-05,0.00205735544642993,0.00577643251722784,0.00199094936727962,0.000931046627885652,0.000160156664424124,-0.00218546086591745,0.000643520303437262,0.00143333224025388,0.00295702290349517,0.0015359698981864,0.00399934246656313,0.00126460192662005,0.00304099271095045,6.17218658055227e-05,-0.000809918847379194,0.000872952933339831,0.00228879378348596,0.000684437708910151,0.00421520341872099
"T+3",0.000772062215594097,-0.000843801342393225,-0.000997825357782896,0.00027807282061299,0.000639847061174212,0.00102425213696252,0.00251255321607794,-2.70443948967021e-05,0.000796648651420688,0.000956924313947405,0.00282061954451185,3.60410675582292e-05,0.0052087542961488,0.0016514510577745,0.000247691548935137,-0.000236221407405379,-0.00227809908792689,-0.000791033954767898,-0.00137110055117133,0.00141539330448719,0.0016299900525425,-0.000714158945613498,0.00123882510859552,0.00392086540150693,0.00107281051541899,-0.00301880239608679,0.000693359723625798,0.00219653136187388,0.000500460112251362,0.00169640285363069
"T+4",0.000753589623879754,0.0031509804996276,-0.000955309567372219,0.000458674890522462,0.00120295422403801,0.00126507694883173,0.00266595647407799,0.000212623246072608,0.00125539555570027,0.00149714986747262,0.000287744775039221,0.00117545611102088,0.00497443395975701,0.00169776744068954,0.000659658055445941,-0.000226456319530702,-0.0023130138073406,-0.000324351584289205,0.000135031542022439,0.00203634967195692,0.0016771289804895,0.00199506441454368,0.00122350137280014,0.00416655181556053,-0.000868605831365933,-0.00106336287874113,0.000594719058482637,0.00218300323551376,0.000588848642869106,0.00253599156283184
"T+5",0.000735827366047203,0.000470118139438977,-0.000954234266381561,0.000550527010611563,0.000931882306898558,0.00140576127879534,0.00262983694105075,0.000117514944965544,0.00104392448242802,0.00123737510823835,0.002482488211671,0.000529930818681282,0.00472198101775177,0.0016816146729068,0.000392936798339025,-0.000214302862504881,-0.00232766095301828,-0.000524589400008801,-0.000674432059256091,0.00178534524194624,0.0017021718998006,0.000398439460547925,0.00121409199301434,0.00422103870714108,0.00104314182881068,-0.00280086086996642,0.000531174390380509,0.00216615339047216,0.00054909323688414,0.00207126820797974
"T+6",0.000718744464480348,0.00226768852609923,-0.000954818624660789,0.000596992910938594,0.00106240128785877,0.00148795307893445,0.00263864393529088,0.000155005947152696,0.00113996158073884,0.00136228986699405,0.000589955569125271,0.000895536045932255,0.00450447620715939,0.00167584122505142,0.000568766558613222,-0.000213979951466991,-0.00233372406540529,-0.000453863615017049,-0.000239414458698237,0.0018868238434193,0.00171551878827031,0.00133570985020262,0.00120832170189146,0.00423161159631617,-0.000632713896723691,-0.00125686449381361,0.000489539156050935,0.00215061388540042,0.000567290126121358,0.00225297275948793
"T+7",0.000702314884110613,0.00106229392911382,-0.000954934578218372,0.000620487969947947,0.000999556548779926,0.00153597180310609,0.00263657336991123,0.000140208834572918,0.00109622187183381,0.00130222359650028,0.00222048404818038,0.00068846493437669,0.00430977862936605,0.0016686018743368,0.000452353276437614,-0.000214321344361251,-0.0023362378747606,-0.000482457491828243,-0.000473200334748492,0.0018457967268552,0.00172263337168838,0.000785169059107789,0.00120478289884265,0.00423345959524172,0.000790491793599541,-0.00262891260108076,0.000462214705569304,0.00213604781650845,0.000559000320165276,0.00216334553719775
"T+8",0.000686513638491548,0.00187058878892162,-0.000954943284497114,0.000632367545312408,0.00102981624544957,0.00156402567130476,0.00263707901738642,0.000146047662269323,0.00111613187246986,0.00133110694756683,0.000815903405801576,0.000805745526704,0.00413672081016301,0.00166181588158038,0.000529506694718698,-0.000214347987589551,-0.00233727991763552,-0.000471941112891952,-0.000347559862538736,0.00186238372054044,0.00172642584813657,0.00110851944830245,0.00120261262667954,0.004233751239716,-0.000406719646239479,-0.00140966353951591,0.000444279374930785,0.00212240789683891,0.000562781644475434,0.00220108303140501
"T+9",0.000671316697506849,0.00132857462984375,-0.000954942645944307,0.000638374076432584,0.00101524622243113,0.00158041551785231,0.00263696032945803,0.000143743604995432,0.00110706800998123,0.00131721815503683,0.00202581344070663,0.000739320335104637,0.00398270011525432,0.00165516567163862,0.000478360671772884,-0.000214339280143029,-0.00233771188294444,-0.000476072382728833,-0.00041508117287299,0.00185567770784929,0.0017284474541521,0.000918602560042813,0.00120128164511225,0.00423379190352756,0.000597441680779136,-0.00249313012411167,0.000432506737540989,0.00210963445454448,0.000561057416256797,0.00218340690364445
"T+10",0.000656700950061212,0.00169203028115316,-0.000954942384211326,0.000641411087739874,0.00102226167846333,0.0015899909200019,0.00263698936281655,0.000144652800630601,0.00111119417249167,0.00132389669304637,0.000983598344407544,0.000776942127197971,0.00384565445973071,0.00164869734637108,0.000512267956892522,-0.000214338058972472,-0.002337890948043,-0.000474522569231166,-0.000378794081147564,0.00185838890477289,0.00172952508536339,0.00103014825282665,0.00120046538254521,0.00423379655772161,-0.000244034558298229,-0.00153032451121943,0.000424779242060228,0.00209767249158867,0.000561843711431132,0.00219110844812769
