"","MMM","AA","AXP","BA","CAT","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ","CSCO","TRV"
"T+1",-0.00235571125496426,-0.00423347685972202,-1.60863539940279e-05,-0.00121967626325379,-0.00332182928380259,0.00105599986858688,-0.00573367246912016,-0.00151633511760767,-0.00174709476639358,-0.00145401711274063,0.00158154057657512,-0.00234148408861257,0.00115823900744464,-6.21363570706256e-05,0.000624249919313384,-0.00114954361590244,-0.00488355512923914,0.0011352189261945,0.0022865418910572,0.00133914963350181,0.000427569125328321,-0.000306614236085328,0.000351496706807734,0.000364100829548855,-0.00290522531691602,6.11588845495074e-05,-0.000991127190966845,0.000483012263828102,0.00167407703042508,-0.000644285083189991
"T+2",-2.63619906976899e-05,-0.0034844392210224,-0.000449892463556289,-0.000269384351884711,0.00300910465424105,0.00140066805968758,-0.00484329923992092,-0.000444540363224799,-0.00158966061472613,0.00392086898610094,0.00465813911960771,0.000607093379874092,0.00138155372325548,0.00140810304775658,-0.000139541257973422,-0.000697590289142224,0.000238988150255758,0.00158282508104394,0.00206195128054189,0.00376667119847153,0.00239832366015914,0.00378775231656549,-8.38915972284525e-05,0.0032839999381372,0.00307788131613677,-0.00232926059584421,-0.000943851683368839,0.00320612627017762,0.00232038354514739,-0.000271690562622034
"T+3",0.000788821170079537,-0.00384344313600981,-0.00242507980490694,-0.000848179885346429,-0.00411702508061814,0.00070573206237363,-0.00467920540110819,-0.00165307601275764,-0.00169800919739425,0.00168580034552415,0.00238652556915624,0.00103631476773014,0.00099808101598365,0.000259574280078837,-7.81981578398296e-05,0.000287995968165457,-0.000391983705996886,0.00165059178996022,-0.000919418128421962,-0.00192516500145736,7.9671575265535e-05,-0.000120753410213311,-0.000425238364315402,0.000219460278632447,1.59299750611797e-05,-0.000334894917898148,-0.00201989639474467,-0.000556601335205664,7.67224542344889e-06,-0.000196375929723228
"T+4",0.000339136126144843,-0.00416001905964678,-0.0025462415425458,-0.000585665351846302,-0.00226456741842387,0.000596383738669417,-0.00472914838415756,-0.0014095065492051,-0.00171065812049125,0.0014299243781404,0.00230795307524735,0.000184191972449451,0.000774108341416993,0.000475081585467825,-6.97718741412261e-05,0.000265524091372774,-0.000862018397285329,0.00166945306723706,-0.000523256322361733,-0.000519831198234136,0.000590839256278216,-0.00131616753335895,-0.000540157778601349,6.91711316638733e-05,-0.00141915352932837,-0.00205363615535579,-0.00129074628537463,0.00131047276807817,7.37570636761318e-05,-0.000171243204540572
"T+5",0.00019837940216818,-0.00430797134417887,-0.00240013611449977,-0.000699076889388946,-0.00217376550861265,0.000654419692516095,-0.00472664305993817,-0.00134880082491169,-0.00170363171017036,0.00180741951767191,0.0026619348526848,0.000676838329671932,0.0006612582529406,0.00059902994019851,-6.34735694450669e-05,9.76391400484731e-05,-0.000608560356888189,0.00167635130392885,-0.000110619516289572,0.000202725971781299,0.000777239578473621,-0.00058468557761332,-0.000573783537257621,0.000660316020270175,-0.000656045316224947,-0.000573639307676345,-0.00165622709069666,0.000873524585179553,0.000336087216543033,-0.000163602906950086
"T+6",0.000284816260681212,-0.00435796750333017,-0.00237909838390513,-0.000650557542737582,-0.00239925919663081,0.000671643025625158,-0.00472555165719219,-0.00139393518049312,-0.00170264775608446,0.00175759825550415,0.00261405218980194,0.000507283031609424,0.000605473180189735,0.000505287876175735,-5.99230492493286e-05,9.22491264636591e-05,-0.000635250811323747,0.00167904612005699,-0.000221860370777854,-0.000335550792086018,0.000629854778060947,-0.000269732038747809,-0.000583231513885534,0.000612255394157997,-0.000312106062812142,-0.00184808085378795,-0.00149641210436802,0.000775541312741036,0.000312537670730625,-0.000161246200050248
"T+7",0.000308921833128165,-0.00436958889037206,-0.00238895616816804,-0.000671272722406061,-0.00232920259812982,0.00066766641741777,-0.00472578414018964,-0.00138712621175716,-0.00170310026869552,0.00171511962490069,0.00256902692072807,0.000527591293489945,0.000577971594228666,0.000522133626587557,-5.78736567776895e-05,0.000120342105043405,-0.000660124722016944,0.00168011249564657,-0.000272132307347227,-0.000306187169801257,0.000652643473671093,-0.000399043511781269,-0.000585851410845242,0.000508143823023719,-0.000502159017936658,-0.000750645791728753,-0.00156054921322219,0.000927248151440902,0.00028375703296902,-0.00016052096310468
"T+8",0.000292373944360668,-0.00437028186070975,-0.00239138912126253,-0.000662432216216806,-0.00233036423150057,0.000665508976671273,-0.0047257820354524,-0.00138417364923339,-0.00170317499937108,0.00173194517351404,0.00258379883378378,0.0005462563269099,0.000564418811553461,0.000532569121102298,-5.66933545708403e-05,0.000122791291462572,-0.000647621338609546,0.00168053548808825,-0.000248848959459279,-0.000203016583546737,0.000667940449979205,-0.00047675076041279,-0.000586574686148674,0.000530514244059367,-0.0005845207809421,-0.0016956587146627,-0.00153642827967412,0.000849574014381112,0.000288217809852794,-0.000160297699346182
"T+9",0.000288285146258413,-0.0043692112096169,-0.00239080372464679,-0.000666204693603447,-0.0023372709641283,0.000665676355701714,-0.00472577555929773,-0.0013858115946781,-0.00170314607550774,0.00173415919752425,0.00258806252695148,0.00052979540975487,0.000557740373733437,0.000524921328990553,-5.60134449971642e-05,0.000118175055922631,-0.000648709087467651,0.0016807033481049,-0.000243904032833121,-0.000243898133632258,0.000658886775144533,-0.000455722963107483,-0.000586774059468613,0.000547059995190378,-0.000537219375283921,-0.000881898105851084,-0.0015450029362631,0.000868732454010932,0.000291261325792654,-0.000160228971902846
"T+10",0.000291441260241276,-0.00436846539773613,-0.0023905659806623,-0.000664594908204745,-0.00233471339640702,0.000665911035228286,-0.0047257765664459,-0.00138564740810573,-0.00170314050455311,0.00173125159972768,0.00258512806792635,0.000537332421236547,0.000554449450149339,0.000526234747028234,-5.56217926623005e-05,0.000117508230337293,-0.000650017877478283,0.00168076996698787,-0.000248101185688081,-0.00025181068999101,0.000659676051249009,-0.000437455022035136,-0.00058682898902617,0.000540755957205713,-0.000517513634851601,-0.00158263596073955,-0.00154211750263853,0.000872178202006135,0.000290562676621052,-0.000160207815278209
