"","MMM","AXP","BA","CAT","KO","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","DD","WMT"
"T+1",-0.00105423369215559,0.00370625998844808,0.00416449909117019,4.84904910635128e-06,0.000328891674114088,0.000843696582462229,-0.00291104269438414,0.00147256645497942,0.0022285133959508,0.000648536955863783,0.0037485971890089,0.00216539619902109,0.00583190698255276,-0.00185309597813491,0.00420047631664456,-0.000754422508002624,0.000105875246428223,0.00210544431321715,-0.00116908665263468,0.00778676869806397,0.00108069178010304,0.000845139100632389,-0.000264048146610858,0.0014669688274571,0.00351161673694266,0.00250419161687305,0.00313077273305909,0.00107020333310835,0.00581961834022601,0.00240347524853211
"T+2",0.00030661615819478,0.00399740411274775,0.00420436143113448,0.00819260584305001,0.000867092301867639,0.000190562479467367,0.000143588767162719,0.00171681647246528,0.00150897738881742,-0.000438314685059257,0.00470461188856814,0.00189353272336664,0.00404730389690054,0.00169071389734716,0.0015796699196781,0.00165860984430803,-0.000748626604876357,0.00021320731775888,-0.000734669904783535,-0.00404561629062687,0.00141956263857064,0.00115586985880279,0.000589008737208385,0.00267213456663767,0.000392821121194242,0.000871282169603419,0.000513295851608703,0.00120046993247998,0.00425726152142159,0.00360588659497933
"T+3",0.000680791574941965,0.000119309795482302,0.00310718800996765,0.00423159274049898,0.000450092881773859,7.17423978966342e-07,-0.00302086900595371,0.000496738363893123,0.00198657473254137,-0.000559604392571138,0.0045584090414181,0.000180670893202485,0.000934946408634725,-0.00175799065739906,0.00107598147717786,0.00111735202958954,1.96984014970321e-05,0.001089825607474,-0.000508096295125241,0.000688256106504748,-0.000862488026767341,0.000965033523119396,-0.000467893046129905,0.000456207801379544,0.000941152059981425,-0.000926163495141695,0.00106500694205149,0.00101107287354139,-0.00163706782571722,0.00184443035473475
"T+4",0.000454640373934853,0.00076333034388894,0.00430522706462206,0.00201153182694601,0.000400596843029099,0.000184658366476603,-0.00218569758969914,0.000817947654560142,0.00172999727467084,-0.000459328215462847,0.0043491228879421,0.000944931863608306,0.000878115023330498,0.00175208709753946,0.00161363894285374,0.000739131445342629,-0.000666030698980767,0.00091978844436118,-0.000337647993692882,-0.000861423569686294,2.65778661355378e-05,0.0011030612901245,0.00041259478255627,0.00255621483468988,0.000835441527408341,0.000149401236335933,0.00115803847390331,0.000976641448165024,0.000641170906728245,0.000995526227767656
"T+5",0.000680124559619598,0.00124935537227706,0.00309934460186434,0.00200811694150218,0.000417313679278213,3.24054886318102e-05,-0.00220242055997545,0.000815434332901506,0.00186844471713641,-0.000472880418215674,0.00414639294299128,0.00078893280439793,0.00137916489424203,-0.00181817499386665,0.00152598150174187,0.00068679225161707,-5.40170251667181e-05,0.000920941221811766,-0.000207064908822799,-0.000492547344031032,-3.30030346648844e-05,0.00100338983452259,-0.000314456977326094,0.000604684606087628,0.000860642652278463,-0.000109719362543138,0.00100356810994425,0.000987357363847866,0.000963105426093236,0.000862327071028988
"T+6",0.000466207622303621,0.00106327712316808,0.00430402649224446,0.0023294271368439,0.000420609597588373,0.000157583322320668,-0.00226875122157989,0.000793328297521756,0.00179374696886139,-0.000476753107445269,0.00395434055538927,0.000778951985904294,0.00144441666249978,0.00181333568508902,0.00147317385586529,0.000708412109645713,-0.000600239631791539,0.000931182959711015,-0.000106949501270518,-0.000512322272026017,-0.000127202598784077,0.00107536480885352,0.000285751818788581,0.00241677004367167,0.000852356452487255,-0.000136331324209236,0.00108714981099306,0.000991461338889839,0.000432871724347549,0.000908907410159291
"T+7",0.000669962094105274,0.00102108817223411,0.00310142127082182,0.00241361751932448,0.000420015605157675,5.46980539462172e-05,-0.00224427009626925,0.000799640741974576,0.00183404938554598,-0.000474989610043127,0.00377268897063333,0.000798980649297473,0.00137002286066719,-0.00188047385539243,0.00150198190598054,0.000719328380437207,-0.000112735595927922,0.000927743508029343,-3.01907833673582e-05,-0.000557242188918684,-8.06900031945291e-05,0.0010233900864449,-0.000209740019167287,0.000734222226842601,0.000855951558656805,-8.78498807208039e-05,0.00105976734343907,0.000991128838656172,0.000552231683106344,0.000943307855961751
"T+8",0.00047595076815533,0.00105739599432091,0.00430186814488106,0.00238891532695565,0.00041982627521939,0.000139259538144449,-0.0022470430406888,0.000799458516629942,0.00181230462426558,-0.000475109646191971,0.00360089420152224,0.000791371450316416,0.00135107235201987,0.00187670329515659,0.00150108829637638,0.000720268260291966,-0.000547833268746422,0.000928234673931772,2.8660375147029e-05,-0.000521292305093552,-8.71669657772594e-05,0.00106092218420327,0.000199304497493481,0.00229649027195499,0.000854150565600595,-0.00010706943839885,0.00106308812108578,0.000990759659291257,0.000610072823683976,0.000951628572155694
"T+9",0.000660689790943384,0.00105747673585373,0.00310358403627427,0.00237026227176999,0.000419843188293464,6.97584343534423e-05,-0.00224819457146373,0.000799060944882742,0.0018240367902897,-0.000475203471011301,0.0034384226989089,0.000792624550228131,0.00136108308811726,-0.00194492854199207,0.0014971139854697,0.000719487562445082,-0.000159508309432577,0.000928288013429619,7.37817517988275e-05,-0.000540290453701737,-9.0719591245345e-05,0.00103381942546118,-0.000138374961501588,0.000845903681097388,0.000855103427430114,-0.000104706546731962,0.00106564041953823,0.000990739262766844,0.00056846575136406,0.000950914508601205
"T+10",0.000484780309273493,0.0010518407002588,0.00429970846947549,0.00236898858429609,0.000419853064999056,0.00012688140611168,-0.00224755512919937,0.000799184200342941,0.00181770681876972,-0.00047517491077852,0.0032847685791823,0.000792853006631762,0.00136529113096302,0.00194226370726852,0.00149844198042733,0.000719183781192062,-0.000506088591163948,0.000928239796657121,0.000108376459637871,-0.000532215247086464,-8.84011949026119e-05,0.00105339092759679,0.000140390337548269,0.00219279255782259,0.000854590082404253,-0.000103159670907635,0.00106342703319795,0.000990766083851772,0.000571803007533695,0.000949647104192271
