"","MMM","AA","AXP","BA","CAT","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ","CSCO","TRV"
"T+1",0.000871396907186887,-0.00339074627487684,0.00388217222290536,0.00113497052314854,-0.00144072621113392,0.00180032295918231,0.0021737665106252,0.00303586867080994,-0.00197655340543874,0.00280517908116161,0.00160550118255361,-0.00200068059071024,0.00156385451658072,0.000704384781548367,0.000483342723375672,8.12157231953523e-05,0.00259326462062258,0.00235640924795603,0.00221345860645311,-0.00259790737420725,0.0027766328182146,-0.000122985885246704,0.000962014334473511,0.00349266710442885,0.00186966975183522,0.00229334916247457,0.00131259560188812,0.00182456860125623,0.00131387423027889,-0.00205993249717398
"T+2",0.00102903123639582,-0.000457385105347163,0.0029514058253482,0.000447222972134011,5.24366264641198e-05,0.000835357138352259,-0.00360561459769277,-0.000587622420289523,-0.00232936344417539,0.00212778056709145,0.00372215054641078,0.00465740230035549,0.00117460415303283,7.27769539576373e-05,0.0024538338293367,-0.000572122356685236,0.000428196486657067,0.00149680853479801,0.00166538617630534,-0.00208769705479221,0.000105869290917811,-0.000418078112613054,0.000696508614614645,0.00399082514735631,0.00108738399102769,0.000708373603486247,-0.000608311140669376,0.00106923165907528,0.00320512810962284,0.00099421281466694
"T+3",0.00115676072457938,-0.00124337297527085,0.0022814751530063,0.000433843075346053,-0.00161728014207834,0.000235587892399286,-0.00255911996811301,-0.000925752086784902,-0.00197745524266099,0.00236177586842165,0.000621774385771055,0.00091974943286475,0.00109900575727554,0.000585053723105353,0.00214583049935409,-0.000460938449561141,0.00121971149058537,0.00140206331274414,0.000681566392833283,-0.000185806741579815,0.00196774184790639,-0.000335695069479214,9.9419814786201e-05,-1.95629390852417e-05,6.60312537854968e-05,0.00273705379844766,-4.03531298587335e-05,0.00123295143834525,0.000814798874735858,0.00122121683580411
"T+4",0.00110305569909042,-0.00181644801801131,0.0025055907955444,0.000448553969666249,-0.00071583501228084,0.000434559334528163,-0.00281150669335984,-0.000314363986448155,-0.00196832567563953,0.00237264423039063,0.00186372527419907,0.00236557960463727,0.00112129771285887,0.000412445350101925,0.0022038263336946,-0.000381252762700381,0.00112932996309469,0.00159130597730298,0.0010304844651493,-0.00075069402494929,0.000245807923640209,-0.000299509500213141,0.000273408426979995,0.00112567428612511,0.000274020458294418,0.00226635388762437,-8.13287342117923e-05,0.00125831583502028,0.00118547023141466,0.00146927069790505
"T+5",0.0011049909573455,-0.00204084277894094,0.00248558699173264,0.00044167707187201,-0.0011779132487207,0.000459726622513071,-0.00281247038552007,-0.000569048494247094,-0.00195571581624141,0.00233887974148515,0.00165448090089851,0.00201701429161871,0.00112196310294685,0.000435562322012963,0.00219968259432313,-0.00037362381652614,0.00109560822698736,0.00150194602631318,0.001059549403416,-0.000794981803912214,0.00193959522515939,-0.000308249340187108,0.000296339272061865,0.00124112352069178,0.000393908405308288,0.00249559121551277,-4.3849814695553e-05,0.00122309798967209,0.00133582263315456,0.00157731290707027
"T+6",0.0011101464713177,-0.00211115967548219,0.00247816757479461,0.000444789648040528,-0.000942350494415662,0.000435669694306147,-0.00285811487657889,-0.000521058503587612,-0.00195464259410919,0.0023485268846587,0.00159764543543839,0.00200227076245419,0.0011210495631577,0.000444636275692103,0.00220384788780678,-0.000378789360400996,0.00111423604861023,0.00152111992846975,0.00100608705490972,-0.000724716253880862,0.000255259027817893,-0.000312655222336361,0.000271776192389252,0.00107550586372029,0.000353531446157407,0.00242133093956791,-3.96565835014616e-05,0.00123676182574944,0.0012639812378116,0.00163219024594005
"T+7",0.00110844992210469,-0.00213023031846146,0.0024811927659846,0.000443383494779596,-0.001062365905105,0.000437319779381243,-0.00289215247831309,-0.000512877559296595,-0.00195414575906292,0.00234972845831429,0.00165215582437722,0.00207594040255988,0.00112111479237637,0.000437564601120996,0.00220548302186836,-0.000380550880498675,0.00111071463087074,0.0015247730786282,0.00101741528758348,-0.000739065576389112,0.00193328400596397,-0.000311741083722618,0.000275237995159541,0.0011119475599188,0.000341029379814744,0.00245093385594407,-3.58054318052795e-05,0.00123499917142325,0.00126585418207219,0.00165912302973405
"T+8",0.00110839181618515,-0.00213477686192292,0.00248083179996185,0.000444018675255383,-0.00100122402178428,0.000439419908171502,-0.00292553232250041,-0.000522770162105473,-0.0019540790225772,0.00234808982036161,0.00163283094691233,0.00202632049005158,0.0011211430636455,0.00043990581682974,0.00220674760930519,-0.000380488292349098,0.00111038884561024,0.00151970200091229,0.00102115017395471,-0.000742457820863074,0.000261029621444772,-0.000311208085295682,0.000277078841692076,0.00111996887605379,0.000347807940459849,0.00244037034097925,-3.46988778375518e-05,0.00123395473778868,0.00127253687913826,0.00167243821713738
"T+9",0.00110858915559287,-0.0021357082159559,0.00248075499698916,0.000443731756611787,-0.00103237254568806,0.000438894547971603,-0.00295635790210332,-0.000518983842079718,-0.00195405797263989,0.00234847098477348,0.0016352846463582,0.00204818418700917,0.00112113778184903,0.000439606690594211,0.00220755508442964,-0.000380324413790548,0.00111078309612417,0.00152191902898489,0.00101862617054918,-0.000740062340512286,0.00192761967127541,-0.000311302037917584,0.000276253866478673,0.00111339554529265,0.000348859009731913,0.00244436412400266,-3.41681610016521e-05,0.00123471063954725,0.00127079094079716,0.0016790106909629
"T+10",0.00110853828246477,-0.00213585667678356,0.00248079493347929,0.000443861361155942,-0.00101650404901147,0.000438776902778901,-0.00298517124563277,-0.000519598103814005,-0.00195405441638633,0.00234855777971196,0.0016365604264049,0.00204166197456363,0.00112113723030846,0.000439476671517185,0.00220809438719001,-0.000380294542604826,0.00111067717729233,0.00152150321738296,0.00101885454559419,-0.000740357131699322,0.000266660329696057,-0.000311366134115469,0.000276253247307903,0.00111444848852248,0.000347824103803171,0.00244289960288314,-3.39731612575721e-05,0.00123448708921471,0.00127053628915631,0.00168225601104018
