"","MMM","AXP","BA","CAT","KO","XOM","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","DD","WMT","WBA"
"T+1",0.00110896841315546,0.000245102793834889,0.00332800606265045,0.0035964977133006,0.000736314141781856,-0.000119209423542431,0.00329434383085235,0.00471035126477638,0.000191225227316353,0.000852353943149244,0.00194452442988246,-0.000592394513396199,0.00120090807519711,0.00205114904483879,0.000638307556481681,-0.000166067064861981,0.00203498296567069,0.000190378125265387,0.00120535922924712,0.00306534068881109,0.00174571685647769,0.00112625647854551,0.00100768362684208,0.00292873455364333,-7.96102993839629e-06,0.00216813784371025,0.00291990975373835,0.00229414154337843,0.00133163394644205,6.12556148765564e-05
"T+2",0.000241154800605253,0.00213110327783085,0.00127571637029912,0.000617650934926995,0.00125063002058498,0.0020799117883762,-0.000464803878219546,-0.00272835686004713,0.000142045407899057,0.000599856219209531,0.00074592674322641,-0.000318341759867982,0.00021288416411816,0.00185193809319996,0.00117904259752534,0.000716067956101627,0.00123272097787647,0.00136989412552102,0.000865257441703151,0.00199813774357407,0.000886382114103692,0.000306151757388397,0.0010362035140166,0.0019562351426397,0.000316251952994508,0.00102259485842334,0.00220716284122285,0.000162695208847638,0.00123644602635645,-0.0013569575714924
"T+3",0.00102810431444548,0.000131052308458363,0.00253969283550916,0.00144919242154113,-0.000126812636793399,-0.000406982054777481,0.0029432794789802,0.00479729281917606,0.000173655684815034,0.000511798571401417,0.00155744502902361,-0.000158606529207492,0.000382305928023358,0.00202034515362891,0.000688590933054586,0.000183466635273173,0.000917638349252309,0.000927115452252269,0.000820305529768965,0.000618621545126132,0.0026062895464005,0.000887989417677345,0.00108249264363627,0.00178944486670232,0.000468626004415259,0.00158057511756962,0.00182569689320485,0.00151610610267405,0.0011762446692558,3.34851176712889e-05
"T+4",0.000326196672479588,0.00171234659612632,0.001666118186815,0.00140124630436828,2.26472955397354e-05,0.00179378975768293,0.000115160397570233,-0.00227621550715019,0.000202708656532053,0.000610003681022822,0.000829118854358711,-3.07780237567221e-05,0.000476413257019613,0.00198367215118239,0.00115944570225468,0.000296194216543386,0.00111799490587095,0.000768847865199722,0.00083500460670595,0.000930091756515175,0.000864596710101126,0.000473485484833424,0.0011228985271815,0.0017284134285069,0.000412514848099575,0.00138481596854762,0.0016082538112867,0.000661433395209263,0.00115127434419759,-0.000341174180439823
"T+5",0.00095219992454509,0.000521272321414733,0.00227187521181015,0.00132576314650161,0.000191892028063105,-0.000105498486516803,0.00245209308724948,0.00432895861797676,0.000227793521608635,0.000539467096948811,0.00149551044068979,7.05777259169544e-05,0.000431169938353799,0.00198172069012552,0.000708497275105351,0.000289864358626532,0.00105357349756982,0.000784833958665311,0.000838650006773691,0.001032266172302,0.00256689386321699,0.000768796639697445,0.00115879616309511,0.00169626371243416,0.000445557372689731,0.00143328024127332,0.00148422189329959,0.00120030811559075,0.00114102494277877,-0.000321345424506141
"T+6",0.000393892991148524,0.00140972996568108,0.00185179163265393,0.00136787061650341,0.000143686961476684,0.001528735611796,0.000521448318820059,-0.00183514315565177,0.000249415182811072,0.000586443808904113,0.000885103391418303,0.000150961624958948,0.000429085091758079,0.00198524403097925,0.0011404242918539,0.000286022517744947,0.00106672779029721,0.000800258549146708,0.000838155161948617,0.000984455161775407,0.000907490817616867,0.000558403594914183,0.00119066748675094,0.00167793498786439,0.000427630846881825,0.00142874440718053,0.00141347221548657,0.000860698659553612,0.00113681929192292,-0.000298171759909557
"T+7",0.000891824320042188,0.000748344037729986,0.00214311411216595,0.00135650541980475,0.000127693541711041,0.000123070053717267,0.00211642336814815,0.00391701382794466,0.000268050864154507,0.000555699093397026,0.0014442652285954,0.000214712659773056,0.000435720620963247,0.00198430061090036,0.000726718069664209,0.000287478928280168,0.00106583613384777,0.000800980957854468,0.000837917045762515,0.00098043634409898,0.0025247557547826,0.000708297132697216,0.00121896478834505,0.00166734836017043,0.000437474972232899,0.00142526500026094,0.00137311552848553,0.00107469943428027,0.00113509359861079,-0.000307913044631962
"T+8",0.000447739546130006,0.00124048425892948,0.00194108576164476,0.00135699544065447,0.000137031402476796,0.00133208302330323,0.000798757850836252,-0.00145070013708881,0.000284112911293592,0.000575734774777318,0.00093204454609169,0.000265272474317907,0.0004344355084417,0.00198431470850303,0.00112297220812928,0.000287243123711058,0.00106522590040089,0.000799782882840603,0.000837924186106939,0.000986102242447487,0.000948582993003966,0.000601506184852922,0.00124408883259252,0.00166122104163626,0.000432079142098403,0.00142799830453953,0.00135009546341452,0.000939854484175207,0.00113438549977049,-0.000306353293727468
"T+9",0.000843800759749159,0.000874313133910888,0.00208118979533994,0.00135810686925565,0.000137773243027963,0.000292216374937244,0.00188732808844712,0.00355826243066238,0.000297956749009188,0.000562691758954095,0.00140126484296797,0.000305370565980129,0.000433838294772606,0.00198438529948542,0.000743433944742471,0.000287239016680023,0.00106556340561011,0.000799561902778446,0.000837937662489209,0.000985717373871912,0.0024847058786454,0.000677588894689364,0.00126639546910004,0.00165767355349057,0.000435037567017461,0.00142676322710609,0.00133696446988513,0.00102482130263625,0.00113409494758525,-0.000306117821862352
"T+10",0.000490569813433273,0.00114675334652512,0.00198402947002942,0.00135751248120315,0.000136343521288024,0.00118660046557045,0.000988021591444709,-0.00111592569032571,0.000309888717632137,0.000571180388102574,0.000971435089499182,0.00033717165088466,0.000434153918045023,0.00198436216965977,0.00110696148788853,0.000287252180988329,0.00106546095147896,0.000799632896318772,0.000837938387680325,0.000985169442693621,0.000987615351657753,0.00062338412496959,0.00128620064165697,0.00165561958972373,0.000433415590832714,0.00142717093493951,0.00132947435243599,0.000971283236284061,0.00113397572613266,-0.000306326086380182
"T+11",0.000805602180008798,0.000944052005170811,0.00205140889205945,0.00135766746729063,0.000136469465038667,0.00041734525189981,0.0017309705969863,0.00324586264433159,0.000320172851131779,0.000565656197859308,0.00136518109393715,0.000362392526970783,0.000434160412055688,0.00198436377039613,0.00075876925703172,0.000287248497852239,0.00106548043205072,0.000799660946795498,0.000837937718127678,0.000985289002703943,0.00244666530906165,0.000662002058882433,0.00130378486417731,0.0016544303541074,0.000434304855786825,0.00142707944911007,0.00132520187607871,0.00100501784052098,0.00113392680633278,-0.000306271823176737
