"","MMM","AXP","BA","CAT","KO","XOM","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","WMT","WBA","DOW"
"T+1",-0.00105798354560182,0.00971213611930655,-0.00210636175602333,-0.00126654408552687,0.00369559573968368,-0.00397569043722701,-0.000562020362404304,-0.0029162821157191,0.00162456946067608,0.00200085499772507,0.00908200546409918,0.0154061736037888,0.00163945449025613,0.0132769443297605,-0.00288891857280224,-0.000684924624484679,1.11593175805922e-05,0.00506560029634921,-2.29566362032144e-05,0.00240883904197118,0.000150860303038806,0.00119735549001386,0.00247864602636349,-0.000132146617849596,-0.00222744043561972,0.016668428632507,0.0125780050078378,0.00275815952932351,-0.00242973830457986,0.00667062598161152
"T+2",-0.000673271343014798,0.00752336949269426,-0.00166826897053736,0.00161029688231754,0.000730045204855366,0.00141646622933566,0.00436494424062946,-0.00140547083331533,0.0019509054242639,0.00185634505623931,0.00808546261608096,0.00808722939401236,0.00208351517655823,0.0102607154788388,-0.00155915817601569,0.00212167258179242,0.00125552586682413,0.00611534308874796,0.000707784650929964,-9.97339596662908e-05,-0.000826131617038091,-0.00179680837124347,-0.000636371247902872,0.000690202976866725,-0.00262637989519077,0.0118340459896495,0.00508765556055745,0.000971959643406366,-0.00128834641775003,-0.000775185538016584
"T+3",-0.000752823282839023,0.00644712798806461,-0.00147614489196159,-0.00135389679949924,0.00156234261425066,-0.00283296291085512,0.00331184005377392,-0.000478145981939249,0.00184521209194718,-0.000458294948379663,0.00778377628139644,-0.00135667127045918,-0.000110432654088738,0.00821299469805312,7.63904784258914e-06,-0.000367855140794775,0.00017269675121549,0.00581419951000209,-0.000149135515401382,-0.00102671951453376,-0.000534038014786169,0.000440557809683296,0.000505955151732455,0.000500111488069839,-0.00199831388920739,0.00747136421255542,0.00207759952848711,0.000183984014684416,-0.00134647756081151,-0.000974187606192293
"T+4",-0.000750687993833164,0.00552775249574237,-0.00158757549917094,0.00107874374445449,0.000956840673063131,0.00115753758188696,0.00192329936067581,8.60955367389091e-05,0.00173825177912525,-2.51852030730075e-05,0.00748752760766392,-0.000813849863166669,-0.000274733142451135,0.00667602949514765,-0.000285315707680004,0.00182583462262091,0.000925456919987972,0.00544750525115973,0.000546104916127179,-0.000829874868874661,-0.000618815773591974,-0.001060781222641,0.000270348973636581,0.00050667792720397,-0.00156761377939493,0.00474894650109046,0.00244384111660269,0.000496590686663033,-0.0012384182539184,-0.000495447848527477
"T+5",-0.000750055607156536,0.0047581107705835,-0.00151818894684793,-0.00097531170000516,0.00148651479851354,-0.0026125646161826,0.00115524186279728,0.000429755584122428,0.00163757472832242,4.63819461171149e-05,0.00720470238470908,0.00112435364649877,-5.5118225436401e-05,0.00551489220539087,-2.61533497337549e-05,-0.000107116834606028,0.000405655421573895,0.00509995479315871,-1.26938785415188e-07,-0.00075079086294814,-0.000594408521675338,-5.17215681459132e-05,0.000294213329155803,0.000503437609221402,-0.00122025809896152,0.00319676205176307,0.00288281349802853,0.000443110046918637,-0.00129928464897738,-0.00040346128084883
"T+6",-0.000750124324590012,0.00411345137716867,-0.00156130769221255,0.000752364090236969,0.00101492526504743,0.000949989177965603,0.0008438663156316,0.000639043369242181,0.00154294157358035,5.05548881867338e-06,0.00693459406418285,0.00120446104472737,-2.61917008012564e-05,0.0046373335345772,-0.00013235551117152,0.00159608702290903,0.000764511589929689,0.00477564116276465,0.000427548267750694,-0.000766162392562756,-0.00060141933052876,-0.000729900006887995,0.000297728128568362,0.000503410661401994,-0.000944492248730095,0.0023373982416961,0.00291893669314316,0.000443879498665823,-0.0012598907401667,-0.00042128694990136
"T+7",-0.000750125469734832,0.00357348704661842,-0.0015345109996424,-0.000701551940135719,0.00143543420329872,-0.00241646201704228,0.000746510222468356,0.000766500555606267,0.00145399187665381,7.95614344138611e-06,0.00667663207539415,0.00082530042866787,-4.75036567938166e-05,0.00397408040484779,-7.31732370632674e-05,9.53233240472744e-05,0.000516769385199507,0.0044733474373883,9.28252549464636e-05,-0.000772892568748839,-0.000599406817956908,-0.000274103192228841,0.00029534834012414,0.000503349026190774,-0.000725248860089219,0.00186650866360029,0.00287149772590663,0.00044617707482158,-0.00128477177397719,-0.000430519833505461
"T+8",-0.000750124699185978,0.00312121470997768,-0.00155116411927136,0.000521896758627186,0.00106042508106736,0.000764681739251117,0.00072609794701831,0.000844122431204647,0.00137038434580862,1.01184676278739e-05,0.00643027020218689,0.000772436429416581,-5.16626170812618e-05,0.00347279726452003,-0.000101850399280461,0.00141770858631524,0.000687802210196471,0.00419160113934936,0.000354787569870691,-0.000771698734076423,-0.000599984422036893,-0.000580439582622795,0.000295986343306573,0.00050334568340897,-0.000550965502445266,0.00160944764437311,0.00285825944038583,0.000445474782473498,-0.00126899249714625,-0.000430806252626515
"T+9",-0.000750124745585511,0.00274239290212519,-0.00154081484185726,-0.000507626912702846,0.0013948611663341,-0.00224135490615982,0.000726332983280292,0.000891394434894514,0.0012917981405372,9.53361847616895e-06,0.00619498680711934,0.000842992845984582,-4.96672001141671e-05,0.00309393013485698,-8.70854024869504e-05,0.00025249997739847,0.000569726943187204,0.00392900714416933,0.000149770484608291,-0.000771127329790328,-0.000599818654455209,-0.000374554018988735,0.000295886418545104,0.00050334438059148,-0.000412420617369362,0.0014693083549383,0.00286165764881005,0.000445570076282752,-0.00127899261001515,-0.00043021909778665
"T+10",-0.000750124749781526,0.00242509301325208,-0.00154724652224235,0.000358709067747864,0.00109660816162557,0.000599213457757966,0.000729361609258641,0.000920183255993993,0.00121793168861268,9.49975360083475e-06,0.00597028370970244,0.000860408001201889,-4.91267496950278e-05,0.00280758437298484,-9.4485477013689e-05,0.0012792137052611,0.00065124210658044,0.00368426363556139,0.000310220982173988,-0.000771219476465234,-0.000599866227685446,-0.000512927606463397,0.000295888944449346,0.000503344258246687,-0.00030228580816506,0.00139294832551767,0.00286391923709646,0.000445575552428165,-0.0012726542995207,-0.000430103371790748
"T+11",-0.000750124749004447,0.00215932367951547,-0.00154324947868828,-0.000370305895255902,0.00136259280151572,-0.00208499488097091,0.000731327133211173,0.000937715752131623,0.00114850152970565,9.54406770941608e-06,0.00575568513178643,0.000848015357778396,-4.93054502351429e-05,0.00259116576880917,-9.0732466884793e-05,0.0003745335725237,0.000594966799894587,0.0034561571887213,0.000184649200263081,-0.000771267881378718,-0.000599852574817333,-0.000419928129605269,0.000295893026402841,0.000503344228326282,-0.000214735283339278,0.00135134841070024,0.00286391898857564,0.000445569473642905,-0.00127667159280183,-0.000430124758468447
"T+12",-0.000750124749020941,0.00193671616772063,-0.00154573348849855,0.000243154489443913,0.0011253853702272,0.000451460321876468,0.00073219784320041,0.000948393105666773,0.00108324122762993,9.5381630752925e-06,0.0055507366901629,0.00084333341919123,-4.93713436498316e-05,0.00242759773857857,-9.2625917005206e-05,0.00117168483324909,0.000633817364755854,0.00324355685757074,0.000282924198181729,-0.000771260819583814,-0.000599856492999679,-0.000482432129492308,0.000295891508825421,0.000503344224667096,-0.000145137901881647,0.00132868686708177,0.00286364007601318,0.000445570977676383,-0.0012741253781334,-0.000430136204091463
"T+13",-0.000750124749027445,0.00175026085472127,-0.00154418977133509,-0.00027306762379493,0.00133692903497762,-0.00194537486532746,0.000732495735410712,0.000954895652572979,0.00102190034790191,9.53635591757949e-06,0.00535500443447037,0.000845352245449279,-4.93562813723266e-05,0.0023039738911027,-9.16684406626073e-05,0.000469281730228225,0.000606996251217277,0.00304540857450214,0.000206012211568797,-0.000771256727850256,-0.000599855368536473,-0.000440423828651662,0.000295891824614857,0.0005033442239408,-8.98121854522444e-05,0.00131634230253277,0.00286358846148215,0.000445570828186268,-0.00127573920242522,-0.000430136607981493
"T+14",-0.000750124749026793,0.00159408650343644,-0.00154514913255456,0.000161329244738969,0.00114827254198729,0.000319525736177294,0.000732569742924183,0.000958855727148396,0.00096424349670558,9.53707152622016e-06,0.00516807392836356,0.000846483284542231,-4.93486093490307e-05,0.00221053964454981,-9.21521240893915e-05,0.00108819829404873,0.000625512639177609,0.00286072992480244,0.000266205076586182,-0.000771257264546145,-0.000599855691241562,-0.000468657179200547,0.000295891791960209,0.000503344223839128,-4.58315810948877e-05,0.00130961783178511,0.00286361329570268,0.000445570800633357,-0.0012747163393002,-0.000430135888098208
"T+15",-0.000750124749026777,0.00146327538517498,-0.00154455292622142,-0.000204212320729777,0.0013165180547496,-0.00182070266253911,0.000732576645419439,0.000961267426882218,0.000910049417575707,9.53705830919474e-06,0.00498954937200103,0.000846190224742315,-4.93497649413537e-05,0.00213992253784141,-9.19076747951425e-05,0.000542845189365761,0.000612729552352955,0.0026886052758946,0.000219096931828395,-0.000771257609717322,-0.000599855598629753,-0.000449681832250904,0.000295891787477327,0.000503344223820905,-1.08696558910837e-05,0.00130595481430583,0.00286362425852227,0.000445570815666165,-0.00127536464343158,-0.000430135742591377
"T+16",-0.000750124749026785,0.00135370842670812,-0.00154492344567172,0.000103388046039159,0.00116647523292045,0.000201716156030209,0.000732570782066865,0.00096273616073946,0.000859110142332706,9.53701409164515e-06,0.00481905276399297,0.000845935921383687,-4.93506260152232e-05,0.00208655050409741,-9.20311929065572e-05,0.00102337847312775,0.000621554562345007,0.00252818123765401,0.000255964711786661,-0.000771257569330748,-0.000599855625208036,-0.000462434969404636,0.000295891790622281,0.00050334422381817,1.69229638742961e-05,0.00130395946313413,0.0028636232262668,0.000445570812607031,-0.00127495373972646,-0.00043013576822027
"T+17",-0.000750124749026784,0.0012619355059715,-0.00154469318199383,-0.000155455255447366,0.00130028473555046,-0.0017093779497,0.000732565941106366,0.000963630624968632,0.000811230193010862,9.53702304697741e-06,0.00465622310103489,0.000845969699553171,-4.93505520191282e-05,0.00204621220479929,-9.1968774842704e-05,0.000599960627294973,0.000615462074479744,0.00237866243131966,0.000227111246933828,-0.000771257540270234,-0.000599855617580444,-0.000453863715993907,0.000295891789771127,0.000503344223817705,3.90164186517515e-05,0.00130287253834429,0.00286362168335073,0.0004455708127853,-0.00127521417591163,-0.000430135782404934
"T+18",-0.000750124749026784,0.00118506681217565,-0.00154483628206945,6.23593571560179e-05,0.00118095224915881,9.65193488330534e-05,0.000732563571932786,0.000964175356918076,0.000766225831717417,9.53702428941589e-06,0.00450071561353233,0.000846023754395229,-4.93504583734677e-05,0.00201572473268854,-9.20003156844626e-05,0.000973051687223444,0.000619668121659499,0.00223930754602423,0.000249692547868033,-0.000771257543273037,-0.000599855619769455,-0.00045962436799234,0.000295891789905915,0.000503344223817632,5.65793813419941e-05,0.00130228045945614,0.00286362152493775,0.000445570812877805,-0.00127504910802417,-0.00043013578296562
"T+19",-0.000750124749026784,0.00112068184939521,-0.00154474735084144,-0.000120929934825266,0.00128737400567477,-0.00160997173555177,0.000732562689981781,0.00096450710064473,0.00072392435554382,9.53702347836142e-06,0.0043522010355983,0.00084602226729037,-4.9350461039451e-05,0.00199268246338425,-9.19843773251591e-05,0.000644305649784285,0.000616764409207449,0.00210942566339149,0.000232019968353512,-0.000771257545715014,-0.00059985561914124,-0.000455752692537556,0.000295891789902041,0.00050334422381762,7.05408763442883e-05,0.00130195793724324,0.00286362168585524,0.000445570812842587,-0.00127515373022731,-0.000430135782083301
"T+20",-0.000750124749026784,0.00106675321827721,-0.00154480261820088,3.33065700329866e-05,0.00119246615113823,2.58498262396378e-06,0.000732562441495044,0.000964709133773661,0.000684163433823419,9.53702354585298e-06,0.00421036490787769,0.000846011330957355,-4.93504709342539e-05,0.00197526723877126,-9.19924313081338e-05,0.00093397744506308,0.000618769033892776,0.00198837283197866,0.000245850883924191,-0.00077125754549506,-0.000599855619321529,-0.00045835480612318,0.000295891789896694,0.000503344223817618,8.16394219676515e-05,0.00130178225022319,0.00286362173518493,0.000445570812848436,-0.00127508741929574,-0.000430135781900453
