"","MMM","AXP","BA","CAT","KO","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","DD","WMT"
"T+1",-0.00101665002637618,-0.000681104365847614,0.000395590196141027,0.00551467378635704,0.000498443656249855,0.00451655733862601,-0.00313699060945527,0.00112671447160181,-0.000513092419424925,-0.000159120716810206,0.000485805904983364,0.000374362961805832,0.0030549320275259,-0.00491918743430579,-0.000241375931065509,0.00126436493051248,0.000110781665742038,0.00101584134644688,-0.000120737817159344,-0.00199790943638521,0.00364155806070535,0.00397387950686871,0.00160037654692923,0.00174288248849127,0.000171111052395057,0.00663195196538676,-0.00198205226761868,0.00130219408606286,0.00141763729817673,0.00105537415087948
"T+2",0.00274994022812543,0.000559497488808078,0.000114988265972971,0.00488168390523599,0.000802063826685017,-0.00497316008656875,-0.00114104235483381,-7.86268127478287e-06,0.0031928853764913,2.72337904867402e-05,0.00119999544571847,-0.000402534269364567,0.00184936910844342,0.00282574168796453,0.000705065726217848,0.000259307244294568,6.10288114685723e-05,0.0010908793247411,4.75105714471964e-05,-0.000867019235420253,-0.00352129247660963,-0.00351882138780765,0.00112904836231332,0.00230875337463815,-0.000125270994060311,0.00544580093939272,0.00072783073872827,0.000725287827741773,-0.00298954908048652,0.000400571351478125
"T+3",9.77032087943047e-05,0.00143398497188271,0.00321780368407735,0.0042649430812736,0.000796802015195388,0.002908419321732,-0.00109033981005656,0.00221388037677993,-0.000487244484417694,-0.000110522759002885,0.000699238352833975,0.00150087648256733,0.00169749427344892,-0.00101649313965315,0.00153434132932633,7.41904438707026e-05,0.000409203628560336,0.00129888497378354,3.81195526773152e-05,0.000810834938940104,0.00250679478015679,0.00191204977568428,0.00112543354537085,0.000477061458402813,0.00024283121325524,0.00457920654217425,0.0031549608726245,0.000826515382332198,0.00188948698230506,0.0011188251583967
"T+4",0.00216719206562258,0.00097477990016495,0.00228862011996177,0.0038113031137977,0.00079010371678385,1.44589499778468e-05,-0.000976421049550536,0.00150619748071957,0.00299099721346653,-0.000118064136324676,0.00113181101015018,0.000919340536317694,0.00156847096731796,-0.000200983854789455,0.00142908637703563,7.99310466373887e-05,0.000392562799528102,0.00124168596287787,2.48086866505885e-05,-0.000501658524079489,0.000897020166840055,0.00217452863650007,0.00110634711182023,0.0019022106274139,0.000434431313374756,0.00388032182750605,0.00132007098126864,0.000844408370168483,0.000660668334959443,0.00150983895126708
"T+5",0.00054360183675152,0.00104933442945028,0.00218548179552929,0.00347509625992876,0.00079149051626912,0.000459941495750389,-0.00101396229364947,0.00155107448351696,-0.000297122733947578,-0.000122215582062058,0.000754740809272059,0.000942969906740184,0.00148867403027447,-0.000154506231945673,0.00140172430005721,0.000114322391847104,0.000371463357471915,0.00125216621721735,1.51801217143279e-05,0.000224626245602232,0.000558065909650829,0.0012408469193121,0.00110429342580463,0.000878556838311215,0.000516247616740286,0.00331186926791275,0.00197180076996224,0.000843342403152601,0.000357290992762787,0.00163467708813443
"T+6",0.00181771492637051,0.00107186028388477,0.00233494036532121,0.00322598057126664,0.000791400463865128,0.0006272470461042,-0.000992943950597749,0.00160323330545036,0.00281126472865248,-0.000122775309159358,0.00108354498250542,0.000988627748139718,0.0014381226694054,-0.000255178974572326,0.00140837234573183,0.000142182601736176,0.000373716341691079,0.00125068415624212,8.45811601063701e-06,-0.000132251540588906,0.00102457444259222,0.00136327960296135,0.0011033296469194,0.00160712238599928,0.000550004347179173,0.00284918622331427,0.00190015948521515,0.000842908045289086,0.000678069191389963,0.00166128961281638
"T+7",0.00081784058671275,0.00105538143566997,0.0023015057400842,0.00304139460802987,0.000791382225115732,0.000475022277268589,-0.0010029746884433,0.00157967936710771,-0.000127214648844284,-0.000122929981907128,0.000796824792889022,0.000970770385604577,0.00140616466352253,-0.000218185331749733,0.00140902758880516,0.000159998401608619,0.000374924227961771,0.00125083884135118,3.77778797258703e-06,3.3571163751491e-05,0.000859758333374306,0.00149413234320655,0.00110315160879889,0.00108915142244222,0.00056383732332819,0.00247257152807407,0.00183408860397357,0.000842904966954232,0.000599493912634455,0.00166356498736439
"T+8",0.00160250356548698,0.00105902359956424,0.00229301751163781,0.00290462293124575,0.000791387917441644,0.000533158770309509,-0.000997982292650215,0.00158328742661268,0.00265064401765574,-0.000122957879498555,0.00104684750057086,0.000972678603211945,0.00138595759308272,-0.000223430055162469,0.00140869135207293,0.000170453201506537,0.000374712917108007,0.00125083160877737,5.19686202832106e-07,-4.12025291967735e-05,0.000853204462952391,0.00145096322462664,0.00110309550309582,0.00145735180816601,0.000569497982171944,0.00216601335081345,0.00188368819612172,0.000842913827141504,0.000578664835617536,0.00166245402453082
"T+9",0.000986730176135122,0.00105947402660662,0.00229988057911523,0.00280327995063146,0.000791387313600103,0.000523352345558242,-0.00100043857327185,0.00158424515739039,2.4626346698515e-05,-0.000122964268581889,0.000828825338669061,0.000973674679582871,0.00137318084102448,-0.000224955791409456,0.00140868946470951,0.000176353943419695,0.000374648448891691,0.00125082998672368,-1.74832997860545e-06,-8.05929531017226e-06,0.000887201360653457,0.00143722987413671,0.00110308281530145,0.00119562027947352,0.000571813748511702,0.00191647993740915,0.0018661469948913,0.000842914406500048,0.000599746786226925,0.00166174580945643
"T+10",0.00146996549872555,0.0010589096603501,0.00229881932861794,0.00272818838226584,0.000791387282570654,0.000520450941925241,-0.00099922628419088,0.00158354248650731,0.00250710282807696,-0.000122965541652518,0.00101894272263571,0.000973156330651612,0.00136510220316327,-0.000223800957302294,0.00140870403363613,0.000179620503134941,0.000374665492951502,0.00125083058536997,-3.32713000479295e-06,-2.2600678027054e-05,0.00087179994890335,0.00144671370065038,0.00110307931662994,0.00138166913106134,0.000572761069524266,0.00171336375631732,0.00186804007335414,0.000842914255809544,0.000594727555865994,0.00166150414016248
