"","MMM","AA","AXP","BA","CAT","C","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ"
"T+1",0.00438316597789725,-0.0197766904493188,0.00634097300986074,-0.0116683575770715,0.0120333059823672,-0.0401630813244367,-0.00150485278767194,0.00391200547588241,0.0148987025305385,0.025211726447937,0.000411239967230949,-0.00277434815487835,0.0126807843717443,0.00142843933246597,0.00268673355794136,0.0294026816728165,-0.00104101117591362,-0.0062076929088959,0.00447435244670136,0.000921252380480596,0.00159441648912851,0.00677928841292848,-0.00962153479698602,0.00628038270832521,0.0132402593089647,0.00637239885147694,0.0142716499374012,0.0134706908266174,-0.000313511020001475
"T+2",0.0108293348526506,0.0057696215049187,0.0181141173332032,0.00984880077823088,0.00303917074944283,0.000863150500842398,0.00688046986857093,0.00340761637932728,0.00427838333359031,0.0179314397913736,0.00213208198040211,0.0105888611396065,0.00668065504124939,-0.00103151974381498,0.0112857248411064,0.0231618050238029,0.00725196630582556,0.00185751929036469,0.00761154343889055,0.0108105460982758,0.0116532669474641,0.00617589513354398,-0.000605661706195145,0.00542162920314759,0.0144289515731456,0.00281473654217865,0.0208333590736316,0.00318229700618939,0.00590509776472219
"T+3",-0.0029003065374395,0.00460257359681818,0.00245552311489588,-0.0109391536559444,-0.00372704644202591,0.0045280609246362,-0.00666656612134308,-0.002264799420818,-0.00242954548598464,0.0166356613129331,0.0011586517612025,-0.000821617922402552,-0.00734235585109248,0.00118404708505586,-0.00243036508594205,0.0213656714707282,0.00268276551442718,0.00049460865953278,0.00382560119102657,-0.00252305580381995,-0.0070688985680791,-0.0060794481879384,0.000236356043793135,0.00329661329590825,-0.00672870076985807,-0.00470424124529708,0.019820946816441,-0.00247081633613055,-0.00177164380050694
"T+4",-0.00250823625280545,0.000911374249622869,-0.00361209057655394,0.00389774096092856,-0.000389104596830825,0.00177168890912855,0.00214465406495256,-0.00110051923790592,-0.00094848678498202,0.015204366213486,0.000479887204006554,-0.00188034742536847,0.00116209355855706,-0.000823096949882105,-0.00073415017990704,0.0196365399021048,8.58520585608863e-05,-0.00134714792073176,0.0012715641873732,-0.00330950665637673,0.000655881941987131,0.000694601837576403,-9.98736261083301e-05,0.00217299679486054,-0.00111094869841555,0.00195005911934066,0.0186340313715571,0.0024144842049476,-0.000267190154287669
"T+5",-0.000175907592476393,-0.000943472908316932,-0.0037709787364535,-0.0063101474930102,-0.00112506093363601,-0.000951597619594579,-0.00248368387147097,-0.000460430202151524,-0.000512197201495897,0.0138935525176031,8.94341121961421e-05,-0.000356660908656725,-0.00114414619725517,0.000995233942688804,0.00151313458031747,0.0180447846864694,7.23283366638823e-05,-0.00251797391370134,-6.45371722826095e-05,-0.000959470580989565,0.000552379000222914,-0.000741024124579627,-0.000418214851190195,0.00162591797635136,0.00115470323640055,-0.00220717550429076,0.0175024536969009,-0.000112673216502119,5.78674467316692e-05
"T+6",-0.000499797423156376,-0.00150358230286516,-0.00316175728349135,0.000675385763138058,-0.00111286965577674,-0.00275612602507037,-0.000283489201834762,-0.000760343933927322,-0.000675161719425257,0.012683282761547,-0.000130641762706391,-0.000308329031461427,-0.00127779744217252,-0.000652045564294269,0.000632236679667873,0.0165781818245679,0.000477645625420191,-0.00315744258204095,-0.000725905860974743,-0.000985568946334451,-0.00102789060021494,-0.00120275253160629,-0.000604135148354721,0.00136205477634162,-0.000482549673411065,7.23435376181412e-05,0.0164302534763308,0.000966139306613914,-0.000175520199666583
"T+7",-0.00086775620823445,-0.0015840385190408,-0.0029581222547055,-0.00410116637911895,-0.00105773927755437,-0.00382725126338943,-0.00126949892072833,-0.000800261869444048,-0.000697721177646231,0.0115662732532582,-0.000254385743635052,-0.000506455269055448,-0.00083364684577793,0.000840273454875064,0.000412013608114316,0.0152269157811336,0.00059424101155742,-0.00348897365096928,-0.00104857269519261,-0.00138844008360333,-0.000174291805131041,-0.00068842428705125,-0.000700290303172184,0.00123493495377408,-0.000439683363536827,-0.00109502112718475,0.0154145223054447,0.000557070312183593,-0.000142836268258259
"T+8",-0.000771323052774593,-0.00156041250321253,-0.00296186479874266,-0.000835460282303195,-0.00107997017665456,-0.00443691783638724,-0.000844791530677757,-0.0007469638834111,-0.000682011257547919,0.010535319018436,-0.000323944056341626,-0.00050128608295072,-0.00105074983538901,-0.000511662294664619,0.000637121829605829,0.0139819157572753,0.000563311845641221,-0.0036573664198922,-0.00120537086902786,-0.00135625614713377,-0.000289118672127996,-0.000883394734717181,-0.000747852222695408,0.00117370163706946,-0.000156345705903927,-0.00052164426960033,0.0144522926890974,0.000698136579262589,-0.000129380513198776
"T+9",-0.000718249338658006,-0.00153800642761653,-0.00298508761555718,-0.00306816760671109,-0.00107588702331136,-0.00477781395309113,-0.00102250743559138,-0.000751106921924583,-0.000681480601328789,0.00958379109880042,-0.000363042431754851,-0.000476180631081632,-0.00100578720197131,0.000713096116509951,0.0006246434948919,0.0128348248085984,0.000536207929280485,-0.00374217391701549,-0.00128148228706973,-0.00128909572289418,-0.000409326695235985,-0.000871709691329591,-0.00077095100147597,0.00114420618775219,-0.000242174530588738,-0.00079552238392918,0.0135407467486269,0.000653806434645219,-0.000136201033305857
"T+10",-0.000740760052602886,-0.00152872903651374,-0.00299178754121644,-0.00154170801041156,-0.00107565293135516,-0.00496693367339941,-0.000949794475096499,-0.000758424225651714,-0.000682851522911213,0.00870557033270265,-0.000385019337333846,-0.000478283598180071,-0.000994899524453099,-0.000396448598358044,0.000583991617321901,0.0117779431864907,0.000533426376133387,-0.00378473236576868,-0.00131841623611904,-0.00129925367639127,-0.000321761233088776,-0.0008423072501526,-0.0007820811055307,0.00112999856664758,-0.000269594403395512,-0.000667263386645045,0.0126772148210836,0.000666278881595457,-0.000135625632088694
